source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207293720962867
1,0,1.0,0,0,0,0,0,1.5207293720962867
1,2,1.0,0,0,0,0,0,1.5297674957800926
2,1,1.0,0,0,0,0,0,1.5297674957800926
2,3,1.0,0,0,0,0,0,1.5327218896390384
3,2,1.0,0,0,0,0,0,1.5327218896390384
3,4,1.0,0,0,0,0,0,1.532821699383822
4,3,1.0,0,0,0,0,0,1.532821699383822
4,5,1.0,0,0,0,4,0,1.503972008940217
5,4,1.0,0,0,0,4,0,1.503972008940217
5,6,2.0,0,0,2,0,0,1.3439092950147316
6,5,2.0,0,0,2,0,0,1.3439092950147316
6,7,1.0,0,0,0,3,0,1.501695254667145
7,6,1.0,0,0,0,3,0,1.501695254667145
7,8,1.0,0,0,0,4,0,1.5036008575486384
8,7,1.0,0,0,0,4,0,1.5036008575486384
8,9,2.0,0,0,2,0,0,1.344877145840333
9,8,2.0,0,0,2,0,0,1.344877145840333
9,10,1.0,0,0,0,3,0,1.5002912316014791
10,9,1.0,0,0,0,3,0,1.5002912316014791
10,11,1.0,0,0,0,4,0,1.504387427475738
11,10,1.0,0,0,0,4,0,1.504387427475738
11,12,2.0,0,0,2,0,0,1.3442124617600555
12,11,2.0,0,0,2,0,0,1.3442124617600555
12,13,1.0,0,0,0,3,0,1.501116426039261
13,12,1.0,0,0,0,3,0,1.501116426039261
13,14,1.0,0,0,0,4,0,1.5017607889005877
14,13,1.0,0,0,0,4,0,1.5017607889005877
14,15,2.0,0,0,2,0,0,1.3439022242416636
15,14,2.0,0,0,2,0,0,1.3439022242416636
15,16,1.0,0,0,0,3,0,1.5038490292767375
16,15,1.0,0,0,0,3,0,1.5038490292767375
16,17,1.0,0,0,0,0,0,1.5341060057960363
17,16,1.0,0,0,0,0,0,1.5341060057960363
17,18,1.0,0,0,0,0,0,1.534701309312004
18,17,1.0,0,0,0,0,0,1.534701309312004
18,19,1.0,0,0,0,0,0,1.5334381325879307
19,18,1.0,0,0,0,0,0,1.5334381325879307
19,20,1.0,0,0,0,0,0,1.527560669737544
20,19,1.0,0,0,0,0,0,1.527560669737544
20,21,1.0,0,0,0,0,0,1.5103599062616018
21,20,1.0,0,0,0,0,0,1.5103599062616018
21,22,2.0,1,0,0,0,0,1.2230591292598203
22,21,2.0,1,0,0,0,0,1.2230591292598203
21,23,1.0,1,0,0,0,0,1.3623147352977318
23,21,1.0,1,0,0,0,0,1.3623147352977318
23,24,1.0,0,0,0,0,0,1.446750438250178
24,23,1.0,0,0,0,0,0,1.446750438250178
24,25,1.0,0,0,0,0,0,1.5294119788659453
25,24,1.0,0,0,0,0,0,1.5294119788659453
25,26,1.0,0,0,0,0,0,1.438008210179382
26,25,1.0,0,0,0,0,0,1.438008210179382
26,27,1.0,1,0,0,0,0,1.356846723113755
27,26,1.0,1,0,0,0,0,1.356846723113755
27,28,2.0,1,0,0,0,0,1.2244634391456055
28,27,2.0,1,0,0,0,0,1.2244634391456055
27,29,1.0,0,0,0,0,0,1.5087354830538287
29,27,1.0,0,0,0,0,0,1.5087354830538287
29,30,1.0,0,0,0,0,0,1.5277151250072714
30,29,1.0,0,0,0,0,0,1.5277151250072714
30,31,1.0,0,0,0,0,0,1.5327135732157022
31,30,1.0,0,0,0,0,0,1.5327135732157022
31,32,1.0,0,0,0,0,0,1.530899397070242
32,31,1.0,0,0,0,0,0,1.530899397070242
32,33,1.0,0,0,0,0,0,1.5305867708876915
33,32,1.0,0,0,0,0,0,1.5305867708876915
33,34,1.0,0,0,0,0,0,1.5320425193660814
34,33,1.0,0,0,0,0,0,1.5320425193660814
34,35,1.0,0,0,0,0,0,1.5313201486076358
35,34,1.0,0,0,0,0,0,1.5313201486076358
35,36,1.0,0,0,0,0,0,1.5330131481690574
36,35,1.0,0,0,0,0,0,1.5330131481690574
36,37,1.0,0,0,0,0,0,1.5313493313931539
37,36,1.0,0,0,0,0,0,1.5313493313931539
37,38,1.0,0,0,0,0,0,1.5332608451228804
38,37,1.0,0,0,0,0,0,1.5332608451228804
38,39,1.0,0,0,0,0,0,1.5312522396137134
39,38,1.0,0,0,0,0,0,1.5312522396137134
39,40,1.0,0,0,0,0,0,1.5207643328494522
40,39,1.0,0,0,0,0,0,1.5207643328494522
24,41,1.0,0,0,0,0,0,1.5281733228658674
41,24,1.0,0,0,0,0,0,1.5281733228658674
41,42,1.0,0,0,0,0,0,1.4193801329119216
42,41,1.0,0,0,0,0,0,1.4193801329119216
42,43,1.0,0,0,0,0,0,1.6127753956600168
43,42,1.0,0,0,0,0,0,1.6127753956600168
43,44,2.0,0,0,0,0,0,1.5067967771974993
44,43,2.0,0,0,0,0,0,1.5067967771974993
43,45,1.0,0,0,0,0,0,1.5041831355563815
45,43,1.0,0,0,0,0,0,1.5041831355563815
43,46,1.0,0,0,0,0,0,1.624822806512768
46,43,1.0,0,0,0,0,0,1.624822806512768
46,47,1.0,0,0,0,0,0,1.4190939621782697
47,46,1.0,0,0,0,0,0,1.4190939621782697
47,48,1.0,0,0,0,0,0,1.537823030234208
48,47,1.0,0,0,0,0,0,1.537823030234208
48,49,1.0,0,0,0,0,0,1.5531698346934284
49,48,1.0,0,0,0,0,0,1.5531698346934284
49,50,1.0,0,0,0,0,0,1.5347237653159347
50,49,1.0,0,0,0,0,0,1.5347237653159347
49,51,1.0,0,0,0,0,0,1.5108307039338824
51,49,1.0,0,0,0,0,0,1.5108307039338824
49,52,1.0,0,0,0,0,0,1.5218123714799536
52,49,1.0,0,0,0,0,0,1.5218123714799536
