source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207978034380507
1,0,1.0,0,0,0,0,0,1.5207978034380507
1,2,1.0,0,0,0,0,0,1.5295197218511687
2,1,1.0,0,0,0,0,0,1.5295197218511687
2,3,1.0,0,0,0,0,0,1.5317935849194901
3,2,1.0,0,0,0,0,0,1.5317935849194901
3,4,1.0,0,0,0,0,0,1.5334492989790394
4,3,1.0,0,0,0,0,0,1.5334492989790394
4,5,1.0,0,0,0,0,0,1.5320018664938395
5,4,1.0,0,0,0,0,0,1.5320018664938395
5,6,1.0,0,0,0,4,0,1.50234450449496
6,5,1.0,0,0,0,4,0,1.50234450449496
6,7,2.0,0,0,2,0,0,1.3433037807340842
7,6,2.0,0,0,2,0,0,1.3433037807340842
7,8,1.0,0,0,0,3,0,1.501929341643637
8,7,1.0,0,0,0,3,0,1.501929341643637
8,9,1.0,0,0,0,4,0,1.5028030451088357
9,8,1.0,0,0,0,4,0,1.5028030451088357
9,10,2.0,0,0,2,0,0,1.3447179772554017
10,9,2.0,0,0,2,0,0,1.3447179772554017
10,11,1.0,0,0,0,3,0,1.5022160299296186
11,10,1.0,0,0,0,3,0,1.5022160299296186
11,12,1.0,0,0,0,4,0,1.5026332928527135
12,11,1.0,0,0,0,4,0,1.5026332928527135
12,13,2.0,0,0,2,0,0,1.3443277682245904
13,12,2.0,0,0,2,0,0,1.3443277682245904
13,14,1.0,0,0,0,3,0,1.5024790458482324
14,13,1.0,0,0,0,3,0,1.5024790458482324
14,15,1.0,0,0,0,4,0,1.5029508370924682
15,14,1.0,0,0,0,4,0,1.5029508370924682
15,16,2.0,0,0,2,0,0,1.34322203723965
16,15,2.0,0,0,2,0,0,1.34322203723965
16,17,1.0,0,0,0,3,0,1.5063312032485934
17,16,1.0,0,0,0,3,0,1.5063312032485934
17,18,1.0,0,0,0,0,0,1.5251001606785053
18,17,1.0,0,0,0,0,0,1.5251001606785053
18,19,1.0,0,0,0,0,0,1.5059222108651054
19,18,1.0,0,0,0,0,0,1.5059222108651054
19,20,2.0,1,0,0,0,0,1.2244943276337805
20,19,2.0,1,0,0,0,0,1.2244943276337805
19,21,1.0,1,0,0,0,0,1.3577190948685216
21,19,1.0,1,0,0,0,0,1.3577190948685216
21,22,1.0,0,0,0,0,0,1.4381379217486243
22,21,1.0,0,0,0,0,0,1.4381379217486243
22,23,1.0,0,0,0,0,0,1.53843240456672
23,22,1.0,0,0,0,0,0,1.53843240456672
23,24,1.0,0,0,0,0,0,1.5326103306238776
24,23,1.0,0,0,0,0,0,1.5326103306238776
24,25,1.0,0,0,0,0,0,1.4171050661831386
25,24,1.0,0,0,0,0,0,1.4171050661831386
25,26,1.0,0,0,0,0,0,1.615620516086961
26,25,1.0,0,0,0,0,0,1.615620516086961
26,27,2.0,0,0,0,0,0,1.5027238748938634
27,26,2.0,0,0,0,0,0,1.5027238748938634
26,28,1.0,0,0,0,0,0,1.5057941216785657
28,26,1.0,0,0,0,0,0,1.5057941216785657
26,29,1.0,0,0,0,0,0,1.622472740519672
29,26,1.0,0,0,0,0,0,1.622472740519672
29,30,1.0,0,0,0,0,0,1.4102838929991144
30,29,1.0,0,0,0,0,0,1.4102838929991144
30,31,1.0,0,0,0,0,0,1.5335437642770182
31,30,1.0,0,0,0,0,0,1.5335437642770182
31,32,1.0,0,0,0,0,0,1.5560863317423248
32,31,1.0,0,0,0,0,0,1.5560863317423248
32,33,1.0,0,0,0,0,0,1.5256786802232527
33,32,1.0,0,0,0,0,0,1.5256786802232527
32,34,1.0,0,0,0,0,0,1.5267850481370262
34,32,1.0,0,0,0,0,0,1.5267850481370262
32,35,1.0,0,0,0,0,0,1.516226583668904
35,32,1.0,0,0,0,0,0,1.516226583668904
23,36,1.0,0,0,0,0,0,1.4485547695095176
36,23,1.0,0,0,0,0,0,1.4485547695095176
36,37,1.0,1,0,0,0,0,1.3573124334192264
37,36,1.0,1,0,0,0,0,1.3573124334192264
37,38,2.0,1,0,0,0,0,1.2235173007212627
38,37,2.0,1,0,0,0,0,1.2235173007212627
37,39,1.0,0,0,0,0,0,1.5109333832114902
39,37,1.0,0,0,0,0,0,1.5109333832114902
39,40,1.0,0,0,0,0,0,1.5274623945315153
40,39,1.0,0,0,0,0,0,1.5274623945315153
40,41,1.0,0,0,0,0,0,1.5310961999870005
41,40,1.0,0,0,0,0,0,1.5310961999870005
41,42,1.0,0,0,0,0,0,1.5310570560961603
42,41,1.0,0,0,0,0,0,1.5310570560961603
42,43,1.0,0,0,0,0,0,1.5323276675635782
43,42,1.0,0,0,0,0,0,1.5323276675635782
43,44,1.0,0,0,0,0,0,1.5339722201960662
44,43,1.0,0,0,0,0,0,1.5339722201960662
44,45,1.0,0,0,0,0,0,1.530758705723956
45,44,1.0,0,0,0,0,0,1.530758705723956
45,46,1.0,0,0,0,0,0,1.5334829714033402
46,45,1.0,0,0,0,0,0,1.5334829714033402
46,47,1.0,0,0,0,0,0,1.5320643281183335
47,46,1.0,0,0,0,0,0,1.5320643281183335
47,48,1.0,0,0,0,0,0,1.5331763430394063
48,47,1.0,0,0,0,0,0,1.5331763430394063
48,49,1.0,0,0,0,0,0,1.5314625147663907
49,48,1.0,0,0,0,0,0,1.5314625147663907
49,50,1.0,0,0,0,0,0,1.5300452759951846
50,49,1.0,0,0,0,0,0,1.5300452759951846
50,51,1.0,0,0,0,0,0,1.5207063206023856
51,50,1.0,0,0,0,0,0,1.5207063206023856
