source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5217047625022952
1,0,1.0,0,0,0,0,0,1.5217047625022952
1,2,1.0,0,0,0,0,0,1.5311592075449307
2,1,1.0,0,0,0,0,0,1.5311592075449307
2,3,1.0,0,0,0,0,0,1.5331213030436426
3,2,1.0,0,0,0,0,0,1.5331213030436426
3,4,1.0,0,0,0,0,0,1.5313111383928464
4,3,1.0,0,0,0,0,0,1.5313111383928464
4,5,1.0,0,0,0,4,0,1.5032299483907474
5,4,1.0,0,0,0,4,0,1.5032299483907474
5,6,2.0,0,0,2,0,0,1.3435037264512801
6,5,2.0,0,0,2,0,0,1.3435037264512801
6,7,1.0,0,0,0,3,0,1.5020856288425204
7,6,1.0,0,0,0,3,0,1.5020856288425204
7,8,1.0,0,0,0,4,0,1.5022801051317887
8,7,1.0,0,0,0,4,0,1.5022801051317887
8,9,2.0,0,0,2,0,0,1.3436053296167882
9,8,2.0,0,0,2,0,0,1.3436053296167882
9,10,1.0,0,0,0,3,0,1.5031028487085982
10,9,1.0,0,0,0,3,0,1.5031028487085982
10,11,1.0,0,0,0,0,0,1.5315476459520947
11,10,1.0,0,0,0,0,0,1.5315476459520947
11,12,1.0,0,0,0,0,0,1.531413688691064
12,11,1.0,0,0,0,0,0,1.531413688691064
12,13,1.0,0,0,0,0,0,1.531396719892116
13,12,1.0,0,0,0,0,0,1.531396719892116
13,14,1.0,0,0,0,0,0,1.5301719519518784
14,13,1.0,0,0,0,0,0,1.5301719519518784
14,15,1.0,0,0,0,0,0,1.5329017960239315
15,14,1.0,0,0,0,0,0,1.5329017960239315
15,16,1.0,0,0,0,0,0,1.5332571559813837
16,15,1.0,0,0,0,0,0,1.5332571559813837
16,17,1.0,0,0,0,0,0,1.5323897590749627
17,16,1.0,0,0,0,0,0,1.5323897590749627
17,18,1.0,0,0,0,0,0,1.5322554808107123
18,17,1.0,0,0,0,0,0,1.5322554808107123
18,19,1.0,0,0,0,0,0,1.534199127719352
19,18,1.0,0,0,0,0,0,1.534199127719352
19,20,1.0,0,0,0,0,0,1.525909857160959
20,19,1.0,0,0,0,0,0,1.525909857160959
20,21,1.0,0,0,0,0,0,1.5075339306902338
21,20,1.0,0,0,0,0,0,1.5075339306902338
21,22,2.0,1,0,0,0,0,1.224481350238174
22,21,2.0,1,0,0,0,0,1.224481350238174
21,23,1.0,1,0,0,0,0,1.3604010955045347
23,21,1.0,1,0,0,0,0,1.3604010955045347
23,24,1.0,0,0,0,0,0,1.4315678586802902
24,23,1.0,0,0,0,0,0,1.4315678586802902
24,25,1.0,0,0,0,0,0,1.5314520745288909
25,24,1.0,0,0,0,0,0,1.5314520745288909
25,26,1.0,0,0,0,0,0,1.5332770339448691
26,25,1.0,0,0,0,0,0,1.5332770339448691
26,27,1.0,0,0,0,0,0,1.4224448422371743
27,26,1.0,0,0,0,0,0,1.4224448422371743
27,28,1.0,0,0,0,0,0,1.6152506326286342
28,27,1.0,0,0,0,0,0,1.6152506326286342
28,29,2.0,0,0,0,0,0,1.5045649417599438
29,28,2.0,0,0,0,0,0,1.5045649417599438
28,30,1.0,0,0,0,0,0,1.5042303180697747
30,28,1.0,0,0,0,0,0,1.5042303180697747
