source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5208590903930006
1,0,1.0,0,0,0,0,0,1.5208590903930006
1,2,1.0,0,0,0,0,0,1.5295017464089895
2,1,1.0,0,0,0,0,0,1.5295017464089895
2,3,1.0,0,0,0,0,0,1.5315205694839686
3,2,1.0,0,0,0,0,0,1.5315205694839686
3,4,1.0,0,0,0,0,0,1.531590999683669
4,3,1.0,0,0,0,0,0,1.531590999683669
4,5,1.0,0,0,0,4,0,1.5025273170048794
5,4,1.0,0,0,0,4,0,1.5025273170048794
5,6,2.0,0,0,2,0,0,1.343516417368201
6,5,2.0,0,0,2,0,0,1.343516417368201
6,7,1.0,0,0,0,3,0,1.5018707087865621
7,6,1.0,0,0,0,3,0,1.5018707087865621
7,8,1.0,0,0,0,4,0,1.5012578606775002
8,7,1.0,0,0,0,4,0,1.5012578606775002
8,9,2.0,0,0,2,0,0,1.3442950294421832
9,8,2.0,0,0,2,0,0,1.3442950294421832
9,10,1.0,0,0,0,3,0,1.5018825392656832
10,9,1.0,0,0,0,3,0,1.5018825392656832
10,11,1.0,0,0,0,4,0,1.50159142539558
11,10,1.0,0,0,0,4,0,1.50159142539558
11,12,2.0,0,0,2,0,0,1.3436173324695078
12,11,2.0,0,0,2,0,0,1.3436173324695078
12,13,1.0,0,0,0,3,0,1.5027684554818408
13,12,1.0,0,0,0,3,0,1.5027684554818408
13,14,1.0,0,0,0,0,0,1.5301213162465817
14,13,1.0,0,0,0,0,0,1.5301213162465817
14,15,1.0,0,0,0,0,0,1.5317328326625357
15,14,1.0,0,0,0,0,0,1.5317328326625357
15,16,1.0,0,0,0,0,0,1.5318873287466934
16,15,1.0,0,0,0,0,0,1.5318873287466934
16,17,1.0,0,0,0,0,0,1.5318355383648732
17,16,1.0,0,0,0,0,0,1.5318355383648732
17,18,1.0,0,0,0,0,0,1.5278728585780261
18,17,1.0,0,0,0,0,0,1.5278728585780261
18,19,1.0,0,0,0,0,0,1.510825335185997
19,18,1.0,0,0,0,0,0,1.510825335185997
19,20,2.0,1,0,0,0,0,1.2242897279600933
20,19,2.0,1,0,0,0,0,1.2242897279600933
19,21,1.0,1,0,0,0,0,1.3587806357041003
21,19,1.0,1,0,0,0,0,1.3587806357041003
21,22,1.0,0,0,0,0,0,1.4473551072383843
22,21,1.0,0,0,0,0,0,1.4473551072383843
22,23,1.0,0,0,0,0,0,1.5355060226076085
23,22,1.0,0,0,0,0,0,1.5355060226076085
23,24,1.0,0,0,0,0,0,1.4396023613291062
24,23,1.0,0,0,0,0,0,1.4396023613291062
24,25,1.0,1,0,0,0,0,1.3608354118139325
25,24,1.0,1,0,0,0,0,1.3608354118139325
25,26,2.0,1,0,0,0,0,1.2227389359671457
26,25,2.0,1,0,0,0,0,1.2227389359671457
25,27,1.0,0,0,0,0,0,1.510065998756931
27,25,1.0,0,0,0,0,0,1.510065998756931
27,28,1.0,0,0,0,0,0,1.5279322161851197
28,27,1.0,0,0,0,0,0,1.5279322161851197
28,29,1.0,0,0,0,0,0,1.5308771278664683
29,28,1.0,0,0,0,0,0,1.5308771278664683
29,30,1.0,0,0,0,0,0,1.5310922581228448
30,29,1.0,0,0,0,0,0,1.5310922581228448
30,31,1.0,0,0,0,0,0,1.5305424806958763
31,30,1.0,0,0,0,0,0,1.5305424806958763
31,32,1.0,0,0,0,0,0,1.5315510790863973
32,31,1.0,0,0,0,0,0,1.5315510790863973
32,33,1.0,0,0,0,0,0,1.5317102323104608
33,32,1.0,0,0,0,0,0,1.5317102323104608
33,34,1.0,0,0,0,4,0,1.5026880558864593
34,33,1.0,0,0,0,4,0,1.5026880558864593
34,35,2.0,0,0,2,0,0,1.3430591115756514
35,34,2.0,0,0,2,0,0,1.3430591115756514
35,36,1.0,0,0,0,3,0,1.5030345680350043
36,35,1.0,0,0,0,3,0,1.5030345680350043
36,37,1.0,0,0,0,0,0,1.5307810730138496
37,36,1.0,0,0,0,0,0,1.5307810730138496
37,38,1.0,0,0,0,0,0,1.5322624026093201
38,37,1.0,0,0,0,0,0,1.5322624026093201
38,39,1.0,0,0,0,0,0,1.5312253154794635
39,38,1.0,0,0,0,0,0,1.5312253154794635
39,40,1.0,0,0,0,0,0,1.5318452549523065
40,39,1.0,0,0,0,0,0,1.5318452549523065
40,41,1.0,0,0,0,0,0,1.5311880301767786
41,40,1.0,0,0,0,0,0,1.5311880301767786
41,42,1.0,0,0,0,0,0,1.5290861161389075
42,41,1.0,0,0,0,0,0,1.5290861161389075
42,43,1.0,0,0,0,0,0,1.5203836463949567
43,42,1.0,0,0,0,0,0,1.5203836463949567
22,44,1.0,0,0,0,0,0,1.5330492735208145
44,22,1.0,0,0,0,0,0,1.5330492735208145
44,45,1.0,0,0,0,0,0,1.4205439511505147
45,44,1.0,0,0,0,0,0,1.4205439511505147
45,46,1.0,0,0,0,0,0,1.6025958106600569
46,45,1.0,0,0,0,0,0,1.6025958106600569
46,47,2.0,0,0,0,0,0,1.4914660161239837
47,46,2.0,0,0,0,0,0,1.4914660161239837
46,48,1.0,0,0,0,0,0,1.6018586812826847
48,46,1.0,0,0,0,0,0,1.6018586812826847
46,49,1.0,0,0,0,0,0,1.6022235049171758
49,46,1.0,0,0,0,0,0,1.6022235049171758
49,50,1.0,0,0,0,0,0,1.4309714186528377
50,49,1.0,0,0,0,0,0,1.4309714186528377
50,51,1.0,0,1,0,0,0,1.5410286644004372
51,50,1.0,0,1,0,0,0,1.5410286644004372
51,52,1.0,0,0,0,0,0,1.4354426858142182
52,51,1.0,0,0,0,0,0,1.4354426858142182
51,53,1.0,0,1,0,0,0,1.537639092222566
53,51,1.0,0,1,0,0,0,1.537639092222566
53,54,1.0,0,0,0,0,0,1.4377105282230072
54,53,1.0,0,0,0,0,0,1.4377105282230072
53,55,1.0,0,1,0,0,0,1.5376958329857884
55,53,1.0,0,1,0,0,0,1.5376958329857884
55,56,1.0,0,0,0,0,0,1.4351776512350711
56,55,1.0,0,0,0,0,0,1.4351776512350711
55,57,1.0,0,1,0,0,0,1.533558180182986
57,55,1.0,0,1,0,0,0,1.533558180182986
57,58,1.0,0,0,0,0,0,1.4354154942031816
58,57,1.0,0,0,0,0,0,1.4354154942031816
57,59,1.0,0,1,0,0,0,1.5361227860749527
59,57,1.0,0,1,0,0,0,1.5361227860749527
59,60,1.0,0,0,0,0,0,1.4371633033845548
60,59,1.0,0,0,0,0,0,1.4371633033845548
59,50,1.0,0,1,0,0,0,1.5392122342389392
50,59,1.0,0,1,0,0,0,1.5392122342389392
