source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207326554053782
1,0,1.0,0,0,0,0,0,1.5207326554053782
1,2,1.0,0,0,0,0,0,1.5301000115753691
2,1,1.0,0,0,0,0,0,1.5301000115753691
2,3,1.0,0,0,0,0,0,1.5319704764827367
3,2,1.0,0,0,0,0,0,1.5319704764827367
3,4,1.0,0,0,0,0,0,1.5320167922361025
4,3,1.0,0,0,0,0,0,1.5320167922361025
4,5,1.0,0,0,0,0,0,1.5318589286709658
5,4,1.0,0,0,0,0,0,1.5318589286709658
5,6,1.0,0,0,0,0,0,1.5320504207903987
6,5,1.0,0,0,0,0,0,1.5320504207903987
6,7,1.0,0,0,0,0,0,1.531666136904365
7,6,1.0,0,0,0,0,0,1.531666136904365
7,8,1.0,0,0,0,0,0,1.532511604286092
8,7,1.0,0,0,0,0,0,1.532511604286092
8,9,1.0,0,0,0,0,0,1.5321679729484654
9,8,1.0,0,0,0,0,0,1.5321679729484654
9,10,1.0,0,0,0,0,0,1.5313937542267018
10,9,1.0,0,0,0,0,0,1.5313937542267018
10,11,1.0,0,0,0,0,0,1.5327774400522542
11,10,1.0,0,0,0,0,0,1.5327774400522542
11,12,1.0,0,0,0,0,0,1.5322811335827307
12,11,1.0,0,0,0,0,0,1.5322811335827307
12,13,1.0,0,0,0,0,0,1.5329196648556813
13,12,1.0,0,0,0,0,0,1.5329196648556813
13,14,1.0,0,0,0,0,0,1.5320769139761765
14,13,1.0,0,0,0,0,0,1.5320769139761765
14,15,1.0,0,0,0,0,0,1.531975443539247
15,14,1.0,0,0,0,0,0,1.531975443539247
15,16,1.0,0,0,0,0,0,1.5317664908218538
16,15,1.0,0,0,0,0,0,1.5317664908218538
16,17,1.0,0,0,0,0,0,1.5317834205782581
17,16,1.0,0,0,0,0,0,1.5317834205782581
17,18,1.0,0,0,0,0,0,1.5325090027918395
18,17,1.0,0,0,0,0,0,1.5325090027918395
18,19,1.0,0,0,0,0,0,1.5291221099605212
19,18,1.0,0,0,0,0,0,1.5291221099605212
19,20,1.0,0,0,0,0,0,1.4261875929318337
20,19,1.0,0,0,0,0,0,1.4261875929318337
20,21,1.0,0,0,0,0,0,1.4333708415058122
21,20,1.0,0,0,0,0,0,1.4333708415058122
21,22,1.0,0,0,0,0,0,1.53697009385164
22,21,1.0,0,0,0,0,0,1.53697009385164
22,23,1.0,0,0,0,0,0,1.5311727938772124
23,22,1.0,0,0,0,0,0,1.5311727938772124
23,24,1.0,0,0,0,0,0,1.4211639076281293
24,23,1.0,0,0,0,0,0,1.4211639076281293
24,25,1.0,0,0,0,0,0,1.6176641982681852
25,24,1.0,0,0,0,0,0,1.6176641982681852
25,26,2.0,0,0,0,0,0,1.5031116084177298
26,25,2.0,0,0,0,0,0,1.5031116084177298
25,27,1.0,0,0,0,0,0,1.5060521400035785
27,25,1.0,0,0,0,0,0,1.5060521400035785
25,28,1.0,0,0,0,0,0,1.624487238690811
28,25,1.0,0,0,0,0,0,1.624487238690811
28,29,1.0,0,0,0,0,0,1.4122716199872036
29,28,1.0,0,0,0,0,0,1.4122716199872036
29,30,1.0,0,0,0,0,0,1.5330487281595215
30,29,1.0,0,0,0,0,0,1.5330487281595215
30,31,1.0,0,0,0,0,0,1.5520896628490826
31,30,1.0,0,0,0,0,0,1.5520896628490826
31,32,1.0,0,0,0,0,0,1.525835418259373
32,31,1.0,0,0,0,0,0,1.525835418259373
31,33,1.0,0,0,0,0,0,1.5185423655384953
33,31,1.0,0,0,0,0,0,1.5185423655384953
31,34,1.0,0,0,0,0,0,1.5242759749680297
34,31,1.0,0,0,0,0,0,1.5242759749680297
22,35,1.0,0,0,0,0,0,1.4483196108539356
35,22,1.0,0,0,0,0,0,1.4483196108539356
35,36,1.0,1,0,0,0,0,1.3571958825715218
36,35,1.0,1,0,0,0,0,1.3571958825715218
36,37,2.0,1,0,0,0,0,1.2240434766645614
37,36,2.0,1,0,0,0,0,1.2240434766645614
36,38,1.0,0,0,0,0,0,1.5094149173461298
38,36,1.0,0,0,0,0,0,1.5094149173461298
38,39,1.0,0,0,0,0,0,1.5275654327626207
39,38,1.0,0,0,0,0,0,1.5275654327626207
39,40,1.0,0,0,0,0,0,1.5328132205251752
40,39,1.0,0,0,0,0,0,1.5328132205251752
40,41,1.0,0,0,0,0,0,1.5321955871838318
41,40,1.0,0,0,0,0,0,1.5321955871838318
41,42,1.0,0,0,0,0,0,1.5321103825657185
42,41,1.0,0,0,0,0,0,1.5321103825657185
42,43,1.0,0,0,0,0,0,1.5312022505755547
43,42,1.0,0,0,0,0,0,1.5312022505755547
43,44,1.0,0,0,0,0,0,1.532550761910011
44,43,1.0,0,0,0,0,0,1.532550761910011
44,45,1.0,0,0,0,0,0,1.5313661627847128
45,44,1.0,0,0,0,0,0,1.5313661627847128
45,46,1.0,0,0,0,0,0,1.5321617016784042
46,45,1.0,0,0,0,0,0,1.5321617016784042
46,47,1.0,0,0,0,0,0,1.530764790653509
47,46,1.0,0,0,0,0,0,1.530764790653509
47,48,1.0,0,0,0,0,0,1.5205840483802338
48,47,1.0,0,0,0,0,0,1.5205840483802338
