atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,3,4,0,0,2,1,1,12.011,0.10110668298438945,0.2857142857142857
1,6,0,2,4,0,0,0,0,2,12.011,0.08344366981240091,0.25
2,8,0,2,4,0,0,0,0,0,15.999,-0.3156087972315758,0.21428571428571427
3,15,0,4,4,0,0,0,1,0,30.974,0.26767158219462295,0.17857142857142858
4,8,0,1,3,0,0,0,0,0,15.999,-0.276327983879957,0.21428571428571427
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561177995013586,0.21428571428571427
6,8,0,2,4,0,0,0,0,0,15.999,-0.31248110904678345,0.14285714285714285
7,6,0,2,4,0,0,0,0,2,12.011,0.1042843292452144,0.10714285714285714
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210368816839,0.07142857142857142
9,7,1,4,4,0,0,0,0,0,14.007,-0.328992743482659,0.03571428571428571
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717801,0.0
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717801,0.07142857142857142
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717801,0.07142857142857142
13,8,0,1,4,0,0,0,0,1,15.999,-0.3882926114717218,0.32142857142857145
14,6,0,2,4,0,0,0,0,2,12.011,0.0748494869762633,0.32142857142857145
15,8,0,2,4,0,0,0,0,0,15.999,-0.3786730618639264,0.35714285714285715
16,6,0,2,4,0,0,0,0,2,12.011,0.04668908377984297,0.39285714285714285
17,6,0,2,4,0,0,0,0,2,12.011,-0.029601213693301508,0.42857142857142855
18,6,0,2,4,0,0,0,0,2,12.011,-0.051114180342429295,0.4642857142857143
19,6,0,2,4,0,0,0,0,2,12.011,-0.05322156706432521,0.5
20,6,0,2,4,0,0,0,0,2,12.011,-0.05329357930760272,0.5357142857142857
21,6,0,2,4,0,0,0,0,2,12.011,-0.053011051971780764,0.5714285714285714
22,6,0,2,4,0,0,0,0,2,12.011,-0.049825016986628876,0.6071428571428571
23,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739038129,0.6428571428571429
24,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614876,0.6785714285714286
25,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.7142857142857143
26,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721,0.75
27,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674,0.7857142857142857
28,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766,0.8214285714285714
29,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676,0.8571428571428571
30,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526,0.8928571428571429
31,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327,0.9285714285714286
32,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655,0.9642857142857143
33,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243,1.0
