source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5436197402197742
1,0,1.0,0,0,0,0,0,1.5436197402197742
1,2,1.0,0,0,0,0,0,1.4267275281275231
2,1,1.0,0,0,0,0,0,1.4267275281275231
0,3,1.0,0,0,0,0,0,1.4757108140616997
3,0,1.0,0,0,0,0,0,1.4757108140616997
3,4,1.0,1,0,0,0,0,1.378164447702341
4,3,1.0,1,0,0,0,0,1.378164447702341
4,5,1.0,0,0,0,0,0,1.5174874243097618
5,4,1.0,0,0,0,0,0,1.5174874243097618
5,6,1.0,0,0,0,0,0,1.52816035522457
6,5,1.0,0,0,0,0,0,1.52816035522457
6,7,1.0,0,0,0,0,0,1.531816446712824
7,6,1.0,0,0,0,0,0,1.531816446712824
7,8,1.0,0,0,0,0,0,1.531934142158733
8,7,1.0,0,0,0,0,0,1.531934142158733
8,9,1.0,0,0,0,0,0,1.5318779619333176
9,8,1.0,0,0,0,0,0,1.5318779619333176
9,10,1.0,0,0,0,0,0,1.531985292811639
10,9,1.0,0,0,0,0,0,1.531985292811639
10,11,1.0,0,0,0,0,0,1.5321408967756935
11,10,1.0,0,0,0,0,0,1.5321408967756935
11,12,1.0,0,0,0,0,0,1.5309810603081235
12,11,1.0,0,0,0,0,0,1.5309810603081235
12,13,1.0,0,0,0,0,0,1.5326629579899087
13,12,1.0,0,0,0,0,0,1.5326629579899087
13,14,1.0,0,0,0,0,0,1.531995858070627
14,13,1.0,0,0,0,0,0,1.531995858070627
14,15,1.0,0,0,0,0,0,1.5314040866787448
15,14,1.0,0,0,0,0,0,1.5314040866787448
15,16,1.0,0,0,0,0,0,1.532666050782598
16,15,1.0,0,0,0,0,0,1.532666050782598
16,17,1.0,0,0,0,0,0,1.5323102813387035
17,16,1.0,0,0,0,0,0,1.5323102813387035
17,18,1.0,0,0,0,0,0,1.5323200899590343
18,17,1.0,0,0,0,0,0,1.5323200899590343
18,19,1.0,0,0,0,0,0,1.531586718678703
19,18,1.0,0,0,0,0,0,1.531586718678703
19,20,1.0,0,0,0,0,0,1.5317478010678598
20,19,1.0,0,0,0,0,0,1.5317478010678598
20,21,1.0,0,0,0,0,0,1.5315347430565152
21,20,1.0,0,0,0,0,0,1.5315347430565152
21,22,1.0,0,0,0,0,0,1.5301011258973745
22,21,1.0,0,0,0,0,0,1.5301011258973745
22,23,1.0,0,0,0,0,0,1.5207985341850854
23,22,1.0,0,0,0,0,0,1.5207985341850854
4,24,2.0,1,0,0,0,0,1.2254759425071333
24,4,2.0,1,0,0,0,0,1.2254759425071333
0,25,1.0,0,0,0,0,0,1.5563961317249657
25,0,1.0,0,0,0,0,0,1.5563961317249657
25,26,1.0,0,0,0,0,0,1.4326679521311778
26,25,1.0,0,0,0,0,0,1.4326679521311778
25,27,1.0,0,0,0,4,0,1.508029824399459
27,25,1.0,0,0,0,4,0,1.508029824399459
27,28,2.0,0,0,3,0,0,1.3439519949284822
28,27,2.0,0,0,3,0,0,1.3439519949284822
28,29,1.0,0,0,0,4,0,1.5052753553368334
29,28,1.0,0,0,0,4,0,1.5052753553368334
29,30,1.0,0,0,0,0,0,1.5328266392858008
30,29,1.0,0,0,0,0,0,1.5328266392858008
30,31,1.0,0,0,0,0,0,1.5331111490806897
31,30,1.0,0,0,0,0,0,1.5331111490806897
31,32,1.0,0,0,0,0,0,1.531369285137497
32,31,1.0,0,0,0,0,0,1.531369285137497
32,33,1.0,0,0,0,0,0,1.5320418616420501
33,32,1.0,0,0,0,0,0,1.5320418616420501
33,34,1.0,0,0,0,0,0,1.5322140395954351
34,33,1.0,0,0,0,0,0,1.5322140395954351
34,35,1.0,0,0,0,0,0,1.53198099440059
35,34,1.0,0,0,0,0,0,1.53198099440059
35,36,1.0,0,0,0,0,0,1.531012246253013
36,35,1.0,0,0,0,0,0,1.531012246253013
36,37,1.0,0,0,0,0,0,1.5316794488177525
37,36,1.0,0,0,0,0,0,1.5316794488177525
37,38,1.0,0,0,0,0,0,1.5300433856659128
38,37,1.0,0,0,0,0,0,1.5300433856659128
38,39,1.0,0,0,0,0,0,1.5207977443643201
39,38,1.0,0,0,0,0,0,1.5207977443643201
