source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5322356266109085
1,0,1.0,0,0,0,0,0,1.5322356266109085
1,2,1.0,0,0,0,0,0,1.4152095733055978
2,1,1.0,0,0,0,0,0,1.4152095733055978
2,3,1.0,0,0,0,0,0,1.61295010814089
3,2,1.0,0,0,0,0,0,1.61295010814089
3,4,2.0,0,0,0,0,0,1.5072722713321023
4,3,2.0,0,0,0,0,0,1.5072722713321023
3,5,1.0,0,0,0,0,0,1.5015512828065678
5,3,1.0,0,0,0,0,0,1.5015512828065678
3,6,1.0,0,0,0,0,0,1.6219844272021697
6,3,1.0,0,0,0,0,0,1.6219844272021697
6,7,1.0,0,0,0,0,0,1.410131443852308
7,6,1.0,0,0,0,0,0,1.410131443852308
7,8,1.0,0,0,0,0,0,1.528548215659011
8,7,1.0,0,0,0,0,0,1.528548215659011
8,9,1.0,0,0,0,0,0,1.5505666145439478
9,8,1.0,0,0,0,0,0,1.5505666145439478
9,10,1.0,0,0,0,0,0,1.520845827642796
10,9,1.0,0,0,0,0,0,1.520845827642796
9,11,1.0,0,0,0,0,0,1.5330631142595321
11,9,1.0,0,0,0,0,0,1.5330631142595321
9,12,1.0,0,0,0,0,0,1.5156771046842845
12,9,1.0,0,0,0,0,0,1.5156771046842845
0,13,1.0,0,0,0,0,0,1.4447409513129443
13,0,1.0,0,0,0,0,0,1.4447409513129443
13,14,1.0,1,0,0,0,0,1.3608427711416597
14,13,1.0,1,0,0,0,0,1.3608427711416597
14,15,1.0,0,0,0,0,0,1.5083888139705286
15,14,1.0,0,0,0,0,0,1.5083888139705286
15,16,1.0,0,0,0,0,0,1.5266914080550984
16,15,1.0,0,0,0,0,0,1.5266914080550984
16,17,1.0,0,0,0,0,0,1.5301615807635456
17,16,1.0,0,0,0,0,0,1.5301615807635456
17,18,1.0,0,0,0,0,0,1.5328959207238142
18,17,1.0,0,0,0,0,0,1.5328959207238142
18,19,1.0,0,0,0,0,0,1.5329688019048453
19,18,1.0,0,0,0,0,0,1.5329688019048453
19,20,1.0,0,0,0,0,0,1.532150633963807
20,19,1.0,0,0,0,0,0,1.532150633963807
20,21,1.0,0,0,0,0,0,1.5322286459364194
21,20,1.0,0,0,0,0,0,1.5322286459364194
21,22,1.0,0,0,0,0,0,1.532554103654343
22,21,1.0,0,0,0,0,0,1.532554103654343
22,23,1.0,0,0,0,0,0,1.5325124339200755
23,22,1.0,0,0,0,0,0,1.5325124339200755
23,24,1.0,0,0,0,4,0,1.5028204786843586
24,23,1.0,0,0,0,4,0,1.5028204786843586
24,25,2.0,0,0,2,0,0,1.3424817309511405
25,24,2.0,0,0,2,0,0,1.3424817309511405
25,26,1.0,0,0,0,3,0,1.5021794136725946
26,25,1.0,0,0,0,3,0,1.5021794136725946
26,27,1.0,0,0,0,0,0,1.5300582232618678
27,26,1.0,0,0,0,0,0,1.5300582232618678
27,28,1.0,0,0,0,0,0,1.5305637808504433
28,27,1.0,0,0,0,0,0,1.5305637808504433
28,29,1.0,0,0,0,0,0,1.5316019793066278
29,28,1.0,0,0,0,0,0,1.5316019793066278
29,30,1.0,0,0,0,0,0,1.5318567294092726
30,29,1.0,0,0,0,0,0,1.5318567294092726
30,31,1.0,0,0,0,0,0,1.5320253720641996
31,30,1.0,0,0,0,0,0,1.5320253720641996
31,32,1.0,0,0,0,0,0,1.5303134749782328
32,31,1.0,0,0,0,0,0,1.5303134749782328
32,33,1.0,0,0,0,0,0,1.5206703679282636
33,32,1.0,0,0,0,0,0,1.5206703679282636
14,34,2.0,1,0,0,0,0,1.223541368248665
34,14,2.0,1,0,0,0,0,1.223541368248665
0,35,1.0,0,0,0,0,0,1.5399347817284508
35,0,1.0,0,0,0,0,0,1.5399347817284508
35,36,1.0,0,0,0,0,0,1.4340090541081505
36,35,1.0,0,0,0,0,0,1.4340090541081505
36,37,1.0,1,0,0,0,0,1.3566352343564765
37,36,1.0,1,0,0,0,0,1.3566352343564765
37,38,1.0,0,0,0,0,0,1.5126041936123051
38,37,1.0,0,0,0,0,0,1.5126041936123051
38,39,1.0,0,0,0,0,0,1.5289206484838898
39,38,1.0,0,0,0,0,0,1.5289206484838898
39,40,1.0,0,0,0,0,0,1.5299504491028697
