source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5205532794754983
1,0,1.0,0,0,0,0,0,1.5205532794754983
1,2,1.0,0,0,0,0,0,1.5300901561453388
2,1,1.0,0,0,0,0,0,1.5300901561453388
2,3,1.0,0,0,0,0,0,1.5312028744984514
3,2,1.0,0,0,0,0,0,1.5312028744984514
3,4,1.0,0,0,0,0,0,1.5317777086097084
4,3,1.0,0,0,0,0,0,1.5317777086097084
4,5,1.0,0,0,0,0,0,1.5321925872467383
5,4,1.0,0,0,0,0,0,1.5321925872467383
5,6,1.0,0,0,0,0,0,1.5313547902991718
6,5,1.0,0,0,0,0,0,1.5313547902991718
6,7,1.0,0,0,0,0,0,1.5332074509205729
7,6,1.0,0,0,0,0,0,1.5332074509205729
7,8,1.0,0,0,0,0,0,1.532025227257165
8,7,1.0,0,0,0,0,0,1.532025227257165
8,9,1.0,0,0,0,4,0,1.5031085799779058
9,8,1.0,0,0,0,4,0,1.5031085799779058
9,10,2.0,0,0,2,0,0,1.3429226527686895
10,9,2.0,0,0,2,0,0,1.3429226527686895
10,11,1.0,0,0,0,3,0,1.502606165431779
11,10,1.0,0,0,0,3,0,1.502606165431779
11,12,1.0,0,0,0,0,0,1.5320816943966777
12,11,1.0,0,0,0,0,0,1.5320816943966777
12,13,1.0,0,0,0,0,0,1.5331531112398047
13,12,1.0,0,0,0,0,0,1.5331531112398047
13,14,1.0,0,0,0,0,0,1.5314764585082585
14,13,1.0,0,0,0,0,0,1.5314764585082585
14,15,1.0,0,0,0,0,0,1.5325480945389112
15,14,1.0,0,0,0,0,0,1.5325480945389112
15,16,1.0,0,0,0,0,0,1.532951514240403
16,15,1.0,0,0,0,0,0,1.532951514240403
16,17,1.0,0,0,0,0,0,1.5272799447956134
17,16,1.0,0,0,0,0,0,1.5272799447956134
17,18,1.0,0,0,0,0,0,1.5100734226157033
18,17,1.0,0,0,0,0,0,1.5100734226157033
18,19,2.0,1,0,0,0,0,1.2235452110636376
19,18,2.0,1,0,0,0,0,1.2235452110636376
18,20,1.0,1,0,0,0,0,1.3617982817290797
20,18,1.0,1,0,0,0,0,1.3617982817290797
20,21,1.0,0,0,0,0,0,1.4388447621056055
21,20,1.0,0,0,0,0,0,1.4388447621056055
21,22,1.0,0,0,0,0,0,1.5364682056826977
22,21,1.0,0,0,0,0,0,1.5364682056826977
22,23,1.0,0,0,0,0,0,1.5327562176241394
23,22,1.0,0,0,0,0,0,1.5327562176241394
23,24,1.0,0,0,0,0,0,1.4192516530631618
24,23,1.0,0,0,0,0,0,1.4192516530631618
24,25,1.0,0,0,0,0,0,1.6035963204352153
25,24,1.0,0,0,0,0,0,1.6035963204352153
25,26,2.0,0,0,0,0,0,1.492182210016959
26,25,2.0,0,0,0,0,0,1.492182210016959
25,27,1.0,0,0,0,0,0,1.6013226002118293
27,25,1.0,0,0,0,0,0,1.6013226002118293
25,28,1.0,0,0,0,0,0,1.6046900283960164
28,25,1.0,0,0,0,0,0,1.6046900283960164
28,29,1.0,0,0,0,0,0,1.4190292849624346
29,28,1.0,0,0,0,0,0,1.4190292849624346
29,30,1.0,0,0,0,0,0,1.5300149086737602
30,29,1.0,0,0,0,0,0,1.5300149086737602
30,31,1.0,0,0,0,0,0,1.435541176612003
31,30,1.0,0,0,0,0,0,1.435541176612003
30,32,1.0,0,0,0,0,0,1.5308287541629264
32,30,1.0,0,0,0,0,0,1.5308287541629264
32,33,1.0,0,0,0,0,0,1.4299550067130844
33,32,1.0,0,0,0,0,0,1.4299550067130844
22,34,1.0,0,0,0,0,0,1.4461010160779197
34,22,1.0,0,0,0,0,0,1.4461010160779197
34,35,1.0,1,0,0,0,0,1.3599609741379597
35,34,1.0,1,0,0,0,0,1.3599609741379597
35,36,2.0,1,0,0,0,0,1.222721458309509
36,35,2.0,1,0,0,0,0,1.222721458309509
35,37,1.0,0,0,0,0,0,1.5082116432229575
37,35,1.0,0,0,0,0,0,1.5082116432229575
37,38,1.0,0,0,0,0,0,1.5269725366764713
38,37,1.0,0,0,0,0,0,1.5269725366764713
38,39,1.0,0,0,0,0,0,1.5319113576595729
39,38,1.0,0,0,0,0,0,1.5319113576595729
39,40,1.0,0,0,0,0,0,1.5316854855568378
40,39,1.0,0,0,0,0,0,1.5316854855568378
40,41,1.0,0,0,0,0,0,1.5318674872282219
41,40,1.0,0,0,0,0,0,1.5318674872282219
41,42,1.0,0,0,0,0,0,1.531752521639326
42,41,1.0,0,0,0,0,0,1.531752521639326
42,43,1.0,0,0,0,0,0,1.5317673444351425
43,42,1.0,0,0,0,0,0,1.5317673444351425
43,44,1.0,0,0,0,0,0,1.531216063668232
44,43,1.0,0,0,0,0,0,1.531216063668232
44,45,1.0,0,0,0,0,0,1.5311284196823625
45,44,1.0,0,0,0,0,0,1.5311284196823625
45,46,1.0,0,0,0,0,0,1.5318253348143582
46,45,1.0,0,0,0,0,0,1.5318253348143582
46,47,1.0,0,0,0,0,0,1.5303520859529647
47,46,1.0,0,0,0,0,0,1.5303520859529647
47,48,1.0,0,0,0,0,0,1.5208529377506086
48,47,1.0,0,0,0,0,0,1.5208529377506086
