source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206227745045564
1,0,1.0,0,0,0,0,0,1.5206227745045564
1,2,1.0,0,0,0,0,0,1.5303755267457093
2,1,1.0,0,0,0,0,0,1.5303755267457093
2,3,1.0,0,0,0,0,0,1.5324230561904753
3,2,1.0,0,0,0,0,0,1.5324230561904753
3,4,1.0,0,0,0,0,0,1.5316062321668593
4,3,1.0,0,0,0,0,0,1.5316062321668593
4,5,1.0,0,0,0,4,0,1.5038451015217562
5,4,1.0,0,0,0,4,0,1.5038451015217562
5,6,2.0,0,0,2,0,0,1.3436535754586323
6,5,2.0,0,0,2,0,0,1.3436535754586323
6,7,1.0,0,0,0,3,0,1.5029720390262529
7,6,1.0,0,0,0,3,0,1.5029720390262529
7,8,1.0,0,0,0,4,0,1.5028819877148878
8,7,1.0,0,0,0,4,0,1.5028819877148878
8,9,2.0,0,0,2,0,0,1.3445684457442595
9,8,2.0,0,0,2,0,0,1.3445684457442595
9,10,1.0,0,0,0,3,0,1.5018818024067364
10,9,1.0,0,0,0,3,0,1.5018818024067364
10,11,1.0,0,0,0,4,0,1.503639686841679
11,10,1.0,0,0,0,4,0,1.503639686841679
11,12,2.0,0,0,2,0,0,1.344062285736699
12,11,2.0,0,0,2,0,0,1.344062285736699
12,13,1.0,0,0,0,3,0,1.5030866330512973
13,12,1.0,0,0,0,3,0,1.5030866330512973
13,14,1.0,0,0,0,0,0,1.530292279573828
14,13,1.0,0,0,0,0,0,1.530292279573828
14,15,1.0,0,0,0,0,0,1.531991571689882
15,14,1.0,0,0,0,0,0,1.531991571689882
15,16,1.0,0,0,0,0,0,1.5305448159811064
16,15,1.0,0,0,0,0,0,1.5305448159811064
16,17,1.0,0,0,0,0,0,1.5318614456033102
17,16,1.0,0,0,0,0,0,1.5318614456033102
17,18,1.0,0,0,0,0,0,1.5275731942285318
18,17,1.0,0,0,0,0,0,1.5275731942285318
18,19,1.0,0,0,0,0,0,1.5099144135375944
19,18,1.0,0,0,0,0,0,1.5099144135375944
19,20,2.0,1,0,0,0,0,1.2239054350021203
20,19,2.0,1,0,0,0,0,1.2239054350021203
19,21,1.0,1,0,0,0,0,1.357788668474497
21,19,1.0,1,0,0,0,0,1.357788668474497
21,22,1.0,0,0,0,0,0,1.4465789151285315
22,21,1.0,0,0,0,0,0,1.4465789151285315
22,23,1.0,0,0,0,0,0,1.533413427799454
23,22,1.0,0,0,0,0,0,1.533413427799454
23,24,1.0,0,0,0,0,0,1.4323729259188331
24,23,1.0,0,0,0,0,0,1.4323729259188331
24,25,1.0,0,0,0,0,0,1.4264933188441309
25,24,1.0,0,0,0,0,0,1.4264933188441309
25,26,1.0,0,0,0,0,0,1.526058073628589
26,25,1.0,0,0,0,0,0,1.526058073628589
26,27,1.0,0,0,0,0,0,1.5293901276550257
27,26,1.0,0,0,0,0,0,1.5293901276550257
27,28,1.0,0,0,0,0,0,1.5316087376994054
28,27,1.0,0,0,0,0,0,1.5316087376994054
28,29,1.0,0,0,0,0,0,1.5320415653168147
29,28,1.0,0,0,0,0,0,1.5320415653168147
29,30,1.0,0,0,0,0,0,1.5311017010078132
30,29,1.0,0,0,0,0,0,1.5311017010078132
30,31,1.0,0,0,0,0,0,1.5324194390228296
31,30,1.0,0,0,0,0,0,1.5324194390228296
31,32,1.0,0,0,0,0,0,1.5319858284674819
32,31,1.0,0,0,0,0,0,1.5319858284674819
32,33,1.0,0,0,0,0,0,1.5323843845506313
33,32,1.0,0,0,0,0,0,1.5323843845506313
33,34,1.0,0,0,0,0,0,1.531989337095111
34,33,1.0,0,0,0,0,0,1.531989337095111
34,35,1.0,0,0,0,0,0,1.531638924627632
35,34,1.0,0,0,0,0,0,1.531638924627632
35,36,1.0,0,0,0,0,0,1.5311291149556858
36,35,1.0,0,0,0,0,0,1.5311291149556858
36,37,1.0,0,0,0,0,0,1.531349031203436
37,36,1.0,0,0,0,0,0,1.531349031203436
37,38,1.0,0,0,0,0,0,1.5305391493800875
38,37,1.0,0,0,0,0,0,1.5305391493800875
38,39,1.0,0,0,0,0,0,1.5290431021696331
39,38,1.0,0,0,0,0,0,1.5290431021696331
39,40,1.0,0,0,0,0,0,1.520502331358563
40,39,1.0,0,0,0,0,0,1.520502331358563
22,41,1.0,0,0,0,0,0,1.5333599142698695
41,22,1.0,0,0,0,0,0,1.5333599142698695
41,42,1.0,0,0,0,0,0,1.4197001611458944
42,41,1.0,0,0,0,0,0,1.4197001611458944
42,43,1.0,0,0,0,0,0,1.6157385206376929
43,42,1.0,0,0,0,0,0,1.6157385206376929
43,44,2.0,0,0,0,0,0,1.5030204929799904
44,43,2.0,0,0,0,0,0,1.5030204929799904
43,45,1.0,0,0,0,0,0,1.5055163200974628
45,43,1.0,0,0,0,0,0,1.5055163200974628
43,46,1.0,0,0,0,0,0,1.6242423676017208
46,43,1.0,0,0,0,0,0,1.6242423676017208
46,47,1.0,0,0,0,0,0,1.4134008498824744
47,46,1.0,0,0,0,0,0,1.4134008498824744
47,48,1.0,0,0,0,0,0,1.534711947830882
48,47,1.0,0,0,0,0,0,1.534711947830882
48,49,1.0,0,0,0,0,0,1.5544975613042664
49,48,1.0,0,0,0,0,0,1.5544975613042664
49,50,1.0,0,0,0,0,0,1.5223606657834747
50,49,1.0,0,0,0,0,0,1.5223606657834747
49,51,1.0,0,0,0,0,0,1.5192173658626622
51,49,1.0,0,0,0,0,0,1.5192173658626622
49,52,1.0,0,0,0,0,0,1.5234217055803883
52,49,1.0,0,0,0,0,0,1.5234217055803883
