source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5321934412605351
1,0,1.0,0,0,0,0,0,1.5321934412605351
1,2,1.0,0,0,0,0,0,1.4192348623789928
2,1,1.0,0,0,0,0,0,1.4192348623789928
2,3,1.0,0,0,0,0,0,1.616911496187392
3,2,1.0,0,0,0,0,0,1.616911496187392
3,4,2.0,0,0,0,0,0,1.5040029593249031
4,3,2.0,0,0,0,0,0,1.5040029593249031
3,5,1.0,0,0,0,0,0,1.5039069674453303
5,3,1.0,0,0,0,0,0,1.5039069674453303
3,6,1.0,0,0,0,0,0,1.6242510390911005
6,3,1.0,0,0,0,0,0,1.6242510390911005
6,7,1.0,0,0,0,0,0,1.4147434931478624
7,6,1.0,0,0,0,0,0,1.4147434931478624
7,8,1.0,0,0,0,0,0,1.534363788159495
8,7,1.0,0,0,0,0,0,1.534363788159495
8,9,1.0,0,0,0,0,0,1.5546080766830879
9,8,1.0,0,0,0,0,0,1.5546080766830879
9,10,1.0,0,0,0,0,0,1.5165876048993525
10,9,1.0,0,0,0,0,0,1.5165876048993525
9,11,1.0,0,0,0,0,0,1.525862013005903
11,9,1.0,0,0,0,0,0,1.525862013005903
9,12,1.0,0,0,0,0,0,1.522348335819112
12,9,1.0,0,0,0,0,0,1.522348335819112
0,13,1.0,0,0,0,0,0,1.4482540776848425
13,0,1.0,0,0,0,0,0,1.4482540776848425
13,14,1.0,1,0,0,0,0,1.3578589516045978
14,13,1.0,1,0,0,0,0,1.3578589516045978
14,15,1.0,0,0,0,0,0,1.5100772303678158
15,14,1.0,0,0,0,0,0,1.5100772303678158
15,16,1.0,0,0,0,0,0,1.5271295793664756
16,15,1.0,0,0,0,0,0,1.5271295793664756
16,17,1.0,0,0,0,0,0,1.5324604942279567
17,16,1.0,0,0,0,0,0,1.5324604942279567
17,18,1.0,0,0,0,0,0,1.5314245198247984
18,17,1.0,0,0,0,0,0,1.5314245198247984
18,19,1.0,0,0,0,0,0,1.530412994516102
19,18,1.0,0,0,0,0,0,1.530412994516102
