source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206199616065965
1,0,1.0,0,0,0,0,0,1.5206199616065965
1,2,1.0,0,0,0,0,0,1.5296545370205161
2,1,1.0,0,0,0,0,0,1.5296545370205161
2,3,1.0,0,0,0,0,0,1.531442403140337
3,2,1.0,0,0,0,0,0,1.531442403140337
3,4,1.0,0,0,0,0,0,1.5310417758349115
4,3,1.0,0,0,0,0,0,1.5310417758349115
4,5,1.0,0,0,0,0,0,1.5319272960885333
5,4,1.0,0,0,0,0,0,1.5319272960885333
5,6,1.0,0,0,0,0,0,1.531411713023551
6,5,1.0,0,0,0,0,0,1.531411713023551
6,7,1.0,0,0,0,0,0,1.5311020175603989
7,6,1.0,0,0,0,0,0,1.5311020175603989
7,8,1.0,0,0,0,0,0,1.5314837762274371
8,7,1.0,0,0,0,0,0,1.5314837762274371
8,9,1.0,0,0,0,0,0,1.5312045258345348
9,8,1.0,0,0,0,0,0,1.5312045258345348
9,10,1.0,0,0,0,0,0,1.530390607131753
10,9,1.0,0,0,0,0,0,1.530390607131753
10,11,1.0,0,0,0,0,0,1.5304706835831576
11,10,1.0,0,0,0,0,0,1.5304706835831576
11,12,1.0,0,0,0,0,0,1.530663834118428
12,11,1.0,0,0,0,0,0,1.530663834118428
12,13,1.0,0,0,0,0,0,1.5313683424091287
13,12,1.0,0,0,0,0,0,1.5313683424091287
13,14,1.0,0,0,0,0,0,1.5274589925894668
14,13,1.0,0,0,0,0,0,1.5274589925894668
14,15,1.0,0,0,0,0,0,1.510673365172872
15,14,1.0,0,0,0,0,0,1.510673365172872
15,16,2.0,1,0,0,0,0,1.2240257698251509
16,15,2.0,1,0,0,0,0,1.2240257698251509
15,17,1.0,1,0,0,0,0,1.3590493886595088
17,15,1.0,1,0,0,0,0,1.3590493886595088
17,18,1.0,0,0,0,0,0,1.4472513159156866
18,17,1.0,0,0,0,0,0,1.4472513159156866
18,19,1.0,0,0,0,0,0,1.5341715092194215
19,18,1.0,0,0,0,0,0,1.5341715092194215
19,20,1.0,0,0,0,0,0,1.4424569787829034
20,19,1.0,0,0,0,0,0,1.4424569787829034
20,21,1.0,1,0,0,0,0,1.3600616279376636
21,20,1.0,1,0,0,0,0,1.3600616279376636
21,22,2.0,1,0,0,0,0,1.2246131502488353
22,21,2.0,1,0,0,0,0,1.2246131502488353
21,23,1.0,0,0,0,0,0,1.5099074569588313
23,21,1.0,0,0,0,0,0,1.5099074569588313
23,24,1.0,0,0,0,0,0,1.5269422736763727
24,23,1.0,0,0,0,0,0,1.5269422736763727
24,25,1.0,0,0,0,0,0,1.5312571609025447
25,24,1.0,0,0,0,0,0,1.5312571609025447
25,26,1.0,0,0,0,0,0,1.5320078073599466
26,25,1.0,0,0,0,0,0,1.5320078073599466
26,27,1.0,0,0,0,0,0,1.5311951492998839
27,26,1.0,0,0,0,0,0,1.5311951492998839
27,28,1.0,0,0,0,0,0,1.5306526165670886
28,27,1.0,0,0,0,0,0,1.5306526165670886
28,29,1.0,0,0,0,0,0,1.5321923497913466
29,28,1.0,0,0,0,0,0,1.5321923497913466
29,30,1.0,0,0,0,0,0,1.532516403372581
30,29,1.0,0,0,0,0,0,1.532516403372581
30,31,1.0,0,0,0,0,0,1.5315479511814292
31,30,1.0,0,0,0,0,0,1.5315479511814292
31,32,1.0,0,0,0,0,0,1.5312372021842768
32,31,1.0,0,0,0,0,0,1.5312372021842768
32,33,1.0,0,0,0,0,0,1.5307111898819568
33,32,1.0,0,0,0,0,0,1.5307111898819568
33,34,1.0,0,0,0,0,0,1.5313711079900325
34,33,1.0,0,0,0,0,0,1.5313711079900325
34,35,1.0,0,0,0,0,0,1.5299455789942322
35,34,1.0,0,0,0,0,0,1.5299455789942322
35,36,1.0,0,0,0,0,0,1.5205016619408351
36,35,1.0,0,0,0,0,0,1.5205016619408351
18,37,1.0,0,0,0,0,0,1.5315058066911185
37,18,1.0,0,0,0,0,0,1.5315058066911185
37,38,1.0,0,0,0,0,0,1.42039874176219
38,37,1.0,0,0,0,0,0,1.42039874176219
38,39,1.0,0,0,0,0,0,1.618107344860442
39,38,1.0,0,0,0,0,0,1.618107344860442
39,40,2.0,0,0,0,0,0,1.5074358837573345
40,39,2.0,0,0,0,0,0,1.5074358837573345
39,41,1.0,0,0,0,0,0,1.5013072808836685
41,39,1.0,0,0,0,0,0,1.5013072808836685
39,42,1.0,0,0,0,0,0,1.6265346822408673
42,39,1.0,0,0,0,0,0,1.6265346822408673
42,43,1.0,0,0,0,0,0,1.4145233063545004
43,42,1.0,0,0,0,0,0,1.4145233063545004
43,44,1.0,0,0,0,0,0,1.5335843478329045
44,43,1.0,0,0,0,0,0,1.5335843478329045
44,45,1.0,0,0,0,0,0,1.5515522007348839
45,44,1.0,0,0,0,0,0,1.5515522007348839
45,46,1.0,0,0,0,0,0,1.5225348944378987
46,45,1.0,0,0,0,0,0,1.5225348944378987
45,47,1.0,0,0,0,0,0,1.52043262837498
47,45,1.0,0,0,0,0,0,1.52043262837498
45,48,1.0,0,0,0,0,0,1.5216617284152056
48,45,1.0,0,0,0,0,0,1.5216617284152056
