source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.52151632391138
1,0,1.0,0,0,0,0,0,1.52151632391138
1,2,1.0,0,0,0,0,0,1.5307615590500026
2,1,1.0,0,0,0,0,0,1.5307615590500026
2,3,1.0,0,0,0,0,0,1.531847411759829
3,2,1.0,0,0,0,0,0,1.531847411759829
3,4,1.0,0,0,0,0,0,1.5305522003715797
4,3,1.0,0,0,0,0,0,1.5305522003715797
4,5,1.0,0,0,0,0,0,1.5326407474094539
5,4,1.0,0,0,0,0,0,1.5326407474094539
5,6,1.0,0,0,0,0,0,1.531866102732671
6,5,1.0,0,0,0,0,0,1.531866102732671
6,7,1.0,0,0,0,0,0,1.5334146607409447
7,6,1.0,0,0,0,0,0,1.5334146607409447
7,8,1.0,0,0,0,0,0,1.5324168721953648
8,7,1.0,0,0,0,0,0,1.5324168721953648
8,9,1.0,0,0,0,4,0,1.5024547863065512
9,8,1.0,0,0,0,4,0,1.5024547863065512
9,10,2.0,0,0,2,0,0,1.343208200527629
10,9,2.0,0,0,2,0,0,1.343208200527629
10,11,1.0,0,0,0,3,0,1.5054679460316243
11,10,1.0,0,0,0,3,0,1.5054679460316243
11,12,1.0,0,0,0,0,0,1.535138784605347
12,11,1.0,0,0,0,0,0,1.535138784605347
12,13,1.0,0,0,0,4,0,1.5087290928520785
13,12,1.0,0,0,0,4,0,1.5087290928520785
13,14,2.0,0,0,3,0,0,1.3439020367534993
14,13,2.0,0,0,3,0,0,1.3439020367534993
14,15,1.0,0,0,0,4,0,1.5053349887367147
15,14,1.0,0,0,0,4,0,1.5053349887367147
15,16,1.0,0,0,0,0,0,1.432444428900386
16,15,1.0,0,0,0,0,0,1.432444428900386
15,17,1.0,0,0,0,0,0,1.556004380944427
17,15,1.0,0,0,0,0,0,1.556004380944427
17,18,1.0,0,0,0,0,0,1.5467418973802955
18,17,1.0,0,0,0,0,0,1.5467418973802955
18,19,1.0,0,0,0,0,0,1.4314237260211582
19,18,1.0,0,0,0,0,0,1.4314237260211582
19,20,1.0,0,0,0,0,0,1.433190043688227
20,19,1.0,0,0,0,0,0,1.433190043688227
20,21,1.0,0,1,0,0,0,1.4253772757656946
21,20,1.0,0,1,0,0,0,1.4253772757656946
21,22,1.0,0,1,0,0,0,1.440078287976
22,21,1.0,0,1,0,0,0,1.440078287976
22,23,1.0,0,0,0,0,0,1.5363344128926983
23,22,1.0,0,0,0,0,0,1.5363344128926983
23,24,1.0,0,0,0,0,0,1.4261388933033936
24,23,1.0,0,0,0,0,0,1.4261388933033936
22,25,1.0,0,1,0,0,0,1.5437609588440198
25,22,1.0,0,1,0,0,0,1.5437609588440198
25,26,1.0,0,0,0,0,0,1.4409682107866069
26,25,1.0,0,0,0,0,0,1.4409682107866069
25,27,1.0,0,1,0,0,0,1.5347529936288375
27,25,1.0,0,1,0,0,0,1.5347529936288375
27,28,1.0,0,0,0,0,0,1.4338067253251696
28,27,1.0,0,0,0,0,0,1.4338067253251696
27,29,1.0,0,1,0,0,0,1.539364770523124
29,27,1.0,0,1,0,0,0,1.539364770523124
29,30,1.0,0,0,0,0,0,1.4401183746320099
30,29,1.0,0,0,0,0,0,1.4401183746320099
17,31,1.0,0,0,0,0,0,1.471824813828503
31,17,1.0,0,0,0,0,0,1.471824813828503
31,32,1.0,1,0,0,0,0,1.3750681489916299
32,31,1.0,1,0,0,0,0,1.3750681489916299
32,33,2.0,1,0,0,0,0,1.2290635857826666
33,32,2.0,1,0,0,0,0,1.2290635857826666
32,34,1.0,0,0,0,0,0,1.5392380038562803
34,32,1.0,0,0,0,0,0,1.5392380038562803
34,35,1.0,0,0,0,0,0,1.4275214929301085
35,34,1.0,0,0,0,0,0,1.4275214929301085
34,36,1.0,0,0,0,0,0,1.5314192407886744
36,34,1.0,0,0,0,0,0,1.5314192407886744
36,37,1.0,0,0,0,0,0,1.534696645457279
37,36,1.0,0,0,0,0,0,1.534696645457279
37,38,1.0,0,0,0,0,0,1.5310850711356905
38,37,1.0,0,0,0,0,0,1.5310850711356905
38,39,1.0,0,0,0,0,0,1.5323676471750614
39,38,1.0,0,0,0,0,0,1.5323676471750614
39,40,1.0,0,0,0,0,0,1.5314477607143282
40,39,1.0,0,0,0,0,0,1.5314477607143282
40,41,1.0,0,0,0,0,0,1.5321174072923531
41,40,1.0,0,0,0,0,0,1.5321174072923531
41,42,1.0,0,0,0,0,0,1.532641804905416
42,41,1.0,0,0,0,0,0,1.532641804905416
42,43,1.0,0,0,0,0,0,1.532427195983435
43,42,1.0,0,0,0,0,0,1.532427195983435
43,44,1.0,0,0,0,0,0,1.5304822887423348
44,43,1.0,0,0,0,0,0,1.5304822887423348
44,45,1.0,0,0,0,0,0,1.5316226726100053
45,44,1.0,0,0,0,0,0,1.5316226726100053
45,46,1.0,0,0,0,0,0,1.532189484399389
46,45,1.0,0,0,0,0,0,1.532189484399389
46,47,1.0,0,0,0,0,0,1.5317901977025101
47,46,1.0,0,0,0,0,0,1.5317901977025101
47,48,1.0,0,0,0,0,0,1.5301228854530986
48,47,1.0,0,0,0,0,0,1.5301228854530986
48,49,1.0,0,0,0,0,0,1.5211325654602186
49,48,1.0,0,0,0,0,0,1.5211325654602186
29,20,1.0,0,1,0,0,0,1.5464251467191885
20,29,1.0,0,1,0,0,0,1.5464251467191885
