atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.96
2,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.92
3,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.88
4,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.84
5,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8
6,6,0,2,4,0,0,0,0,2,12.011,-0.05330597279436938,0.76
7,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789114885,0.72
8,6,0,2,4,0,0,0,0,2,12.011,-0.053305972783275674,0.68
9,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118459915,0.64
10,6,0,2,4,0,0,0,0,2,12.011,-0.053305752360851694,0.6
11,6,0,2,4,0,0,0,0,2,12.011,-0.053290570961222694,0.56
12,6,0,2,4,0,0,0,0,2,12.011,-0.05274800901848443,0.52
13,6,0,2,4,0,0,0,0,2,12.011,-0.04278334458358069,0.48
14,6,0,2,4,0,0,0,0,2,12.011,0.0455022822607114,0.44
15,6,0,3,3,0,0,0,0,0,12.011,0.30537410365294515,0.4
16,8,0,1,3,0,0,0,0,0,15.999,-0.2522984328761486,0.44
17,8,0,2,3,0,0,0,0,0,15.999,-0.46282291443650997,0.36
18,6,0,2,4,0,0,0,0,2,12.011,0.11945247577902988,0.32
19,6,0,3,4,0,0,1,1,1,12.011,0.1119996281906715,0.28
20,8,0,1,4,0,0,0,0,1,15.999,-0.38713128009083597,0.32
21,6,0,2,4,0,0,0,0,2,12.011,0.08790206558104263,0.24
22,8,0,2,4,0,0,0,0,0,15.999,-0.28413707548603356,0.2
23,15,0,4,4,0,0,0,1,0,30.974,0.4718184965533102,0.16
24,8,0,1,3,0,0,0,0,0,15.999,-0.22811648348830618,0.2
25,8,0,1,4,0,0,0,0,1,15.999,-0.30249375609049917,0.2
26,8,0,2,4,0,0,0,0,0,15.999,-0.28567489181366174,0.12
27,6,0,2,4,0,0,0,0,2,12.011,0.07080924067504782,0.08
28,6,0,2,4,0,0,0,0,2,12.011,0.016559012934408073,0.04
29,7,0,1,4,0,0,0,0,2,14.007,-0.3282338418799216,0.0
