source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.52003910532102
1,0,1.0,0,0,0,0,0,1.52003910532102
1,2,1.0,0,0,0,0,0,1.5325032549259021
2,1,1.0,0,0,0,0,0,1.5325032549259021
2,3,1.0,0,0,0,0,0,1.5342746264972968
3,2,1.0,0,0,0,0,0,1.5342746264972968
3,4,1.0,0,0,0,4,0,1.5020577013099397
4,3,1.0,0,0,0,4,0,1.5020577013099397
4,5,2.0,0,0,2,0,0,1.3438547961083758
5,4,2.0,0,0,2,0,0,1.3438547961083758
5,6,1.0,0,0,0,3,0,1.5026868234601534
6,5,1.0,0,0,0,3,0,1.5026868234601534
6,7,1.0,0,0,0,4,0,1.5009900177876485
7,6,1.0,0,0,0,4,0,1.5009900177876485
7,8,2.0,0,0,2,0,0,1.343975580341027
8,7,2.0,0,0,2,0,0,1.343975580341027
8,9,1.0,0,0,0,3,0,1.5018945462020408
9,8,1.0,0,0,0,3,0,1.5018945462020408
9,10,1.0,0,0,0,0,0,1.5329211098292226
10,9,1.0,0,0,0,0,0,1.5329211098292226
10,11,1.0,0,0,0,0,0,1.533227988037775
11,10,1.0,0,0,0,0,0,1.533227988037775
11,12,1.0,0,0,0,0,0,1.5324365393162787
12,11,1.0,0,0,0,0,0,1.5324365393162787
12,13,1.0,0,0,0,0,0,1.5297055717922232
13,12,1.0,0,0,0,0,0,1.5297055717922232
13,14,1.0,0,0,0,0,0,1.5355700487299566
14,13,1.0,0,0,0,0,0,1.5355700487299566
14,15,1.0,0,0,0,0,0,1.5298114953408215
15,14,1.0,0,0,0,0,0,1.5298114953408215
15,16,1.0,0,0,0,0,0,1.5122371466965863
16,15,1.0,0,0,0,0,0,1.5122371466965863
16,17,2.0,1,0,0,0,0,1.2257018854196027
17,16,2.0,1,0,0,0,0,1.2257018854196027
16,18,1.0,1,0,0,0,0,1.3625641856655863
18,16,1.0,1,0,0,0,0,1.3625641856655863
18,19,1.0,0,0,0,0,0,1.4453293039307837
19,18,1.0,0,0,0,0,0,1.4453293039307837
19,20,1.0,0,0,0,0,0,1.5355906020166745
20,19,1.0,0,0,0,0,0,1.5355906020166745
20,21,1.0,0,0,0,0,0,1.4483977398614882
21,20,1.0,0,0,0,0,0,1.4483977398614882
21,22,1.0,1,0,0,0,0,1.358569070155126
22,21,1.0,1,0,0,0,0,1.358569070155126
22,23,2.0,1,0,0,0,0,1.2245815987611517
23,22,2.0,1,0,0,0,0,1.2245815987611517
22,24,1.0,0,0,0,0,0,1.5092343591939763
24,22,1.0,0,0,0,0,0,1.5092343591939763
24,25,1.0,0,0,0,0,0,1.5265636472613424
25,24,1.0,0,0,0,0,0,1.5265636472613424
25,26,1.0,0,0,0,0,0,1.5371245941609173
26,25,1.0,0,0,0,0,0,1.5371245941609173
26,27,1.0,0,0,0,0,0,1.5337607739242802
27,26,1.0,0,0,0,0,0,1.5337607739242802
27,28,1.0,0,0,0,0,0,1.532835564437705
28,27,1.0,0,0,0,0,0,1.532835564437705
28,29,1.0,0,0,0,0,0,1.5326815758483092
29,28,1.0,0,0,0,0,0,1.5326815758483092
29,30,1.0,0,0,0,4,0,1.5035550551664916
30,29,1.0,0,0,0,4,0,1.5035550551664916
30,31,2.0,0,0,2,0,0,1.3442809244654497
31,30,2.0,0,0,2,0,0,1.3442809244654497
31,32,1.0,0,0,0,3,0,1.5053913313048133
32,31,1.0,0,0,0,3,0,1.5053913313048133
32,33,1.0,0,0,0,4,0,1.5029715324139852
33,32,1.0,0,0,0,4,0,1.5029715324139852
33,34,2.0,0,0,2,0,0,1.3446261438029365
34,33,2.0,0,0,2,0,0,1.3446261438029365
34,35,1.0,0,0,0,3,0,1.504206833109887
35,34,1.0,0,0,0,3,0,1.504206833109887
35,36,1.0,0,0,0,4,0,1.500578719335546
36,35,1.0,0,0,0,4,0,1.500578719335546
36,37,2.0,0,0,2,0,0,1.3452712456297293
37,36,2.0,0,0,2,0,0,1.3452712456297293
37,38,1.0,0,0,0,3,0,1.5041965035487268
38,37,1.0,0,0,0,3,0,1.5041965035487268
38,39,1.0,0,0,0,0,0,1.5337246516230854
39,38,1.0,0,0,0,0,0,1.5337246516230854
39,40,1.0,0,0,0,0,0,1.5331901342610308
40,39,1.0,0,0,0,0,0,1.5331901342610308
40,41,1.0,0,0,0,0,0,1.5296348703218468
41,40,1.0,0,0,0,0,0,1.5296348703218468
41,42,1.0,0,0,0,0,0,1.5211886029180168
42,41,1.0,0,0,0,0,0,1.5211886029180168
19,43,1.0,0,0,0,0,0,1.5287832635818623
43,19,1.0,0,0,0,0,0,1.5287832635818623
43,44,1.0,0,0,0,0,0,1.4156857193996406
44,43,1.0,0,0,0,0,0,1.4156857193996406
44,45,1.0,0,0,0,0,0,1.6260663501550896
45,44,1.0,0,0,0,0,0,1.6260663501550896
45,46,2.0,0,0,0,0,0,1.5019294396284373
46,45,2.0,0,0,0,0,0,1.5019294396284373
45,47,1.0,0,0,0,0,0,1.5014760780133973
47,45,1.0,0,0,0,0,0,1.5014760780133973
45,48,1.0,0,0,0,0,0,1.6275097796891744
48,45,1.0,0,0,0,0,0,1.6275097796891744
48,49,1.0,0,0,0,0,0,1.4137110049511616
49,48,1.0,0,0,0,0,0,1.4137110049511616
49,50,1.0,0,0,0,0,0,1.5257347685278349
50,49,1.0,0,0,0,0,0,1.5257347685278349
50,51,1.0,0,0,0,0,0,1.5537326455549936
51,50,1.0,0,0,0,0,0,1.5537326455549936
51,52,1.0,0,0,0,0,0,1.5164244827050373
52,51,1.0,0,0,0,0,0,1.5164244827050373
51,53,1.0,0,0,0,0,0,1.5317967907825856
53,51,1.0,0,0,0,0,0,1.5317967907825856
51,54,1.0,0,0,0,0,0,1.5239580217729847
54,51,1.0,0,0,0,0,0,1.5239580217729847
