source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5205430719521573
1,0,1.0,0,0,0,0,0,1.5205430719521573
1,2,1.0,0,0,0,0,0,1.5304298466626303
2,1,1.0,0,0,0,0,0,1.5304298466626303
2,3,1.0,0,0,0,0,0,1.5317647184078833
3,2,1.0,0,0,0,0,0,1.5317647184078833
3,4,1.0,0,0,0,4,0,1.5029336417538153
4,3,1.0,0,0,0,4,0,1.5029336417538153
4,5,2.0,0,0,2,0,0,1.3431162944444626
5,4,2.0,0,0,2,0,0,1.3431162944444626
5,6,1.0,0,0,0,3,0,1.5025426834249467
6,5,1.0,0,0,0,3,0,1.5025426834249467
6,7,1.0,0,0,0,0,0,1.531903223995796
7,6,1.0,0,0,0,0,0,1.531903223995796
7,8,1.0,0,0,0,0,0,1.53237000634202
8,7,1.0,0,0,0,0,0,1.53237000634202
8,9,1.0,0,0,0,0,0,1.5313506815424933
9,8,1.0,0,0,0,0,0,1.5313506815424933
9,10,1.0,0,0,0,0,0,1.5314086591519942
10,9,1.0,0,0,0,0,0,1.5314086591519942
10,11,1.0,0,0,0,0,0,1.5318195202795428
11,10,1.0,0,0,0,0,0,1.5318195202795428
11,12,1.0,0,0,0,0,0,1.5278238444475885
12,11,1.0,0,0,0,0,0,1.5278238444475885
12,13,1.0,0,0,0,0,0,1.5100340589451418
13,12,1.0,0,0,0,0,0,1.5100340589451418
13,14,2.0,1,0,0,0,0,1.224033403788599
14,13,2.0,1,0,0,0,0,1.224033403788599
13,15,1.0,1,0,0,0,0,1.359418631581228
15,13,1.0,1,0,0,0,0,1.359418631581228
15,16,1.0,0,0,0,0,0,1.4385128048406481
16,15,1.0,0,0,0,0,0,1.4385128048406481
16,17,1.0,0,0,0,0,0,1.5337295274218476
17,16,1.0,0,0,0,0,0,1.5337295274218476
17,18,1.0,0,0,0,0,0,1.5316514783781794
18,17,1.0,0,0,0,0,0,1.5316514783781794
18,19,1.0,0,0,0,0,0,1.41981264470673
19,18,1.0,0,0,0,0,0,1.41981264470673
19,20,1.0,0,0,0,0,0,1.6170274630965806
20,19,1.0,0,0,0,0,0,1.6170274630965806
20,21,2.0,0,0,0,0,0,1.5025529045118935
21,20,2.0,0,0,0,0,0,1.5025529045118935
20,22,1.0,0,0,0,0,0,1.5044272608223985
22,20,1.0,0,0,0,0,0,1.5044272608223985
20,23,1.0,0,0,0,0,0,1.624640724873092
23,20,1.0,0,0,0,0,0,1.624640724873092
23,24,1.0,0,0,0,0,0,1.4128857598389073
24,23,1.0,0,0,0,0,0,1.4128857598389073
24,25,1.0,0,0,0,0,0,1.5318847466981742
25,24,1.0,0,0,0,0,0,1.5318847466981742
25,26,1.0,0,0,0,0,0,1.5543677122412283
26,25,1.0,0,0,0,0,0,1.5543677122412283
26,27,1.0,0,0,0,0,0,1.524271072418006
27,26,1.0,0,0,0,0,0,1.524271072418006
26,28,1.0,0,0,0,0,0,1.5187561566808525
28,26,1.0,0,0,0,0,0,1.5187561566808525
26,29,1.0,0,0,0,0,0,1.525133109140468
29,26,1.0,0,0,0,0,0,1.525133109140468
17,30,1.0,0,0,0,0,0,1.4477705200477575
30,17,1.0,0,0,0,0,0,1.4477705200477575
30,31,1.0,1,0,0,0,0,1.3594408321172975
31,30,1.0,1,0,0,0,0,1.3594408321172975
31,32,2.0,1,0,0,0,0,1.2239129881054305
32,31,2.0,1,0,0,0,0,1.2239129881054305
31,33,1.0,0,0,0,0,0,1.5109300699310986
33,31,1.0,0,0,0,0,0,1.5109300699310986
33,34,1.0,0,0,0,0,0,1.528664306990115
34,33,1.0,0,0,0,0,0,1.528664306990115
34,35,1.0,0,0,0,0,0,1.5315997137221635
35,34,1.0,0,0,0,0,0,1.5315997137221635
35,36,1.0,0,0,0,0,0,1.531594017749938
36,35,1.0,0,0,0,0,0,1.531594017749938
36,37,1.0,0,0,0,0,0,1.5322760919676968
37,36,1.0,0,0,0,0,0,1.5322760919676968
37,38,1.0,0,0,0,0,0,1.5316697606539367
38,37,1.0,0,0,0,0,0,1.5316697606539367
38,39,1.0,0,0,0,0,0,1.5313688113455597
39,38,1.0,0,0,0,0,0,1.5313688113455597
39,40,1.0,0,0,0,0,0,1.5320078314307508
40,39,1.0,0,0,0,0,0,1.5320078314307508
40,41,1.0,0,0,0,0,0,1.5309302914738108
41,40,1.0,0,0,0,0,0,1.5309302914738108
41,42,1.0,0,0,0,0,0,1.531289390738852
42,41,1.0,0,0,0,0,0,1.531289390738852
42,43,1.0,0,0,0,0,0,1.5316354545426127
43,42,1.0,0,0,0,0,0,1.5316354545426127
43,44,1.0,0,0,0,0,0,1.531312077713738
44,43,1.0,0,0,0,0,0,1.531312077713738
44,45,1.0,0,0,0,0,0,1.5317259028219297
45,44,1.0,0,0,0,0,0,1.5317259028219297
45,46,1.0,0,0,0,0,0,1.5311030627866453
46,45,1.0,0,0,0,0,0,1.5311030627866453
46,47,1.0,0,0,0,0,0,1.5320758004006505
47,46,1.0,0,0,0,0,0,1.5320758004006505
47,48,1.0,0,0,0,0,0,1.5309404452300697
48,47,1.0,0,0,0,0,0,1.5309404452300697
48,49,1.0,0,0,0,0,0,1.529760431310624
49,48,1.0,0,0,0,0,0,1.529760431310624
49,50,1.0,0,0,0,0,0,1.5206809048088237
50,49,1.0,0,0,0,0,0,1.5206809048088237
