source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520937984478827
1,0,1.0,0,0,0,0,0,1.520937984478827
1,2,1.0,0,0,0,0,0,1.5295940597268673
2,1,1.0,0,0,0,0,0,1.5295940597268673
2,3,1.0,0,0,0,0,0,1.532712046093672
3,2,1.0,0,0,0,0,0,1.532712046093672
3,4,1.0,0,0,0,0,0,1.5317217665530023
4,3,1.0,0,0,0,0,0,1.5317217665530023
4,5,1.0,0,0,0,4,0,1.5024139762504187
5,4,1.0,0,0,0,4,0,1.5024139762504187
5,6,2.0,0,0,2,0,0,1.343825625821574
6,5,2.0,0,0,2,0,0,1.343825625821574
6,7,1.0,0,0,0,3,0,1.5021198061762449
7,6,1.0,0,0,0,3,0,1.5021198061762449
7,8,1.0,0,0,0,4,0,1.5022053360688203
8,7,1.0,0,0,0,4,0,1.5022053360688203
8,9,2.0,0,0,2,0,0,1.3437176798885202
9,8,2.0,0,0,2,0,0,1.3437176798885202
9,10,1.0,0,0,0,3,0,1.5030355635196575
10,9,1.0,0,0,0,3,0,1.5030355635196575
10,11,1.0,0,0,0,0,0,1.5331840490979003
11,10,1.0,0,0,0,0,0,1.5331840490979003
11,12,1.0,0,0,0,0,0,1.5330376025035517
12,11,1.0,0,0,0,0,0,1.5330376025035517
12,13,1.0,0,0,0,0,0,1.5321743822045086
13,12,1.0,0,0,0,0,0,1.5321743822045086
13,14,1.0,0,0,0,0,0,1.5316274954455318
14,13,1.0,0,0,0,0,0,1.5316274954455318
14,15,1.0,0,0,0,0,0,1.5331227258567737
15,14,1.0,0,0,0,0,0,1.5331227258567737
15,16,1.0,0,0,0,0,0,1.526955967508555
16,15,1.0,0,0,0,0,0,1.526955967508555
16,17,1.0,0,0,0,0,0,1.5083927780595594
17,16,1.0,0,0,0,0,0,1.5083927780595594
17,18,2.0,1,0,0,0,0,1.22296795932649
18,17,2.0,1,0,0,0,0,1.22296795932649
17,19,1.0,1,0,0,0,0,1.360746117733422
19,17,1.0,1,0,0,0,0,1.360746117733422
19,20,1.0,0,0,0,0,0,1.4371330894952017
20,19,1.0,0,0,0,0,0,1.4371330894952017
20,21,1.0,0,0,0,0,0,1.5355787795840525
21,20,1.0,0,0,0,0,0,1.5355787795840525
21,22,1.0,0,0,0,0,0,1.534643434645485
22,21,1.0,0,0,0,0,0,1.534643434645485
22,23,1.0,0,0,0,0,0,1.4215033211114079
23,22,1.0,0,0,0,0,0,1.4215033211114079
23,24,1.0,0,0,0,0,0,1.6032506688312216
24,23,1.0,0,0,0,0,0,1.6032506688312216
24,25,2.0,0,0,0,0,0,1.491606444707487
25,24,2.0,0,0,0,0,0,1.491606444707487
24,26,1.0,0,0,0,0,0,1.6009785033797503
26,24,1.0,0,0,0,0,0,1.6009785033797503
24,27,1.0,0,0,0,0,0,1.603253604986083
27,24,1.0,0,0,0,0,0,1.603253604986083
27,28,1.0,0,0,0,0,0,1.4197004931633832
28,27,1.0,0,0,0,0,0,1.4197004931633832
28,29,1.0,0,0,0,0,0,1.529512608988837
29,28,1.0,0,0,0,0,0,1.529512608988837
29,30,1.0,0,0,0,0,0,1.4641994344083764
30,29,1.0,0,0,0,0,0,1.4641994344083764
21,31,1.0,0,0,0,0,0,1.4478321809386439
31,21,1.0,0,0,0,0,0,1.4478321809386439
31,32,1.0,1,0,0,0,0,1.3598633854167046
32,31,1.0,1,0,0,0,0,1.3598633854167046
32,33,2.0,1,0,0,0,0,1.2238427664400333
33,32,2.0,1,0,0,0,0,1.2238427664400333
32,34,1.0,0,0,0,0,0,1.5090450270854823
34,32,1.0,0,0,0,0,0,1.5090450270854823
34,35,1.0,0,0,0,0,0,1.527516441014521
35,34,1.0,0,0,0,0,0,1.527516441014521
35,36,1.0,0,0,0,0,0,1.5326664204476006
36,35,1.0,0,0,0,0,0,1.5326664204476006
36,37,1.0,0,0,0,0,0,1.532153463588565
37,36,1.0,0,0,0,0,0,1.532153463588565
37,38,1.0,0,0,0,0,0,1.5315760103248988
38,37,1.0,0,0,0,0,0,1.5315760103248988
38,39,1.0,0,0,0,0,0,1.5332168590521873
39,38,1.0,0,0,0,0,0,1.5332168590521873
39,40,1.0,0,0,0,0,0,1.5320545983946332
40,39,1.0,0,0,0,0,0,1.5320545983946332
40,41,1.0,0,0,0,4,0,1.5027439784622754
41,40,1.0,0,0,0,4,0,1.5027439784622754
41,42,2.0,0,0,2,0,0,1.3431627343794732
42,41,2.0,0,0,2,0,0,1.3431627343794732
42,43,1.0,0,0,0,3,0,1.502329487254289
43,42,1.0,0,0,0,3,0,1.502329487254289
43,44,1.0,0,0,0,0,0,1.531756131122051
44,43,1.0,0,0,0,0,0,1.531756131122051
44,45,1.0,0,0,0,0,0,1.532057340221285
45,44,1.0,0,0,0,0,0,1.532057340221285
45,46,1.0,0,0,0,0,0,1.531404802181312
46,45,1.0,0,0,0,0,0,1.531404802181312
46,47,1.0,0,0,0,0,0,1.5307191861944218
47,46,1.0,0,0,0,0,0,1.5307191861944218
47,48,1.0,0,0,0,0,0,1.5210696793264842
48,47,1.0,0,0,0,0,0,1.5210696793264842
