source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5208553351689154
1,0,1.0,0,0,0,0,0,1.5208553351689154
1,2,1.0,0,0,0,0,0,1.5305118877499506
2,1,1.0,0,0,0,0,0,1.5305118877499506
2,3,1.0,0,0,0,0,0,1.5314427544992892
3,2,1.0,0,0,0,0,0,1.5314427544992892
3,4,1.0,0,0,0,0,0,1.5321595105652626
4,3,1.0,0,0,0,0,0,1.5321595105652626
4,5,1.0,0,0,0,0,0,1.5323962989697282
5,4,1.0,0,0,0,0,0,1.5323962989697282
5,6,1.0,0,0,0,0,0,1.5315643897356548
6,5,1.0,0,0,0,0,0,1.5315643897356548
6,7,1.0,0,0,0,0,0,1.5325905707568013
7,6,1.0,0,0,0,0,0,1.5325905707568013
7,8,1.0,0,0,0,0,0,1.5322177685030591
8,7,1.0,0,0,0,0,0,1.5322177685030591
8,9,1.0,0,0,0,0,0,1.531690873482027
9,8,1.0,0,0,0,0,0,1.531690873482027
9,10,1.0,0,0,0,0,0,1.5321728391353202
10,9,1.0,0,0,0,0,0,1.5321728391353202
10,11,1.0,0,0,0,0,0,1.53147944684223
11,10,1.0,0,0,0,0,0,1.53147944684223
11,12,1.0,0,0,0,0,0,1.5317992155671711
12,11,1.0,0,0,0,0,0,1.5317992155671711
12,13,1.0,0,0,0,0,0,1.5316689782044288
13,12,1.0,0,0,0,0,0,1.5316689782044288
13,14,1.0,0,0,0,0,0,1.526621067796125
14,13,1.0,0,0,0,0,0,1.526621067796125
14,15,1.0,0,0,0,0,0,1.5081103850942612
15,14,1.0,0,0,0,0,0,1.5081103850942612
15,16,2.0,1,0,0,0,0,1.222723881501224
16,15,2.0,1,0,0,0,0,1.222723881501224
15,17,1.0,1,0,0,0,0,1.3602516799704256
17,15,1.0,1,0,0,0,0,1.3602516799704256
17,18,1.0,0,0,0,0,0,1.4478484382502255
18,17,1.0,0,0,0,0,0,1.4478484382502255
18,19,1.0,0,0,0,0,0,1.5357176406966362
19,18,1.0,0,0,0,0,0,1.5357176406966362
19,20,1.0,0,0,0,0,0,1.4266940528631114
20,19,1.0,0,0,0,0,0,1.4266940528631114
18,21,1.0,0,0,0,0,0,1.532441684873842
21,18,1.0,0,0,0,0,0,1.532441684873842
21,22,1.0,0,0,0,0,0,1.4192791690651867
22,21,1.0,0,0,0,0,0,1.4192791690651867
22,23,1.0,0,0,0,0,0,1.604363724664711
23,22,1.0,0,0,0,0,0,1.604363724664711
23,24,2.0,0,0,0,0,0,1.4922280346038832
24,23,2.0,0,0,0,0,0,1.4922280346038832
23,25,1.0,0,0,0,0,0,1.6013423891288034
25,23,1.0,0,0,0,0,0,1.6013423891288034
23,26,1.0,0,0,0,0,0,1.6021909979364497
26,23,1.0,0,0,0,0,0,1.6021909979364497
26,27,1.0,0,0,0,0,0,1.4199882871018545
27,26,1.0,0,0,0,0,0,1.4199882871018545
27,28,1.0,0,0,0,0,0,1.530512798432858
28,27,1.0,0,0,0,0,0,1.530512798432858
28,29,1.0,0,0,0,0,0,1.4633955998953037
29,28,1.0,0,0,0,0,0,1.4633955998953037
