source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5210163973195716
1,0,1.0,0,0,0,0,0,1.5210163973195716
1,2,1.0,0,0,0,0,0,1.5297342905964026
2,1,1.0,0,0,0,0,0,1.5297342905964026
2,3,1.0,0,0,0,0,0,1.5312603918273777
3,2,1.0,0,0,0,0,0,1.5312603918273777
3,4,1.0,0,0,0,0,0,1.5329890784794027
4,3,1.0,0,0,0,0,0,1.5329890784794027
4,5,1.0,0,0,0,0,0,1.5325688970334643
5,4,1.0,0,0,0,0,0,1.5325688970334643
5,6,1.0,0,0,0,4,0,1.5047651367376664
6,5,1.0,0,0,0,4,0,1.5047651367376664
6,7,2.0,1,0,2,0,0,1.3425599324171127
7,6,2.0,1,0,2,0,0,1.3425599324171127
7,8,1.0,1,0,0,3,0,1.4443828674687704
8,7,1.0,1,0,0,3,0,1.4443828674687704
8,9,2.0,1,0,3,0,0,1.3420223898747747
9,8,2.0,1,0,3,0,0,1.3420223898747747
9,10,1.0,0,0,0,3,0,1.5041577360875755
10,9,1.0,0,0,0,3,0,1.5041577360875755
10,11,1.0,0,0,0,0,0,1.5322452852321653
11,10,1.0,0,0,0,0,0,1.5322452852321653
11,12,1.0,0,0,0,0,0,1.5326161882513332
12,11,1.0,0,0,0,0,0,1.5326161882513332
12,13,1.0,0,0,0,0,0,1.531431667936595
13,12,1.0,0,0,0,0,0,1.531431667936595
13,14,1.0,0,0,0,0,0,1.5313365476258114
14,13,1.0,0,0,0,0,0,1.5313365476258114
14,15,1.0,0,0,0,0,0,1.5318191173351405
15,14,1.0,0,0,0,0,0,1.5318191173351405
15,16,1.0,0,0,0,0,0,1.5282163991127
16,15,1.0,0,0,0,0,0,1.5282163991127
16,17,1.0,0,0,0,0,0,1.511222467818806
17,16,1.0,0,0,0,0,0,1.511222467818806
17,18,2.0,1,0,0,0,0,1.2247285482595767
18,17,2.0,1,0,0,0,0,1.2247285482595767
17,19,1.0,1,0,0,0,0,1.3580582308302864
19,17,1.0,1,0,0,0,0,1.3580582308302864
19,20,1.0,0,0,0,0,0,1.4453279689709533
20,19,1.0,0,0,0,0,0,1.4453279689709533
20,21,1.0,0,0,0,0,0,1.5347667589749014
21,20,1.0,0,0,0,0,0,1.5347667589749014
21,22,1.0,0,0,0,0,0,1.439483415304789
22,21,1.0,0,0,0,0,0,1.439483415304789
22,23,1.0,1,0,0,0,0,1.3600420326446883
23,22,1.0,1,0,0,0,0,1.3600420326446883
23,24,2.0,1,0,0,0,0,1.2234530918701345
24,23,2.0,1,0,0,0,0,1.2234530918701345
23,25,1.0,0,0,0,0,0,1.5100332486535764
25,23,1.0,0,0,0,0,0,1.5100332486535764
25,26,1.0,0,0,0,0,0,1.5278513966411231
26,25,1.0,0,0,0,0,0,1.5278513966411231
26,27,1.0,0,0,0,0,0,1.5313581844895876
27,26,1.0,0,0,0,0,0,1.5313581844895876
27,28,1.0,0,0,0,0,0,1.5304031804556684
28,27,1.0,0,0,0,0,0,1.5304031804556684
28,29,1.0,0,0,0,0,0,1.5312369432941424
29,28,1.0,0,0,0,0,0,1.5312369432941424
29,30,1.0,0,0,0,0,0,1.5316514197788191
30,29,1.0,0,0,0,0,0,1.5316514197788191
30,31,1.0,0,0,0,0,0,1.531791504190916
31,30,1.0,0,0,0,0,0,1.531791504190916
31,32,1.0,0,0,0,0,0,1.5314756343383282
32,31,1.0,0,0,0,0,0,1.5314756343383282
32,33,1.0,0,0,0,0,0,1.5320437792647321
33,32,1.0,0,0,0,0,0,1.5320437792647321
33,34,1.0,0,0,0,0,0,1.5312279774278106
34,33,1.0,0,0,0,0,0,1.5312279774278106
34,35,1.0,0,0,0,0,0,1.5311363724613802
35,34,1.0,0,0,0,0,0,1.5311363724613802
35,36,1.0,0,0,0,0,0,1.5309854691830291
36,35,1.0,0,0,0,0,0,1.5309854691830291
36,37,1.0,0,0,0,0,0,1.5310828162406802
37,36,1.0,0,0,0,0,0,1.5310828162406802
37,38,1.0,0,0,0,0,0,1.5298390158133546
38,37,1.0,0,0,0,0,0,1.5298390158133546
38,39,1.0,0,0,0,0,0,1.5208243398944261
39,38,1.0,0,0,0,0,0,1.5208243398944261
20,40,1.0,0,0,0,0,0,1.532576571019981
40,20,1.0,0,0,0,0,0,1.532576571019981
40,41,1.0,0,0,0,0,0,1.4193523508948338
41,40,1.0,0,0,0,0,0,1.4193523508948338
41,42,1.0,0,0,0,0,0,1.6154659567892433
42,41,1.0,0,0,0,0,0,1.6154659567892433
42,43,2.0,0,0,0,0,0,1.5045708586972086
43,42,2.0,0,0,0,0,0,1.5045708586972086
42,44,1.0,0,0,0,0,0,1.5029772503913992
44,42,1.0,0,0,0,0,0,1.5029772503913992
42,45,1.0,0,0,0,0,0,1.6249316338410948
45,42,1.0,0,0,0,0,0,1.6249316338410948
45,46,1.0,0,0,0,0,0,1.4136675550223445
46,45,1.0,0,0,0,0,0,1.4136675550223445
46,47,1.0,0,0,0,0,0,1.5319555498593846
47,46,1.0,0,0,0,0,0,1.5319555498593846
47,48,1.0,0,0,0,0,0,1.5507734752942484
48,47,1.0,0,0,0,0,0,1.5507734752942484
48,49,1.0,0,0,0,0,0,1.5217791369509461
49,48,1.0,0,0,0,0,0,1.5217791369509461
48,50,1.0,0,0,0,0,0,1.5210867655964195
50,48,1.0,0,0,0,0,0,1.5210867655964195
48,51,1.0,0,0,0,0,0,1.5242420033789004
51,48,1.0,0,0,0,0,0,1.5242420033789004
