source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520409097682318
1,0,1.0,0,0,0,0,0,1.520409097682318
1,2,1.0,0,0,0,0,0,1.5297964005642932
2,1,1.0,0,0,0,0,0,1.5297964005642932
2,3,1.0,0,0,0,0,0,1.5319190019851185
3,2,1.0,0,0,0,0,0,1.5319190019851185
3,4,1.0,0,0,0,0,0,1.5314492000255937
4,3,1.0,0,0,0,0,0,1.5314492000255937
4,5,1.0,0,0,0,4,0,1.5024129879481807
5,4,1.0,0,0,0,4,0,1.5024129879481807
5,6,2.0,0,0,2,0,0,1.343750098974144
6,5,2.0,0,0,2,0,0,1.343750098974144
6,7,1.0,0,0,0,3,0,1.5021423714297564
7,6,1.0,0,0,0,3,0,1.5021423714297564
7,8,1.0,0,0,0,4,0,1.5018133257402393
8,7,1.0,0,0,0,4,0,1.5018133257402393
8,9,2.0,0,0,2,0,0,1.343967917105714
9,8,2.0,0,0,2,0,0,1.343967917105714
9,10,1.0,0,0,0,3,0,1.502330834977135
10,9,1.0,0,0,0,3,0,1.502330834977135
10,11,1.0,0,0,0,4,0,1.5013815428738768
11,10,1.0,0,0,0,4,0,1.5013815428738768
11,12,2.0,0,0,2,0,0,1.344225585642926
12,11,2.0,0,0,2,0,0,1.344225585642926
12,13,1.0,0,0,0,3,0,1.5020861540663144
13,12,1.0,0,0,0,3,0,1.5020861540663144
13,14,1.0,0,0,0,4,0,1.5021408245877361
14,13,1.0,0,0,0,4,0,1.5021408245877361
14,15,2.0,0,0,2,0,0,1.343494544568598
15,14,2.0,0,0,2,0,0,1.343494544568598
15,16,1.0,0,0,0,3,0,1.5012797674692329
16,15,1.0,0,0,0,3,0,1.5012797674692329
16,17,1.0,0,0,0,0,0,1.5317778222538956
17,16,1.0,0,0,0,0,0,1.5317778222538956
17,18,1.0,0,0,0,0,0,1.5276751185466657
18,17,1.0,0,0,0,0,0,1.5276751185466657
18,19,1.0,0,0,0,0,0,1.509923255632126
19,18,1.0,0,0,0,0,0,1.509923255632126
19,20,2.0,1,0,0,0,0,1.2246386616915736
20,19,2.0,1,0,0,0,0,1.2246386616915736
19,21,1.0,1,0,0,0,0,1.3584735032114115
21,19,1.0,1,0,0,0,0,1.3584735032114115
21,22,1.0,0,0,0,0,0,1.4486386360198809
22,21,1.0,0,0,0,0,0,1.4486386360198809
22,23,1.0,0,0,0,0,0,1.5339161286100704
23,22,1.0,0,0,0,0,0,1.5339161286100704
23,24,1.0,0,0,0,0,0,1.4341405924788995
24,23,1.0,0,0,0,0,0,1.4341405924788995
24,25,1.0,1,0,0,4,0,1.3655409002608114
25,24,1.0,1,0,0,4,0,1.3655409002608114
25,26,2.0,1,0,2,0,0,1.337555834988772
26,25,2.0,1,0,2,0,0,1.337555834988772
26,27,1.0,0,0,0,3,0,1.5031717518838041
27,26,1.0,0,0,0,3,0,1.5031717518838041
27,28,1.0,0,0,0,0,0,1.5318253316733714
28,27,1.0,0,0,0,0,0,1.5318253316733714
28,29,1.0,0,0,0,0,0,1.5323115663560078
29,28,1.0,0,0,0,0,0,1.5323115663560078
29,30,1.0,0,0,0,0,0,1.5311639769598129
30,29,1.0,0,0,0,0,0,1.5311639769598129
30,31,1.0,0,0,0,0,0,1.5321383686087464
31,30,1.0,0,0,0,0,0,1.5321383686087464
31,32,1.0,0,0,0,0,0,1.5308066911439786
32,31,1.0,0,0,0,0,0,1.5308066911439786
32,33,1.0,0,0,0,0,0,1.5315998791610732
33,32,1.0,0,0,0,0,0,1.5315998791610732
33,34,1.0,0,0,0,0,0,1.5312565935136906
34,33,1.0,0,0,0,0,0,1.5312565935136906
34,35,1.0,0,0,0,0,0,1.5309397404852423
35,34,1.0,0,0,0,0,0,1.5309397404852423
35,36,1.0,0,0,0,0,0,1.5311192084209213
36,35,1.0,0,0,0,0,0,1.5311192084209213
36,37,1.0,0,0,0,0,0,1.5316475684392499
37,36,1.0,0,0,0,0,0,1.5316475684392499
37,38,1.0,0,0,0,0,0,1.5314240822663956
38,37,1.0,0,0,0,0,0,1.5314240822663956
38,39,1.0,0,0,0,0,0,1.530230171674149
39,38,1.0,0,0,0,0,0,1.530230171674149
39,40,1.0,0,0,0,0,0,1.5209395163098838
40,39,1.0,0,0,0,0,0,1.5209395163098838
22,41,1.0,0,0,0,0,0,1.5310934551471447
41,22,1.0,0,0,0,0,0,1.5310934551471447
41,42,1.0,0,0,0,0,0,1.4201358751069015
42,41,1.0,0,0,0,0,0,1.4201358751069015
42,43,1.0,0,0,0,0,0,1.6173356372350771
43,42,1.0,0,0,0,0,0,1.6173356372350771
43,44,2.0,0,0,0,0,0,1.504323522938674
44,43,2.0,0,0,0,0,0,1.504323522938674
43,45,1.0,0,0,0,0,0,1.503903166985353
45,43,1.0,0,0,0,0,0,1.503903166985353
43,46,1.0,0,0,0,0,0,1.625483046222986
46,43,1.0,0,0,0,0,0,1.625483046222986
46,47,1.0,0,0,0,0,0,1.4144833251154603
47,46,1.0,0,0,0,0,0,1.4144833251154603
47,48,1.0,0,0,0,0,0,1.5300855644600027
48,47,1.0,0,0,0,0,0,1.5300855644600027
48,49,1.0,0,0,0,0,0,1.551507975143981
49,48,1.0,0,0,0,0,0,1.551507975143981
49,50,1.0,0,0,0,0,0,1.5223323484875302
50,49,1.0,0,0,0,0,0,1.5223323484875302
49,51,1.0,0,0,0,0,0,1.5215428483401192
51,49,1.0,0,0,0,0,0,1.5215428483401192
49,52,1.0,0,0,0,0,0,1.5229777672061966
52,49,1.0,0,0,0,0,0,1.5229777672061966
