source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5427311939944481
1,0,1.0,0,0,0,0,0,1.5427311939944481
1,2,1.0,0,0,0,0,0,1.42987051000746
2,1,1.0,0,0,0,0,0,1.42987051000746
0,3,1.0,0,0,0,0,0,1.4726185059942303
3,0,1.0,0,0,0,0,0,1.4726185059942303
3,4,1.0,1,0,0,0,0,1.3753918716303868
4,3,1.0,1,0,0,0,0,1.3753918716303868
4,5,1.0,0,0,0,0,0,1.5396459503875821
5,4,1.0,0,0,0,0,0,1.5396459503875821
5,6,1.0,0,0,0,0,0,1.428879320655352
6,5,1.0,0,0,0,0,0,1.428879320655352
5,7,1.0,0,0,0,0,0,1.5313155448603801
7,5,1.0,0,0,0,0,0,1.5313155448603801
7,8,1.0,0,0,0,0,0,1.534757834297128
8,7,1.0,0,0,0,0,0,1.534757834297128
8,9,1.0,0,0,0,0,0,1.5311984870964643
9,8,1.0,0,0,0,0,0,1.5311984870964643
9,10,1.0,0,0,0,0,0,1.5321603707339284
10,9,1.0,0,0,0,0,0,1.5321603707339284
10,11,1.0,0,0,0,0,0,1.5314484239776402
11,10,1.0,0,0,0,0,0,1.5314484239776402
11,12,1.0,0,0,0,0,0,1.5309264712492054
12,11,1.0,0,0,0,0,0,1.5309264712492054
12,13,1.0,0,0,0,0,0,1.5332329073827764
13,12,1.0,0,0,0,0,0,1.5332329073827764
13,14,1.0,0,0,0,0,0,1.5321697451646514
14,13,1.0,0,0,0,0,0,1.5321697451646514
14,15,1.0,0,0,0,0,0,1.5328331867482692
15,14,1.0,0,0,0,0,0,1.5328331867482692
15,16,1.0,0,0,0,0,0,1.5318435350633792
16,15,1.0,0,0,0,0,0,1.5318435350633792
16,17,1.0,0,0,0,0,0,1.5311901884288162
17,16,1.0,0,0,0,0,0,1.5311901884288162
17,18,1.0,0,0,0,0,0,1.5327411420256587
18,17,1.0,0,0,0,0,0,1.5327411420256587
18,19,1.0,0,0,0,0,0,1.531994989007893
19,18,1.0,0,0,0,0,0,1.531994989007893
19,20,1.0,0,0,0,0,0,1.5320233830665904
20,19,1.0,0,0,0,0,0,1.5320233830665904
20,21,1.0,0,0,0,0,0,1.531890372249683
21,20,1.0,0,0,0,0,0,1.531890372249683
21,22,1.0,0,0,0,0,0,1.5309448828546064
22,21,1.0,0,0,0,0,0,1.5309448828546064
22,23,1.0,0,0,0,0,0,1.5322852897771568
23,22,1.0,0,0,0,0,0,1.5322852897771568
23,24,1.0,0,0,0,0,0,1.5320295772187946
24,23,1.0,0,0,0,0,0,1.5320295772187946
24,25,1.0,0,0,0,0,0,1.5324573323872939
25,24,1.0,0,0,0,0,0,1.5324573323872939
25,26,1.0,0,0,0,0,0,1.5318634897810455
26,25,1.0,0,0,0,0,0,1.5318634897810455
26,27,1.0,0,0,0,0,0,1.5311072203263585
27,26,1.0,0,0,0,0,0,1.5311072203263585
27,28,1.0,0,0,0,0,0,1.5318062690331444
28,27,1.0,0,0,0,0,0,1.5318062690331444
28,29,1.0,0,0,0,0,0,1.5307890441003569
29,28,1.0,0,0,0,0,0,1.5307890441003569
29,30,1.0,0,0,0,0,0,1.5207259899358028
30,29,1.0,0,0,0,0,0,1.5207259899358028
4,31,2.0,1,0,0,0,0,1.2292068711166384
31,4,2.0,1,0,0,0,0,1.2292068711166384
0,32,1.0,0,0,0,0,0,1.5537060020355302
32,0,1.0,0,0,0,0,0,1.5537060020355302
32,33,1.0,0,0,0,0,0,1.4334371680974223
33,32,1.0,0,0,0,0,0,1.4334371680974223
32,34,1.0,0,0,0,0,0,1.5369260175728299
34,32,1.0,0,0,0,0,0,1.5369260175728299
34,35,1.0,0,0,0,0,0,1.533312036660975
35,34,1.0,0,0,0,0,0,1.533312036660975
35,36,1.0,0,0,0,0,0,1.5302056365017156
36,35,1.0,0,0,0,0,0,1.5302056365017156
36,37,1.0,0,0,0,0,0,1.5320462154067556
37,36,1.0,0,0,0,0,0,1.5320462154067556
37,38,1.0,0,0,0,0,0,1.5322019877194477
38,37,1.0,0,0,0,0,0,1.5322019877194477
38,39,1.0,0,0,0,0,0,1.5316726941664167
39,38,1.0,0,0,0,0,0,1.5316726941664167
39,40,1.0,0,0,0,0,0,1.531741526092436
40,39,1.0,0,0,0,0,0,1.531741526092436
40,41,1.0,0,0,0,0,0,1.5330946399154932
41,40,1.0,0,0,0,0,0,1.5330946399154932
41,42,1.0,0,0,0,0,0,1.5306748679243711
42,41,1.0,0,0,0,0,0,1.5306748679243711
42,43,1.0,0,0,0,0,0,1.5328567726614601
43,42,1.0,0,0,0,0,0,1.5328567726614601
43,44,1.0,0,0,0,0,0,1.5327077560678668
44,43,1.0,0,0,0,0,0,1.5327077560678668
44,45,1.0,0,0,0,0,0,1.5324610947710866
45,44,1.0,0,0,0,0,0,1.5324610947710866
45,46,1.0,0,0,0,0,0,1.532314197690826
46,45,1.0,0,0,0,0,0,1.532314197690826
46,47,1.0,0,0,0,0,0,1.53226534528983
47,46,1.0,0,0,0,0,0,1.53226534528983
47,48,1.0,0,0,0,0,0,1.5322817173644865
48,47,1.0,0,0,0,0,0,1.5322817173644865
48,49,1.0,0,0,0,0,0,1.530758878071546
49,48,1.0,0,0,0,0,0,1.530758878071546
49,50,1.0,0,0,0,0,0,1.5203456742930672
50,49,1.0,0,0,0,0,0,1.5203456742930672
