source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207550969192791
1,0,1.0,0,0,0,0,0,1.5207550969192791
1,2,1.0,0,0,0,4,0,1.5014614720526656
2,1,1.0,0,0,0,4,0,1.5014614720526656
2,3,2.0,0,0,2,0,0,1.3437062492272596
3,2,2.0,0,0,2,0,0,1.3437062492272596
3,4,1.0,0,0,0,3,0,1.5022537164580343
4,3,1.0,0,0,0,3,0,1.5022537164580343
4,5,1.0,0,0,0,4,0,1.5009409384886816
5,4,1.0,0,0,0,4,0,1.5009409384886816
5,6,2.0,0,0,2,0,0,1.344047391718131
6,5,2.0,0,0,2,0,0,1.344047391718131
6,7,1.0,0,0,0,3,0,1.5010879031176743
7,6,1.0,0,0,0,3,0,1.5010879031176743
7,8,1.0,0,0,0,4,0,1.5020549033139292
8,7,1.0,0,0,0,4,0,1.5020549033139292
8,9,2.0,0,0,2,0,0,1.3436193821220823
9,8,2.0,0,0,2,0,0,1.3436193821220823
9,10,1.0,0,0,0,3,0,1.5027533556349781
10,9,1.0,0,0,0,3,0,1.5027533556349781
10,11,1.0,0,0,0,0,0,1.532134573030374
11,10,1.0,0,0,0,0,0,1.532134573030374
11,12,1.0,0,0,0,0,0,1.532410591172413
12,11,1.0,0,0,0,0,0,1.532410591172413
12,13,1.0,0,0,0,0,0,1.5311781513683018
13,12,1.0,0,0,0,0,0,1.5311781513683018
13,14,1.0,0,0,0,0,0,1.5315654423898908
14,13,1.0,0,0,0,0,0,1.5315654423898908
14,15,1.0,0,0,0,0,0,1.5318924208513263
15,14,1.0,0,0,0,0,0,1.5318924208513263
15,16,1.0,0,0,0,0,0,1.5282601263837212
16,15,1.0,0,0,0,0,0,1.5282601263837212
16,17,1.0,0,0,0,0,0,1.5107922617711573
17,16,1.0,0,0,0,0,0,1.5107922617711573
17,18,2.0,1,0,0,0,0,1.22342788872086
18,17,2.0,1,0,0,0,0,1.22342788872086
