source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.521183674650325
1,0,1.0,0,0,0,0,0,1.521183674650325
1,2,1.0,0,0,0,0,0,1.529907401995605
2,1,1.0,0,0,0,0,0,1.529907401995605
2,3,1.0,0,0,0,0,0,1.5323501685209648
3,2,1.0,0,0,0,0,0,1.5323501685209648
3,4,1.0,0,0,0,0,0,1.5311680048525522
4,3,1.0,0,0,0,0,0,1.5311680048525522
4,5,1.0,0,0,0,4,0,1.5030566046986267
5,4,1.0,0,0,0,4,0,1.5030566046986267
5,6,2.0,0,0,2,0,0,1.3436770995981673
6,5,2.0,0,0,2,0,0,1.3436770995981673
6,7,1.0,0,0,0,3,0,1.5021679588370784
7,6,1.0,0,0,0,3,0,1.5021679588370784
7,8,1.0,0,0,0,4,0,1.5024918267341973
8,7,1.0,0,0,0,4,0,1.5024918267341973
8,9,2.0,0,0,2,0,0,1.3443139645122346
9,8,2.0,0,0,2,0,0,1.3443139645122346
9,10,1.0,0,0,0,3,0,1.502136711491454
10,9,1.0,0,0,0,3,0,1.502136711491454
10,11,1.0,0,0,0,4,0,1.5028781453540985
11,10,1.0,0,0,0,4,0,1.5028781453540985
11,12,2.0,0,0,2,0,0,1.3442145172680884
12,11,2.0,0,0,2,0,0,1.3442145172680884
12,13,1.0,0,0,0,3,0,1.502953847591153
13,12,1.0,0,0,0,3,0,1.502953847591153
13,14,1.0,0,0,0,4,0,1.5024477085588477
14,13,1.0,0,0,0,4,0,1.5024477085588477
14,15,2.0,0,0,2,0,0,1.3438118784537072
15,14,2.0,0,0,2,0,0,1.3438118784537072
15,16,1.0,0,0,0,3,0,1.501865492757099
16,15,1.0,0,0,0,3,0,1.501865492757099
16,17,1.0,0,0,0,0,0,1.5318704098228717
17,16,1.0,0,0,0,0,0,1.5318704098228717
17,18,1.0,0,0,0,0,0,1.5281277254434842
18,17,1.0,0,0,0,0,0,1.5281277254434842
18,19,1.0,0,0,0,0,0,1.509746534561694
19,18,1.0,0,0,0,0,0,1.509746534561694
19,20,2.0,1,0,0,0,0,1.223901846759569
20,19,2.0,1,0,0,0,0,1.223901846759569
19,21,1.0,1,0,0,0,0,1.3577817814166164
21,19,1.0,1,0,0,0,0,1.3577817814166164
21,22,1.0,0,0,0,0,0,1.4471727762111848
22,21,1.0,0,0,0,0,0,1.4471727762111848
22,23,1.0,0,0,0,0,0,1.535490789110705
23,22,1.0,0,0,0,0,0,1.535490789110705
23,24,1.0,0,0,0,0,0,1.4416919466734075
24,23,1.0,0,0,0,0,0,1.4416919466734075
24,25,1.0,1,0,0,0,0,1.35970851642224
25,24,1.0,1,0,0,0,0,1.35970851642224
25,26,2.0,1,0,0,0,0,1.2235592126426127
26,25,2.0,1,0,0,0,0,1.2235592126426127
25,27,1.0,0,0,0,0,0,1.5092633055402545
27,25,1.0,0,0,0,0,0,1.5092633055402545
27,28,1.0,0,0,0,0,0,1.5267773979413073
28,27,1.0,0,0,0,0,0,1.5267773979413073
