atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.030303030303030304
2,6,0,2,4,0,0,0,0,2,12.011,-0.0535686427246432,0.06060606060606061
3,6,0,2,4,0,0,0,0,2,12.011,-0.0533160322698448,0.09090909090909091
4,6,0,2,4,0,0,0,0,2,12.011,-0.05330614505755098,0.12121212121212122
5,6,0,2,4,0,0,0,0,2,12.011,-0.053305972696041655,0.15151515151515152
6,6,0,2,4,0,0,0,0,2,12.011,-0.053305787756288844,0.18181818181818182
7,6,0,2,4,0,0,0,0,2,12.011,-0.05329502238427561,0.21212121212121213
8,6,0,2,4,0,0,0,0,2,12.011,-0.05301087583405122,0.24242424242424243
9,6,0,2,4,0,0,0,0,2,12.011,-0.049813743386505356,0.2727272727272727
10,6,0,2,4,0,0,0,0,2,12.011,-0.03476081507752482,0.30303030303030304
11,6,0,2,3,0,0,0,0,1,12.011,-0.0845463462261508,0.3333333333333333
12,6,0,2,3,0,0,0,0,1,12.011,-0.0664966592294992,0.36363636363636365
13,6,0,2,3,0,0,0,0,1,12.011,-0.06395738429275517,0.3939393939393939
14,6,0,2,3,0,0,0,0,1,12.011,-0.054067067081716796,0.42424242424242425
15,6,0,3,4,0,0,1,1,1,12.011,0.0948235276070324,0.45454545454545453
16,8,0,1,4,0,0,0,0,1,15.999,-0.38678771990366356,0.48484848484848486
17,6,0,3,4,0,0,2,1,1,12.011,0.08230063996435033,0.48484848484848486
18,6,0,2,4,0,0,0,0,2,12.011,0.081668887427359,0.5151515151515151
19,8,0,2,4,0,0,0,0,0,15.999,-0.2848566427247832,0.5454545454545454
20,15,0,4,4,0,0,0,0,0,30.974,0.4691520292557489,0.5757575757575758
21,8,0,1,3,0,0,0,0,0,15.999,-0.22833249416201284,0.6060606060606061
22,8,0,1,4,0,0,0,0,1,15.999,-0.30262838182477036,0.6060606060606061
23,8,0,1,4,0,0,0,0,1,15.999,-0.30262838182477036,0.6060606060606061
24,7,0,2,3,0,0,0,0,1,14.007,-0.3480721605747423,0.5151515151515151
25,6,0,3,3,0,0,0,0,0,12.011,0.21989229716607386,0.5454545454545454
26,8,0,1,3,0,0,0,0,0,15.999,-0.27513200549785216,0.5757575757575758
27,6,0,2,4,0,0,0,0,2,12.011,0.026476554706441793,0.5757575757575758
28,6,0,2,4,0,0,0,0,2,12.011,-0.04449607792925514,0.6060606060606061
29,6,0,2,4,0,0,0,0,2,12.011,-0.05281249304294663,0.6363636363636364
30,6,0,2,4,0,0,0,0,2,12.011,-0.05329166571213523,0.6666666666666666
31,6,0,2,4,0,0,0,0,2,12.011,-0.05330576107435889,0.696969696969697
32,6,0,2,4,0,0,0,0,2,12.011,-0.05330597121778762,0.7272727272727273
33,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278333657,0.7575757575757576
34,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911494,0.7878787878787878
35,6,0,2,4,0,0,0,0,2,12.011,-0.05330597279436938,0.8181818181818182
36,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8484848484848485
37,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8787878787878788
38,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9090909090909091
39,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9393939393939394
40,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9696969696969697
41,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
