atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.08228909464636279
1,6,0,2,4,0,0,0,0,2,12.011,0.08166868394805664
2,8,0,2,4,0,0,0,0,0,15.999,-0.2848566444357036
3,15,0,4,4,0,0,0,0,0,30.974,0.4691520292498951
4,8,0,1,3,0,0,0,0,0,15.999,-0.2283324941620243
5,8,0,1,4,0,0,0,0,1,15.999,-0.3026283818247777
6,8,0,1,4,0,0,0,0,1,15.999,-0.3026283818247777
7,7,0,2,3,0,0,0,0,1,14.007,-0.34807236554527343
8,6,0,3,3,0,0,0,0,0,12.011,0.21989229570780505
9,6,0,2,4,0,0,0,0,2,12.011,0.026476554700307117
10,6,0,2,4,0,0,0,0,2,12.011,-0.044496077929266735
11,6,0,2,4,0,0,0,0,2,12.011,-0.05281249304294664
12,6,0,2,4,0,0,0,0,2,12.011,-0.05329166571213523
13,6,0,2,4,0,0,0,0,2,12.011,-0.05330576107435888
14,6,0,2,4,0,0,0,0,2,12.011,-0.05330597121777735
15,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727777437
16,6,0,2,4,0,0,0,0,2,12.011,-0.053305971319322555
17,6,0,2,4,0,0,0,0,2,12.011,-0.053305787756645524
18,6,0,2,4,0,0,0,0,2,12.011,-0.053295023864022184
19,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352471906
20,6,0,2,4,0,0,0,0,2,12.011,-0.049825017030737405
21,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444
22,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884
23,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884
24,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721
25,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674
26,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766
27,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676
28,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526
29,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327
30,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655
31,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243
32,8,0,1,3,0,0,0,0,0,15.999,-0.2751320055038335
33,6,0,3,4,0,0,2,1,1,12.011,0.0945198412334667
34,8,0,1,4,0,0,0,0,1,15.999,-0.38679957398048204
35,6,0,2,3,0,0,0,0,1,12.011,-0.05806070279539666
36,6,0,2,3,0,0,0,0,1,12.011,-0.0859073781170277
37,6,0,2,4,0,0,0,0,2,12.011,-0.034976761425427765
38,6,0,2,4,0,0,0,0,2,12.011,-0.049823383368952694
39,6,0,2,4,0,0,0,0,2,12.011,-0.0530110505771135
40,6,0,2,4,0,0,0,0,2,12.011,-0.053295023814834905
41,6,0,2,4,0,0,0,0,2,12.011,-0.0533057877565554
42,6,0,2,4,0,0,0,0,2,12.011,-0.05330597131934254
43,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278877653
44,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416582441
45,6,0,2,4,0,0,0,0,2,12.011,-0.05330614506314383
46,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
47,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
48,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
49,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
