atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.02857142857142857
2,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.05714285714285714
3,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.08571428571428572
4,6,0,2,4,0,0,0,0,2,12.011,-0.05330614506314383,0.11428571428571428
5,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416582441,0.14285714285714285
6,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278877653,0.17142857142857143
7,6,0,2,4,0,0,0,0,2,12.011,-0.05330597131934254,0.2
8,6,0,2,4,0,0,0,0,2,12.011,-0.0533057877565554,0.22857142857142856
9,6,0,2,4,0,0,0,0,2,12.011,-0.053295023814834905,0.2571428571428571
10,6,0,2,4,0,0,0,0,2,12.011,-0.0530110505771135,0.2857142857142857
11,6,0,2,4,0,0,0,0,2,12.011,-0.049823383368952694,0.3142857142857143
12,6,0,2,4,0,0,0,0,2,12.011,-0.034976761425427765,0.34285714285714286
13,6,0,2,3,0,0,0,0,1,12.011,-0.0859073781170277,0.37142857142857144
14,6,0,2,3,0,0,0,0,1,12.011,-0.05806070279539666,0.4
15,6,0,3,4,0,0,1,1,1,12.011,0.0945198412334667,0.42857142857142855
16,8,0,1,4,0,0,0,0,1,15.999,-0.38679957398048204,0.45714285714285713
17,6,0,3,4,0,0,2,1,1,12.011,0.08228909464636279,0.45714285714285713
18,6,0,2,4,0,0,0,0,2,12.011,0.08166868394805664,0.4857142857142857
19,8,0,2,4,0,0,0,0,0,15.999,-0.2848566444357036,0.5142857142857142
20,15,0,4,4,0,0,0,0,0,30.974,0.4691520292498951,0.5428571428571428
21,8,0,1,3,0,0,0,0,0,15.999,-0.2283324941620243,0.5714285714285714
22,8,0,1,4,0,0,0,0,1,15.999,-0.3026283818247777,0.5714285714285714
23,8,0,1,4,0,0,0,0,1,15.999,-0.3026283818247777,0.5714285714285714
24,7,0,2,3,0,0,0,0,1,14.007,-0.34807236554527343,0.4857142857142857
25,6,0,3,3,0,0,0,0,0,12.011,0.21989229570780505,0.5142857142857142
26,8,0,1,3,0,0,0,0,0,15.999,-0.2751320055038335,0.5428571428571428
27,6,0,2,4,0,0,0,0,2,12.011,0.026476554700307117,0.5428571428571428
28,6,0,2,4,0,0,0,0,2,12.011,-0.044496077929266735,0.5714285714285714
29,6,0,2,4,0,0,0,0,2,12.011,-0.05281249304294664,0.6
30,6,0,2,4,0,0,0,0,2,12.011,-0.05329166571213523,0.6285714285714286
31,6,0,2,4,0,0,0,0,2,12.011,-0.05330576107435889,0.6571428571428571
32,6,0,2,4,0,0,0,0,2,12.011,-0.05330597121778762,0.6857142857142857
33,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278333657,0.7142857142857143
34,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789105295,0.7428571428571429
35,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.7714285714285715
36,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536,0.8
37,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8285714285714286
38,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8571428571428571
39,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8857142857142857
40,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9142857142857143
41,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9428571428571428
42,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9714285714285714
43,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
