atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06188591273721217,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.03792128052188181,0.023255813953488372
2,6,0,2,3,0,0,0,0,1,12.011,-0.08850169801815914,0.046511627906976744
3,6,0,2,3,0,0,0,0,1,12.011,-0.08476270749375747,0.06976744186046512
4,6,0,2,4,0,0,0,0,2,12.011,-0.016907502884977985,0.09302325581395349
5,6,0,2,3,0,0,0,0,1,12.011,-0.0844408768228585,0.11627906976744186
6,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523928351,0.13953488372093023
7,6,0,2,4,0,0,0,0,2,12.011,-0.016896067690804678,0.16279069767441862
8,6,0,2,3,0,0,0,0,1,12.011,-0.08444068375360139,0.18604651162790697
9,6,0,2,3,0,0,0,0,1,12.011,-0.0844406837535909,0.20930232558139536
10,6,0,2,4,0,0,0,0,2,12.011,-0.016896067685148813,0.23255813953488372
11,6,0,2,3,0,0,0,0,1,12.011,-0.0844406837535909,0.2558139534883721
12,6,0,2,3,0,0,0,0,1,12.011,-0.08444068375360138,0.27906976744186046
13,6,0,2,4,0,0,0,0,2,12.011,-0.016896067690784472,0.3023255813953488
14,6,0,2,3,0,0,0,0,1,12.011,-0.0844406852282109,0.32558139534883723
15,6,0,2,3,0,0,0,0,1,12.011,-0.08444087377518812,0.3488372093023256
16,6,0,2,4,0,0,0,0,2,12.011,-0.016907106162915356,0.37209302325581395
17,6,0,2,3,0,0,0,0,1,12.011,-0.08473684868001655,0.3953488372093023
18,6,0,2,3,0,0,0,0,1,12.011,-0.08765038070381104,0.4186046511627907
19,6,0,2,4,0,0,0,0,2,12.011,-0.024546512989658865,0.4418604651162791
20,6,0,2,4,0,0,0,0,2,12.011,0.04894903354255113,0.46511627906976744
21,6,0,3,3,0,0,0,0,0,12.011,0.3057309439585441,0.4883720930232558
22,8,0,1,3,0,0,0,0,0,15.999,-0.2522843712192786,0.5116279069767442
23,8,0,2,3,0,0,0,0,0,15.999,-0.46162000962433036,0.5116279069767442
24,6,0,2,4,0,0,0,0,2,12.011,0.13055450887084166,0.5348837209302325
25,6,0,3,4,0,0,2,1,1,12.011,0.15940082936689662,0.5581395348837209
26,6,0,2,4,0,0,0,0,2,12.011,0.09570182344953501,0.5813953488372093
27,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279081,0.6046511627906976
28,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.627906976744186
29,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.6511627906976745
30,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.6511627906976745
31,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.6511627906976745
32,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.6744186046511628
33,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.6976744186046512
34,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.7209302325581395
35,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7441860465116279
36,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7441860465116279
37,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7441860465116279
38,8,0,2,3,0,0,0,0,0,15.999,-0.4562208228890707,0.5813953488372093
39,6,0,3,3,0,0,0,0,0,12.011,0.30576580442008805,0.6046511627906976
40,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973,0.627906976744186
41,6,0,2,4,0,0,0,0,2,12.011,0.04551623833314574,0.627906976744186
42,6,0,2,4,0,0,0,0,2,12.011,-0.0427831176093492,0.6511627906976745
43,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163418,0.6744186046511628
44,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439,0.6976744186046512
45,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874,0.7209302325581395
46,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592,0.7441860465116279
47,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364,0.7674418604651163
48,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828,0.7906976744186046
49,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.813953488372093
50,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721,0.8372093023255814
51,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674,0.8604651162790697
52,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766,0.8837209302325582
53,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676,0.9069767441860465
54,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526,0.9302325581395349
55,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327,0.9534883720930233
56,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655,0.9767441860465116
57,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243,1.0
