source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5204791639553599
1,0,1.0,0,0,0,0,0,1.5204791639553599
1,2,1.0,0,0,0,4,0,1.5009227445029822
2,1,1.0,0,0,0,4,0,1.5009227445029822
2,3,2.0,0,0,2,0,0,1.3436840161988082
3,2,2.0,0,0,2,0,0,1.3436840161988082
3,4,1.0,0,0,0,3,0,1.5023974468530947
4,3,1.0,0,0,0,3,0,1.5023974468530947
4,5,1.0,0,0,0,4,0,1.501969354937651
5,4,1.0,0,0,0,4,0,1.501969354937651
5,6,2.0,0,0,2,0,0,1.3442183033562007
6,5,2.0,0,0,2,0,0,1.3442183033562007
6,7,1.0,0,0,0,3,0,1.5009288750137062
7,6,1.0,0,0,0,3,0,1.5009288750137062
7,8,1.0,0,0,0,4,0,1.5016798655276506
8,7,1.0,0,0,0,4,0,1.5016798655276506
8,9,2.0,0,0,2,0,0,1.3444203767193013
9,8,2.0,0,0,2,0,0,1.3444203767193013
9,10,1.0,0,0,0,3,0,1.5019856490821326
10,9,1.0,0,0,0,3,0,1.5019856490821326
10,11,1.0,0,0,0,4,0,1.5017843349836442
11,10,1.0,0,0,0,4,0,1.5017843349836442
11,12,2.0,0,0,2,0,0,1.343958221004257
12,11,2.0,0,0,2,0,0,1.343958221004257
12,13,1.0,0,0,0,3,0,1.5021036506328778
13,12,1.0,0,0,0,3,0,1.5021036506328778
13,14,1.0,0,0,0,0,0,1.5312033773308524
14,13,1.0,0,0,0,0,0,1.5312033773308524
14,15,1.0,0,0,0,0,0,1.5316758503785772
15,14,1.0,0,0,0,0,0,1.5316758503785772
15,16,1.0,0,0,0,0,0,1.5269739542509626
16,15,1.0,0,0,0,0,0,1.5269739542509626
16,17,1.0,0,0,0,0,0,1.5089098096685503
17,16,1.0,0,0,0,0,0,1.5089098096685503
17,18,2.0,1,0,0,0,0,1.223823413553735
18,17,2.0,1,0,0,0,0,1.223823413553735
17,19,1.0,1,0,0,0,0,1.359532381064756
19,17,1.0,1,0,0,0,0,1.359532381064756
19,20,1.0,0,0,0,0,0,1.4471379050847197
20,19,1.0,0,0,0,0,0,1.4471379050847197
20,21,1.0,0,0,0,0,0,1.5343863355645575
21,20,1.0,0,0,0,0,0,1.5343863355645575
