source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5206241138192944
1,0,1.0,0,0,0,0,0,1.5206241138192944
1,2,1.0,0,0,0,0,0,1.5312455734764419
2,1,1.0,0,0,0,0,0,1.5312455734764419
2,3,1.0,0,0,0,0,0,1.5315547850453157
3,2,1.0,0,0,0,0,0,1.5315547850453157
3,4,1.0,0,0,0,4,0,1.5030816293967653
4,3,1.0,0,0,0,4,0,1.5030816293967653
4,5,2.0,0,0,2,0,0,1.343108166531361
5,4,2.0,0,0,2,0,0,1.343108166531361
5,6,1.0,0,0,0,3,0,1.5028253306441754
6,5,1.0,0,0,0,3,0,1.5028253306441754
6,7,1.0,0,0,0,0,0,1.5325766010781365
7,6,1.0,0,0,0,0,0,1.5325766010781365
7,8,1.0,0,0,0,0,0,1.5330940503605444
8,7,1.0,0,0,0,0,0,1.5330940503605444
8,9,1.0,0,0,0,0,0,1.532461974517918
9,8,1.0,0,0,0,0,0,1.532461974517918
9,10,1.0,0,0,0,0,0,1.5312351584666524
10,9,1.0,0,0,0,0,0,1.5312351584666524
10,11,1.0,0,0,0,0,0,1.5322177099848031
11,10,1.0,0,0,0,0,0,1.5322177099848031
11,12,1.0,0,0,0,0,0,1.5262129252991754
12,11,1.0,0,0,0,0,0,1.5262129252991754
12,13,1.0,0,0,0,0,0,1.508639303844798
13,12,1.0,0,0,0,0,0,1.508639303844798
13,14,2.0,1,0,0,0,0,1.2232156854678653
14,13,2.0,1,0,0,0,0,1.2232156854678653
13,15,1.0,1,0,0,0,0,1.3578964591203595
15,13,1.0,1,0,0,0,0,1.3578964591203595
15,16,1.0,0,0,0,0,0,1.447416877054161
16,15,1.0,0,0,0,0,0,1.447416877054161
16,17,1.0,0,0,0,0,0,1.5353272598395862
17,16,1.0,0,0,0,0,0,1.5353272598395862
17,18,1.0,0,0,0,0,0,1.4316678597668044
18,17,1.0,0,0,0,0,0,1.4316678597668044
18,19,1.0,1,0,0,4,0,1.3662161739235301
19,18,1.0,1,0,0,4,0,1.3662161739235301
19,20,2.0,1,0,2,0,0,1.3382732014905838
20,19,2.0,1,0,2,0,0,1.3382732014905838
20,21,1.0,0,0,0,3,0,1.5024127614682985
21,20,1.0,0,0,0,3,0,1.5024127614682985
21,22,1.0,0,0,0,0,0,1.533030338182814
22,21,1.0,0,0,0,0,0,1.533030338182814
22,23,1.0,0,0,0,0,0,1.5329282337000831
23,22,1.0,0,0,0,0,0,1.5329282337000831
23,24,1.0,0,0,0,0,0,1.5317802800932658
24,23,1.0,0,0,0,0,0,1.5317802800932658
24,25,1.0,0,0,0,0,0,1.5326890663934762
25,24,1.0,0,0,0,0,0,1.5326890663934762
25,26,1.0,0,0,0,0,0,1.5319769617190284
26,25,1.0,0,0,0,0,0,1.5319769617190284
26,27,1.0,0,0,0,0,0,1.5313834828967234
27,26,1.0,0,0,0,0,0,1.5313834828967234
27,28,1.0,0,0,0,0,0,1.5317534087998543
28,27,1.0,0,0,0,0,0,1.5317534087998543
28,29,1.0,0,0,0,0,0,1.5320547612558773
29,28,1.0,0,0,0,0,0,1.5320547612558773
29,30,1.0,0,0,0,0,0,1.53205701892087
30,29,1.0,0,0,0,0,0,1.53205701892087
30,31,1.0,0,0,0,0,0,1.5321664934954808
31,30,1.0,0,0,0,0,0,1.5321664934954808
31,32,1.0,0,0,0,0,0,1.5313681053398487
32,31,1.0,0,0,0,0,0,1.5313681053398487
32,33,1.0,0,0,0,0,0,1.5315490672183876
33,32,1.0,0,0,0,0,0,1.5315490672183876
33,34,1.0,0,0,0,0,0,1.53191287306892
34,33,1.0,0,0,0,0,0,1.53191287306892
34,35,1.0,0,0,0,0,0,1.5318049379707779
35,34,1.0,0,0,0,0,0,1.5318049379707779
35,36,1.0,0,0,0,0,0,1.5310402149102895
36,35,1.0,0,0,0,0,0,1.5310402149102895
36,37,1.0,0,0,0,0,0,1.5298303771913027
37,36,1.0,0,0,0,0,0,1.5298303771913027
37,38,1.0,0,0,0,0,0,1.5207277587103274
38,37,1.0,0,0,0,0,0,1.5207277587103274
16,39,1.0,0,0,0,0,0,1.5338305140571926
39,16,1.0,0,0,0,0,0,1.5338305140571926
39,40,1.0,0,0,0,0,0,1.4201669232476142
40,39,1.0,0,0,0,0,0,1.4201669232476142
40,41,1.0,0,0,0,0,0,1.6125359797783747
41,40,1.0,0,0,0,0,0,1.6125359797783747
41,42,2.0,0,0,0,0,0,1.503916604708058
42,41,2.0,0,0,0,0,0,1.503916604708058
41,43,1.0,0,0,0,0,0,1.5055659701355313
43,41,1.0,0,0,0,0,0,1.5055659701355313
41,44,1.0,0,0,0,0,0,1.625352901535455
44,41,1.0,0,0,0,0,0,1.625352901535455
44,45,1.0,0,0,0,0,0,1.414623845379975
45,44,1.0,0,0,0,0,0,1.414623845379975
45,46,1.0,0,0,0,0,0,1.5358749021785234
46,45,1.0,0,0,0,0,0,1.5358749021785234
46,47,1.0,0,0,0,0,0,1.5548305034368521
47,46,1.0,0,0,0,0,0,1.5548305034368521
47,48,1.0,0,0,0,0,0,1.518820204190696
48,47,1.0,0,0,0,0,0,1.518820204190696
47,49,1.0,0,0,0,0,0,1.521527943606495
49,47,1.0,0,0,0,0,0,1.521527943606495
47,50,1.0,0,0,0,0,0,1.5250351256996626
50,47,1.0,0,0,0,0,0,1.5250351256996626
