source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.521079310082504
1,0,1.0,0,0,0,0,0,1.521079310082504
1,2,1.0,0,0,0,0,0,1.5301573339182808
2,1,1.0,0,0,0,0,0,1.5301573339182808
2,3,1.0,0,0,0,0,0,1.5314861548821561
3,2,1.0,0,0,0,0,0,1.5314861548821561
3,4,1.0,0,0,0,0,0,1.532282375768853
4,3,1.0,0,0,0,0,0,1.532282375768853
4,5,1.0,0,0,0,0,0,1.532453942549179
5,4,1.0,0,0,0,0,0,1.532453942549179
5,6,1.0,0,0,0,0,0,1.5324095353601948
6,5,1.0,0,0,0,0,0,1.5324095353601948
6,7,1.0,0,0,0,0,0,1.5323437191469882
7,6,1.0,0,0,0,0,0,1.5323437191469882
7,8,1.0,0,0,0,0,0,1.5308709433758128
8,7,1.0,0,0,0,0,0,1.5308709433758128
8,9,1.0,0,0,0,4,0,1.5028112466419243
9,8,1.0,0,0,0,4,0,1.5028112466419243
9,10,2.0,0,0,2,0,0,1.3430443491716275
10,9,2.0,0,0,2,0,0,1.3430443491716275
10,11,1.0,0,0,0,3,0,1.502554139996743
11,10,1.0,0,0,0,3,0,1.502554139996743
11,12,1.0,0,0,0,0,0,1.5315722888093941
12,11,1.0,0,0,0,0,0,1.5315722888093941
12,13,1.0,0,0,0,0,0,1.5331464389771114
13,12,1.0,0,0,0,0,0,1.5331464389771114
13,14,1.0,0,0,0,0,0,1.5319020352503523
14,13,1.0,0,0,0,0,0,1.5319020352503523
14,15,1.0,0,0,0,0,0,1.5320588634902599
15,14,1.0,0,0,0,0,0,1.5320588634902599
15,16,1.0,0,0,0,0,0,1.5323154553025133
16,15,1.0,0,0,0,0,0,1.5323154553025133
16,17,1.0,0,0,0,0,0,1.527199106241367
17,16,1.0,0,0,0,0,0,1.527199106241367
17,18,1.0,0,0,0,0,0,1.508388782799808
18,17,1.0,0,0,0,0,0,1.508388782799808
18,19,2.0,1,0,0,0,0,1.2233128239291633
19,18,2.0,1,0,0,0,0,1.2233128239291633
18,20,1.0,1,0,0,0,0,1.3589798850252375
20,18,1.0,1,0,0,0,0,1.3589798850252375
20,21,1.0,0,0,0,0,0,1.447528442844646
21,20,1.0,0,0,0,0,0,1.447528442844646
21,22,1.0,0,0,0,0,0,1.5355991058807226
22,21,1.0,0,0,0,0,0,1.5355991058807226
22,23,1.0,0,0,0,0,0,1.4384256579940282
23,22,1.0,0,0,0,0,0,1.4384256579940282
23,24,1.0,1,0,0,0,0,1.3609479086390197
24,23,1.0,1,0,0,0,0,1.3609479086390197
24,25,2.0,1,0,0,0,0,1.2230662996355488
25,24,2.0,1,0,0,0,0,1.2230662996355488
24,26,1.0,0,0,0,0,0,1.5087819890669343
26,24,1.0,0,0,0,0,0,1.5087819890669343
26,27,1.0,0,0,0,0,0,1.5275409126748347
27,26,1.0,0,0,0,0,0,1.5275409126748347
27,28,1.0,0,0,0,0,0,1.5323925737054194
28,27,1.0,0,0,0,0,0,1.5323925737054194
28,29,1.0,0,0,0,0,0,1.53243082209144
29,28,1.0,0,0,0,0,0,1.53243082209144
29,30,1.0,0,0,0,0,0,1.5328827589992968
30,29,1.0,0,0,0,0,0,1.5328827589992968
30,31,1.0,0,0,0,0,0,1.531914656587606
31,30,1.0,0,0,0,0,0,1.531914656587606
31,32,1.0,0,0,0,0,0,1.5317186683221198
32,31,1.0,0,0,0,0,0,1.5317186683221198
32,33,1.0,0,0,0,0,0,1.53133463667713
33,32,1.0,0,0,0,0,0,1.53133463667713
33,34,1.0,0,0,0,0,0,1.532036995562473
34,33,1.0,0,0,0,0,0,1.532036995562473
34,35,1.0,0,0,0,0,0,1.532090792366048
35,34,1.0,0,0,0,0,0,1.532090792366048
35,36,1.0,0,0,0,0,0,1.5313362673238715
36,35,1.0,0,0,0,0,0,1.5313362673238715
36,37,1.0,0,0,0,0,0,1.5310882286519178
37,36,1.0,0,0,0,0,0,1.5310882286519178
37,38,1.0,0,0,0,0,0,1.5316517175742643
38,37,1.0,0,0,0,0,0,1.5316517175742643
38,39,1.0,0,0,0,0,0,1.5322701291716954
39,38,1.0,0,0,0,0,0,1.5322701291716954
39,40,1.0,0,0,0,0,0,1.5301380403006906
40,39,1.0,0,0,0,0,0,1.5301380403006906
40,41,1.0,0,0,0,0,0,1.5211488006297185
41,40,1.0,0,0,0,0,0,1.5211488006297185
21,42,1.0,0,0,0,0,0,1.5342994868382616
42,21,1.0,0,0,0,0,0,1.5342994868382616
42,43,1.0,0,0,0,0,0,1.421168014241807
43,42,1.0,0,0,0,0,0,1.421168014241807
43,44,1.0,0,0,0,0,0,1.6027304109752936
44,43,1.0,0,0,0,0,0,1.6027304109752936
44,45,2.0,0,0,0,0,0,1.492017262207355
45,44,2.0,0,0,0,0,0,1.492017262207355
44,46,1.0,0,0,0,0,0,1.600651335243305
46,44,1.0,0,0,0,0,0,1.600651335243305
44,47,1.0,0,0,0,0,0,1.6026400276803672
47,44,1.0,0,0,0,0,0,1.6026400276803672
47,48,1.0,0,0,0,0,0,1.4197736121182547
48,47,1.0,0,0,0,0,0,1.4197736121182547
48,49,1.0,0,0,0,0,0,1.530783978918658
49,48,1.0,0,0,0,0,0,1.530783978918658
49,50,1.0,0,0,0,0,0,1.465948350511901
50,49,1.0,0,0,0,0,0,1.465948350511901
