atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.15940083095665328
1,6,0,2,4,0,0,0,0,2,12.011,0.09570182345609596
2,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704278953
3,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134
4,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322
7,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
13,8,0,2,3,0,0,0,0,0,15.999,-0.4562206868694289
14,6,0,3,3,0,0,0,0,0,12.011,0.3057773619554231
15,6,0,2,4,0,0,0,0,2,12.011,0.04581016560793744
16,6,0,2,4,0,0,0,0,2,12.011,-0.03930422303734627
17,6,0,2,4,0,0,0,0,2,12.011,-0.03450404456334814
18,6,0,2,3,0,0,0,0,1,12.011,-0.08821173650594126
19,6,0,2,3,0,0,0,0,1,12.011,-0.08475223916903231
20,6,0,2,4,0,0,0,0,2,12.011,-0.016907327115851963
21,6,0,2,3,0,0,0,0,1,12.011,-0.08444087540915313
22,6,0,2,3,0,0,0,0,1,12.011,-0.0844406852340394
23,6,0,2,4,0,0,0,0,2,12.011,-0.016896067696441162
24,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523404982
25,6,0,2,3,0,0,0,0,1,12.011,-0.0844408754150933
26,6,0,2,4,0,0,0,0,2,12.011,-0.016907328725840734
27,6,0,2,3,0,0,0,0,1,12.011,-0.0847524597925529
28,6,0,2,3,0,0,0,0,1,12.011,-0.08822748279093615
29,6,0,2,4,0,0,0,0,2,12.011,-0.03506238602438802
30,6,0,2,4,0,0,0,0,2,12.011,-0.049834887801403216
31,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608925
32,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945
33,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015
34,8,0,1,3,0,0,0,0,0,15.999,-0.2522841182227582
35,6,0,2,4,0,0,0,0,2,12.011,0.13055450887740191
36,8,0,2,3,0,0,0,0,0,15.999,-0.4616200096243174
37,6,0,3,3,0,0,0,0,0,12.011,0.3057309439585441
38,6,0,2,4,0,0,0,0,2,12.011,0.04894903354255113
39,6,0,2,4,0,0,0,0,2,12.011,-0.024546512989658865
40,6,0,2,3,0,0,0,0,1,12.011,-0.08765038070381104
41,6,0,2,3,0,0,0,0,1,12.011,-0.08473684868001655
42,6,0,2,4,0,0,0,0,2,12.011,-0.016907106162915356
43,6,0,2,3,0,0,0,0,1,12.011,-0.08444087377518812
44,6,0,2,3,0,0,0,0,1,12.011,-0.0844406852282109
45,6,0,2,4,0,0,0,0,2,12.011,-0.016896067690784472
46,6,0,2,3,0,0,0,0,1,12.011,-0.08444068375360138
47,6,0,2,3,0,0,0,0,1,12.011,-0.0844406837535909
48,6,0,2,4,0,0,0,0,2,12.011,-0.016896067685148813
49,6,0,2,3,0,0,0,0,1,12.011,-0.0844406837535909
50,6,0,2,3,0,0,0,0,1,12.011,-0.08444068375360139
51,6,0,2,4,0,0,0,0,2,12.011,-0.016896067690804678
52,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523928351
53,6,0,2,3,0,0,0,0,1,12.011,-0.0844408768228585
54,6,0,2,4,0,0,0,0,2,12.011,-0.016907502884977985
55,6,0,2,3,0,0,0,0,1,12.011,-0.08476270749375747
56,6,0,2,3,0,0,0,0,1,12.011,-0.08850169801815914
57,6,0,2,4,0,0,0,0,2,12.011,-0.03792128052188181
58,6,0,1,4,0,0,0,0,3,12.011,-0.06188591273721217
59,8,0,1,3,0,0,0,0,0,15.999,-0.2522843712192786
