source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520224761819075
1,0,1.0,0,0,0,0,0,1.520224761819075
1,2,1.0,0,0,0,0,0,1.5298365525872384
2,1,1.0,0,0,0,0,0,1.5298365525872384
2,3,1.0,0,0,0,0,0,1.5323271458065055
3,2,1.0,0,0,0,0,0,1.5323271458065055
3,4,1.0,0,0,0,0,0,1.5317544861492485
4,3,1.0,0,0,0,0,0,1.5317544861492485
4,5,1.0,0,0,0,4,0,1.502565758517442
5,4,1.0,0,0,0,4,0,1.502565758517442
5,6,2.0,0,0,2,0,0,1.3436300593242092
6,5,2.0,0,0,2,0,0,1.3436300593242092
6,7,1.0,0,0,0,3,0,1.502016313149548
7,6,1.0,0,0,0,3,0,1.502016313149548
7,8,1.0,0,0,0,4,0,1.50297996951904
8,7,1.0,0,0,0,4,0,1.50297996951904
8,9,2.0,0,0,2,0,0,1.3436320876859078
9,8,2.0,0,0,2,0,0,1.3436320876859078
9,10,1.0,0,0,0,3,0,1.5024429232294798
10,9,1.0,0,0,0,3,0,1.5024429232294798
10,11,1.0,0,0,0,0,0,1.5314653763079824
11,10,1.0,0,0,0,0,0,1.5314653763079824
11,12,1.0,0,0,0,0,0,1.531476473638039
12,11,1.0,0,0,0,0,0,1.531476473638039
12,13,1.0,0,0,0,0,0,1.531083705299925
13,12,1.0,0,0,0,0,0,1.531083705299925
13,14,1.0,0,0,0,0,0,1.5311786342152442
14,13,1.0,0,0,0,0,0,1.5311786342152442
14,15,1.0,0,0,0,0,0,1.529919117120397
15,14,1.0,0,0,0,0,0,1.529919117120397
15,16,1.0,0,0,0,0,0,1.5273517930427531
16,15,1.0,0,0,0,0,0,1.5273517930427531
16,17,1.0,0,0,0,0,0,1.5081071524750236
17,16,1.0,0,0,0,0,0,1.5081071524750236
17,18,2.0,1,0,0,0,0,1.2225904808277401
18,17,2.0,1,0,0,0,0,1.2225904808277401
17,19,1.0,1,0,0,0,0,1.3614524920442348
19,17,1.0,1,0,0,0,0,1.3614524920442348
19,20,1.0,0,0,0,0,0,1.4465903172736088
20,19,1.0,0,0,0,0,0,1.4465903172736088
20,21,1.0,0,0,0,0,0,1.5357618211200916
21,20,1.0,0,0,0,0,0,1.5357618211200916
21,22,1.0,0,0,0,0,0,1.4384415935485428
22,21,1.0,0,0,0,0,0,1.4384415935485428
22,23,1.0,1,0,0,0,0,1.3618189643301175
23,22,1.0,1,0,0,0,0,1.3618189643301175
23,24,2.0,1,0,0,0,0,1.222490520382543
24,23,2.0,1,0,0,0,0,1.222490520382543
23,25,1.0,0,0,0,0,0,1.508487734197694
25,23,1.0,0,0,0,0,0,1.508487734197694
25,26,1.0,0,0,0,0,0,1.526304692710227
26,25,1.0,0,0,0,0,0,1.526304692710227
26,27,1.0,0,0,0,0,0,1.5315184289699146
27,26,1.0,0,0,0,0,0,1.5315184289699146
27,28,1.0,0,0,0,0,0,1.530972217166798
28,27,1.0,0,0,0,0,0,1.530972217166798
28,29,1.0,0,0,0,0,0,1.5306698399476806
