atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945,0.02564102564102564
2,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608925,0.05128205128205128
3,6,0,2,4,0,0,0,0,2,12.011,-0.049834887801403216,0.07692307692307693
4,6,0,2,4,0,0,0,0,2,12.011,-0.03506238602438802,0.10256410256410256
5,6,0,2,3,0,0,0,0,1,12.011,-0.08822748279093617,0.1282051282051282
6,6,0,2,3,0,0,0,0,1,12.011,-0.08475245979256339,0.15384615384615385
7,6,0,2,4,0,0,0,0,2,12.011,-0.016907328731486915,0.1794871794871795
8,6,0,2,3,0,0,0,0,1,12.011,-0.08444087689554175,0.20512820512820512
9,6,0,2,3,0,0,0,0,1,12.011,-0.08444087689554174,0.23076923076923078
10,6,0,2,4,0,0,0,0,2,12.011,-0.01690732873147728,0.2564102564102564
11,6,0,2,3,0,0,0,0,1,12.011,-0.08475245978735788,0.28205128205128205
12,6,0,2,3,0,0,0,0,1,12.011,-0.08822748139674098,0.3076923076923077
13,6,0,2,4,0,0,0,0,2,12.011,-0.03506221354193418,0.3333333333333333
14,6,0,2,4,0,0,0,0,2,12.011,-0.04982482840178498,0.358974358974359
15,6,0,2,4,0,0,0,0,2,12.011,-0.05301106043070461,0.38461538461538464
16,6,0,2,4,0,0,0,0,2,12.011,-0.053294803430125486,0.41025641025641024
17,6,0,2,4,0,0,0,0,2,12.011,-0.05329038592871706,0.4358974358974359
18,6,0,2,4,0,0,0,0,2,12.011,-0.05274800752336669,0.46153846153846156
19,6,0,2,4,0,0,0,0,2,12.011,-0.04278333793804979,0.48717948717948717
20,6,0,2,4,0,0,0,0,2,12.011,0.045503087967787285,0.5128205128205128
21,6,0,3,3,0,0,0,0,0,12.011,0.30541632951162345,0.5384615384615384
22,8,0,1,3,0,0,0,0,0,15.999,-0.2522976348147269,0.5641025641025641
23,8,0,2,3,0,0,0,0,0,15.999,-0.46157989624349244,0.5641025641025641
24,6,0,2,4,0,0,0,0,2,12.011,0.13164834359098515,0.5897435897435898
25,6,0,3,4,0,0,1,1,1,12.011,0.16958373846482047,0.6153846153846154
26,6,0,2,4,0,0,0,0,2,12.011,0.13164834359098515,0.6410256410256411
27,8,0,2,3,0,0,0,0,0,15.999,-0.46157989624349244,0.6666666666666666
28,6,0,3,3,0,0,0,0,0,12.011,0.30541632951162345,0.6923076923076923
29,8,0,1,3,0,0,0,0,0,15.999,-0.2522976348147269,0.717948717948718
30,6,0,2,4,0,0,0,0,2,12.011,0.045503087967776974,0.717948717948718
31,6,0,2,4,0,0,0,0,2,12.011,-0.04278333794364372,0.7435897435897436
32,6,0,2,4,0,0,0,0,2,12.011,-0.052748008993151956,0.7692307692307693
33,6,0,2,4,0,0,0,0,2,12.011,-0.05329057096118591,0.7948717948717948
34,6,0,2,4,0,0,0,0,2,12.011,-0.053305752366105345,0.8205128205128205
35,6,0,2,4,0,0,0,0,2,12.011,-0.053305972561318096,0.8461538461538461
36,6,0,2,4,0,0,0,0,2,12.011,-0.0533061450573038,0.8717948717948718
37,6,0,2,4,0,0,0,0,2,12.011,-0.053316032269844583,0.8974358974358975
38,6,0,2,4,0,0,0,0,2,12.011,-0.0535686427246432,0.9230769230769231
39,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9487179487179487
40,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.9743589743589743
41,8,0,2,3,0,0,0,0,0,15.999,-0.4550472351525009,0.6410256410256411
42,6,0,3,3,0,0,0,0,0,12.011,0.3058071716549481,0.6666666666666666
43,8,0,1,3,0,0,0,0,0,15.999,-0.2522835430972595,0.6923076923076923
44,6,0,2,4,0,0,0,0,2,12.011,0.04551703973712223,0.6923076923076923
45,6,0,2,4,0,0,0,0,2,12.011,-0.04278311242928985,0.717948717948718
46,6,0,2,4,0,0,0,0,2,12.011,-0.05274800726817674,0.7435897435897436
47,6,0,2,4,0,0,0,0,2,12.011,-0.05329057095474578,0.7692307692307693
48,6,0,2,4,0,0,0,0,2,12.011,-0.053305752360839995,0.7948717948717948
49,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118460878,0.8205128205128205
50,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278852935,0.8461538461538461
51,6,0,2,4,0,0,0,0,2,12.011,-0.053305974165824194,0.8717948717948718
52,6,0,2,4,0,0,0,0,2,12.011,-0.05330614506314383,0.8974358974358975
53,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9230769230769231
54,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9487179487179487
55,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9743589743589743
56,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
