source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5221152467358283
1,0,1.0,0,0,0,0,0,1.5221152467358283
1,2,1.0,0,0,0,0,0,1.5321794330585081
2,1,1.0,0,0,0,0,0,1.5321794330585081
2,3,1.0,0,0,0,0,0,1.5331022467527249
3,2,1.0,0,0,0,0,0,1.5331022467527249
3,4,1.0,0,0,0,0,0,1.5291090601084532
4,3,1.0,0,0,0,0,0,1.5291090601084532
4,5,1.0,0,0,0,0,0,1.5337509823081523
5,4,1.0,0,0,0,0,0,1.5337509823081523
5,6,1.0,0,0,0,0,0,1.5322599559347352
6,5,1.0,0,0,0,0,0,1.5322599559347352
6,7,1.0,0,0,0,4,0,1.5033157170743572
7,6,1.0,0,0,0,4,0,1.5033157170743572
7,8,2.0,0,0,2,0,0,1.3434950361767448
8,7,2.0,0,0,2,0,0,1.3434950361767448
8,9,1.0,0,0,0,3,0,1.50336323989195
9,8,1.0,0,0,0,3,0,1.50336323989195
9,10,1.0,0,0,0,0,0,1.531917502415043
10,9,1.0,0,0,0,0,0,1.531917502415043
10,11,1.0,0,0,0,0,0,1.5327295349400023
11,10,1.0,0,0,0,0,0,1.5327295349400023
11,12,1.0,0,0,0,0,0,1.5305041624003224
12,11,1.0,0,0,0,0,0,1.5305041624003224
12,13,1.0,0,0,0,0,0,1.5316004383581912
13,12,1.0,0,0,0,0,0,1.5316004383581912
13,14,1.0,0,0,0,0,0,1.531733017315248
14,13,1.0,0,0,0,0,0,1.531733017315248
14,15,1.0,0,0,0,0,0,1.5261038516715124
15,14,1.0,0,0,0,0,0,1.5261038516715124
15,16,1.0,0,0,0,0,0,1.5084498158190651
16,15,1.0,0,0,0,0,0,1.5084498158190651
16,17,2.0,1,0,0,0,0,1.2234614967475703
17,16,2.0,1,0,0,0,0,1.2234614967475703
16,18,1.0,1,0,0,0,0,1.358520547720987
18,16,1.0,1,0,0,0,0,1.358520547720987
18,19,1.0,0,0,0,0,0,1.434888122590555
19,18,1.0,0,0,0,0,0,1.434888122590555
19,20,1.0,0,0,0,0,0,1.5339838360732425
20,19,1.0,0,0,0,0,0,1.5339838360732425
20,21,1.0,0,0,0,0,0,1.533204474783717
21,20,1.0,0,0,0,0,0,1.533204474783717
21,22,1.0,0,0,0,0,0,1.4184509399993017
22,21,1.0,0,0,0,0,0,1.4184509399993017
22,23,1.0,0,0,0,0,0,1.6111250154671468
23,22,1.0,0,0,0,0,0,1.6111250154671468
23,24,2.0,0,0,0,0,0,1.5063540672788285
24,23,2.0,0,0,0,0,0,1.5063540672788285
23,25,1.0,0,0,0,0,0,1.50376816881664
25,23,1.0,0,0,0,0,0,1.50376816881664
23,26,1.0,0,0,0,0,0,1.625902284247333
26,23,1.0,0,0,0,0,0,1.625902284247333
26,27,1.0,0,0,0,0,0,1.4192183765173259
27,26,1.0,0,0,0,0,0,1.4192183765173259
27,28,1.0,0,0,0,0,0,1.5382898858108827
28,27,1.0,0,0,0,0,0,1.5382898858108827
28,29,1.0,0,0,0,0,0,1.5524509381836649
29,28,1.0,0,0,0,0,0,1.5524509381836649
29,30,1.0,0,0,0,0,0,1.5339658516155406
30,29,1.0,0,0,0,0,0,1.5339658516155406
29,31,1.0,0,0,0,0,0,1.5103582291247646
31,29,1.0,0,0,0,0,0,1.5103582291247646
29,32,1.0,0,0,0,0,0,1.520777844137766
32,29,1.0,0,0,0,0,0,1.520777844137766
20,33,1.0,0,0,0,0,0,1.4448995088044858
33,20,1.0,0,0,0,0,0,1.4448995088044858
