source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5410849350529028
1,0,1.0,0,0,0,0,0,1.5410849350529028
1,2,1.0,0,0,0,0,0,1.4292039590756123
2,1,1.0,0,0,0,0,0,1.4292039590756123
0,3,1.0,0,0,0,0,0,1.4736193372061004
3,0,1.0,0,0,0,0,0,1.4736193372061004
3,4,1.0,1,0,0,0,0,1.3762512175750874
4,3,1.0,1,0,0,0,0,1.3762512175750874
4,5,1.0,0,0,0,0,0,1.5171310669506266
5,4,1.0,0,0,0,0,0,1.5171310669506266
5,6,1.0,0,0,0,0,0,1.528322781395588
6,5,1.0,0,0,0,0,0,1.528322781395588
6,7,1.0,0,0,0,0,0,1.5328210488804266
7,6,1.0,0,0,0,0,0,1.5328210488804266
7,8,1.0,0,0,0,0,0,1.531633235692417
8,7,1.0,0,0,0,0,0,1.531633235692417
8,9,1.0,0,0,0,0,0,1.5318248198075708
9,8,1.0,0,0,0,0,0,1.5318248198075708
9,10,1.0,0,0,0,0,0,1.53185710691563
10,9,1.0,0,0,0,0,0,1.53185710691563
10,11,1.0,0,0,0,0,0,1.5316080882877787
11,10,1.0,0,0,0,0,0,1.5316080882877787
11,12,1.0,0,0,0,0,0,1.5323996700747955
12,11,1.0,0,0,0,0,0,1.5323996700747955
12,13,1.0,0,0,0,0,0,1.5317537880887753
13,12,1.0,0,0,0,0,0,1.5317537880887753
13,14,1.0,0,0,0,0,0,1.5324344712519062
14,13,1.0,0,0,0,0,0,1.5324344712519062
14,15,1.0,0,0,0,0,0,1.5322200625738027
15,14,1.0,0,0,0,0,0,1.5322200625738027
15,16,1.0,0,0,0,0,0,1.5320913432310626
16,15,1.0,0,0,0,0,0,1.5320913432310626
16,17,1.0,0,0,0,0,0,1.531702574633543
17,16,1.0,0,0,0,0,0,1.531702574633543
17,18,1.0,0,0,0,0,0,1.5323793206557141
18,17,1.0,0,0,0,0,0,1.5323793206557141
18,19,1.0,0,0,0,0,0,1.5320266914294725
19,18,1.0,0,0,0,0,0,1.5320266914294725
19,20,1.0,0,0,0,0,0,1.5310973011014029
20,19,1.0,0,0,0,0,0,1.5310973011014029
20,21,1.0,0,0,0,0,0,1.532452120300866
21,20,1.0,0,0,0,0,0,1.532452120300866
21,22,1.0,0,0,0,0,0,1.5302787884051683
22,21,1.0,0,0,0,0,0,1.5302787884051683
22,23,1.0,0,0,0,0,0,1.5209855331921107
23,22,1.0,0,0,0,0,0,1.5209855331921107
4,24,2.0,1,0,0,0,0,1.2258219342919074
24,4,2.0,1,0,0,0,0,1.2258219342919074
0,25,1.0,0,0,0,0,0,1.556638577389975
25,0,1.0,0,0,0,0,0,1.556638577389975
25,26,1.0,0,0,0,0,0,1.4318235858681136
26,25,1.0,0,0,0,0,0,1.4318235858681136
25,27,1.0,0,0,0,4,0,1.5067713594702656
27,25,1.0,0,0,0,4,0,1.5067713594702656
27,28,2.0,0,0,3,0,0,1.3439861425495352
28,27,2.0,0,0,3,0,0,1.3439861425495352
28,29,1.0,0,0,0,4,0,1.50510143583055
29,28,1.0,0,0,0,4,0,1.50510143583055
29,30,1.0,0,0,0,0,0,1.5332242781789116
30,29,1.0,0,0,0,0,0,1.5332242781789116
30,31,1.0,0,0,0,0,0,1.533030818573224
31,30,1.0,0,0,0,0,0,1.533030818573224
31,32,1.0,0,0,0,0,0,1.5313921237596335
32,31,1.0,0,0,0,0,0,1.5313921237596335
32,33,1.0,0,0,0,0,0,1.531626223577547
33,32,1.0,0,0,0,0,0,1.531626223577547
33,34,1.0,0,0,0,0,0,1.5322176069699611
34,33,1.0,0,0,0,0,0,1.5322176069699611
34,35,1.0,0,0,0,0,0,1.5315398444862187
35,34,1.0,0,0,0,0,0,1.5315398444862187
35,36,1.0,0,0,0,0,0,1.529824739837696
36,35,1.0,0,0,0,0,0,1.529824739837696
36,37,1.0,0,0,0,0,0,1.5208262747494155
37,36,1.0,0,0,0,0,0,1.5208262747494155
