source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5208112311273694
1,0,1.0,0,0,0,0,0,1.5208112311273694
1,2,1.0,0,0,0,0,0,1.5301741662842916
2,1,1.0,0,0,0,0,0,1.5301741662842916
2,3,1.0,0,0,0,0,0,1.5303528567534928
3,2,1.0,0,0,0,0,0,1.5303528567534928
3,4,1.0,0,0,0,0,0,1.5314920266806789
4,3,1.0,0,0,0,0,0,1.5314920266806789
4,5,1.0,0,0,0,0,0,1.5304051315363743
5,4,1.0,0,0,0,0,0,1.5304051315363743
5,6,1.0,0,0,0,0,0,1.5323333947917086
6,5,1.0,0,0,0,0,0,1.5323333947917086
6,7,1.0,0,0,0,0,0,1.5308689134872127
7,6,1.0,0,0,0,0,0,1.5308689134872127
7,8,1.0,0,0,0,0,0,1.5327763716101788
8,7,1.0,0,0,0,0,0,1.5327763716101788
8,9,1.0,0,0,0,0,0,1.53208508363322
9,8,1.0,0,0,0,0,0,1.53208508363322
9,10,1.0,0,0,0,0,0,1.5319129099431705
10,9,1.0,0,0,0,0,0,1.5319129099431705
10,11,1.0,0,0,0,0,0,1.532548460414732
11,10,1.0,0,0,0,0,0,1.532548460414732
11,12,1.0,0,0,0,0,0,1.5305319884873236
12,11,1.0,0,0,0,0,0,1.5305319884873236
12,13,1.0,0,0,0,0,0,1.5324465531805669
13,12,1.0,0,0,0,0,0,1.5324465531805669
13,14,1.0,0,0,0,0,0,1.5322670610585833
14,13,1.0,0,0,0,0,0,1.5322670610585833
14,15,1.0,0,0,0,0,0,1.533523752661339
15,14,1.0,0,0,0,0,0,1.533523752661339
15,16,1.0,0,0,0,0,0,1.5273683041506099
16,15,1.0,0,0,0,0,0,1.5273683041506099
16,17,1.0,0,0,0,0,0,1.5100134512303482
17,16,1.0,0,0,0,0,0,1.5100134512303482
17,18,2.0,1,0,0,0,0,1.223634652850356
18,17,2.0,1,0,0,0,0,1.223634652850356
17,19,1.0,1,0,0,0,0,1.35788742256459
19,17,1.0,1,0,0,0,0,1.35788742256459
19,20,1.0,0,0,0,0,0,1.4463146764047312
20,19,1.0,0,0,0,0,0,1.4463146764047312
20,21,1.0,0,0,0,0,0,1.535591748814653
21,20,1.0,0,0,0,0,0,1.535591748814653
21,22,1.0,0,0,0,0,0,1.4301767904929126
22,21,1.0,0,0,0,0,0,1.4301767904929126
22,23,1.0,0,0,0,0,0,1.4268854455032383
23,22,1.0,0,0,0,0,0,1.4268854455032383
23,24,1.0,0,0,0,0,0,1.5250865373626779
24,23,1.0,0,0,0,0,0,1.5250865373626779
24,25,1.0,0,0,0,0,0,1.5292054113994304
25,24,1.0,0,0,0,0,0,1.5292054113994304
25,26,1.0,0,0,0,0,0,1.5319250477964843
26,25,1.0,0,0,0,0,0,1.5319250477964843
26,27,1.0,0,0,0,0,0,1.530943405939909
27,26,1.0,0,0,0,0,0,1.530943405939909
27,28,1.0,0,0,0,0,0,1.5309415736934289
28,27,1.0,0,0,0,0,0,1.5309415736934289
28,29,1.0,0,0,0,0,0,1.5323989582967639
29,28,1.0,0,0,0,0,0,1.5323989582967639
29,30,1.0,0,0,0,0,0,1.5306496595630312
30,29,1.0,0,0,0,0,0,1.5306496595630312
30,31,1.0,0,0,0,0,0,1.5328736408299501
31,30,1.0,0,0,0,0,0,1.5328736408299501
31,32,1.0,0,0,0,0,0,1.5328374515264718
32,31,1.0,0,0,0,0,0,1.5328374515264718
32,33,1.0,0,0,0,0,0,1.5305942892947497
33,32,1.0,0,0,0,0,0,1.5305942892947497
33,34,1.0,0,0,0,0,0,1.5321827409761242
34,33,1.0,0,0,0,0,0,1.5321827409761242
34,35,1.0,0,0,0,0,0,1.529083182077863
35,34,1.0,0,0,0,0,0,1.529083182077863
35,36,1.0,0,0,0,0,0,1.521244117382033
36,35,1.0,0,0,0,0,0,1.521244117382033
20,37,1.0,0,0,0,0,0,1.534157422212495
37,20,1.0,0,0,0,0,0,1.534157422212495
37,38,1.0,0,0,0,0,0,1.4211895748833694
38,37,1.0,0,0,0,0,0,1.4211895748833694
38,39,1.0,0,0,0,0,0,1.611636986488712
39,38,1.0,0,0,0,0,0,1.611636986488712
39,40,2.0,0,0,0,0,0,1.5063211163552743
40,39,2.0,0,0,0,0,0,1.5063211163552743
39,41,1.0,0,0,0,0,0,1.504728232864364
41,39,1.0,0,0,0,0,0,1.504728232864364
39,42,1.0,0,0,0,0,0,1.6260124285097886
42,39,1.0,0,0,0,0,0,1.6260124285097886
42,43,1.0,0,0,0,0,0,1.418500087230288
43,42,1.0,0,0,0,0,0,1.418500087230288
43,44,1.0,0,0,0,0,0,1.5380703459109126
44,43,1.0,0,0,0,0,0,1.5380703459109126
44,45,1.0,0,0,0,0,0,1.5543895448149772
45,44,1.0,0,0,0,0,0,1.5543895448149772
45,46,1.0,0,0,0,0,0,1.5341614410050857
46,45,1.0,0,0,0,0,0,1.5341614410050857
45,47,1.0,0,0,0,0,0,1.5089066414850936
47,45,1.0,0,0,0,0,0,1.5089066414850936
45,48,1.0,0,0,0,0,0,1.5207604611847834
48,45,1.0,0,0,0,0,0,1.5207604611847834
