source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.531124581124867
1,0,1.0,0,0,0,0,0,1.531124581124867
1,2,1.0,0,0,0,0,0,1.4183212159684833
2,1,1.0,0,0,0,0,0,1.4183212159684833
2,3,1.0,0,0,0,0,0,1.6161515821606318
3,2,1.0,0,0,0,0,0,1.6161515821606318
3,4,2.0,0,0,0,0,0,1.5035337060471394
4,3,2.0,0,0,0,0,0,1.5035337060471394
3,5,1.0,0,0,0,0,0,1.5052489651799266
5,3,1.0,0,0,0,0,0,1.5052489651799266
3,6,1.0,0,0,0,0,0,1.6261484265340465
6,3,1.0,0,0,0,0,0,1.6261484265340465
6,7,1.0,0,0,0,0,0,1.4151282481336231
7,6,1.0,0,0,0,0,0,1.4151282481336231
7,8,1.0,0,0,0,0,0,1.5324665629233878
8,7,1.0,0,0,0,0,0,1.5324665629233878
8,9,1.0,0,0,0,0,0,1.5499271683238118
9,8,1.0,0,0,0,0,0,1.5499271683238118
9,10,1.0,0,0,0,0,0,1.5202948755277559
10,9,1.0,0,0,0,0,0,1.5202948755277559
9,11,1.0,0,0,0,0,0,1.5204325848302855
11,9,1.0,0,0,0,0,0,1.5204325848302855
9,12,1.0,0,0,0,0,0,1.5246962194263924
12,9,1.0,0,0,0,0,0,1.5246962194263924
0,13,1.0,0,0,0,0,0,1.4485627665979348
13,0,1.0,0,0,0,0,0,1.4485627665979348
13,14,1.0,1,0,0,0,0,1.3586621755359203
14,13,1.0,1,0,0,0,0,1.3586621755359203
14,15,1.0,0,0,0,0,0,1.5101804719743495
15,14,1.0,0,0,0,0,0,1.5101804719743495
15,16,1.0,0,0,0,0,0,1.527424388239639
16,15,1.0,0,0,0,0,0,1.527424388239639
16,17,1.0,0,0,0,0,0,1.5315876700657172
17,16,1.0,0,0,0,0,0,1.5315876700657172
17,18,1.0,0,0,0,0,0,1.5319462162357638
18,17,1.0,0,0,0,0,0,1.5319462162357638
18,19,1.0,0,0,0,0,0,1.5314357220253598
19,18,1.0,0,0,0,0,0,1.5314357220253598
19,20,1.0,0,0,0,0,0,1.5327787483926962
20,19,1.0,0,0,0,0,0,1.5327787483926962
20,21,1.0,0,0,0,0,0,1.5329272608033904
21,20,1.0,0,0,0,0,0,1.5329272608033904
21,22,1.0,0,0,0,4,0,1.50326447826571
22,21,1.0,0,0,0,4,0,1.50326447826571
22,23,2.0,1,0,2,0,0,1.342756250331068
23,22,2.0,1,0,2,0,0,1.342756250331068
23,24,1.0,1,0,0,3,0,1.44565846773279
24,23,1.0,1,0,0,3,0,1.44565846773279
24,25,2.0,1,0,3,0,0,1.3419606630940881
25,24,2.0,1,0,3,0,0,1.3419606630940881
25,26,1.0,1,0,0,3,0,1.4457459225913236
26,25,1.0,1,0,0,3,0,1.4457459225913236
26,27,2.0,1,0,3,0,0,1.3418313857640847
27,26,2.0,1,0,3,0,0,1.3418313857640847
27,28,1.0,0,0,0,3,0,1.5048207559336737
28,27,1.0,0,0,0,3,0,1.5048207559336737
28,29,1.0,0,0,0,0,0,1.5330345031862387
29,28,1.0,0,0,0,0,0,1.5330345031862387
29,30,1.0,0,0,0,0,0,1.5312041595734152
30,29,1.0,0,0,0,0,0,1.5312041595734152
30,31,1.0,0,0,0,0,0,1.520507203065368
31,30,1.0,0,0,0,0,0,1.520507203065368
14,32,2.0,1,0,0,0,0,1.2237655673943997
32,14,2.0,1,0,0,0,0,1.2237655673943997
0,33,1.0,0,0,0,0,0,1.5338402342625033
33,0,1.0,0,0,0,0,0,1.5338402342625033
33,34,1.0,0,0,0,0,0,1.4382509750815071
34,33,1.0,0,0,0,0,0,1.4382509750815071
34,35,1.0,1,0,0,0,0,1.359390805358227
35,34,1.0,1,0,0,0,0,1.359390805358227
35,36,1.0,0,0,0,0,0,1.510075636833395
36,35,1.0,0,0,0,0,0,1.510075636833395
36,37,1.0,0,0,0,0,0,1.5274628183579773
37,36,1.0,0,0,0,0,0,1.5274628183579773
37,38,1.0,0,0,0,0,0,1.5317324961769583
38,37,1.0,0,0,0,0,0,1.5317324961769583
38,39,1.0,0,0,0,0,0,1.5314676719078606
39,38,1.0,0,0,0,0,0,1.5314676719078606
