source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5208418633672804
1,0,1.0,0,0,0,0,0,1.5208418633672804
1,2,1.0,0,0,0,0,0,1.529689583595246
2,1,1.0,0,0,0,0,0,1.529689583595246
2,3,1.0,0,0,0,0,0,1.5317474974303833
3,2,1.0,0,0,0,0,0,1.5317474974303833
3,4,1.0,0,0,0,0,0,1.532409490965045
4,3,1.0,0,0,0,0,0,1.532409490965045
4,5,1.0,0,0,0,0,0,1.53124490390575
5,4,1.0,0,0,0,0,0,1.53124490390575
5,6,1.0,0,0,0,4,0,1.5030758149454395
6,5,1.0,0,0,0,4,0,1.5030758149454395
6,7,2.0,0,0,2,0,0,1.3430733890725728
7,6,2.0,0,0,2,0,0,1.3430733890725728
7,8,1.0,0,0,0,3,0,1.5039370048610616
8,7,1.0,0,0,0,3,0,1.5039370048610616
8,9,1.0,0,0,0,0,0,1.5322750380198595
9,8,1.0,0,0,0,0,0,1.5322750380198595
9,10,1.0,0,0,0,0,0,1.531769339074083
10,9,1.0,0,0,0,0,0,1.531769339074083
10,11,1.0,0,0,0,0,0,1.5311265509355665
11,10,1.0,0,0,0,0,0,1.5311265509355665
11,12,1.0,0,0,0,0,0,1.5309071942090415
12,11,1.0,0,0,0,0,0,1.5309071942090415
12,13,1.0,0,0,0,0,0,1.532205291338471
13,12,1.0,0,0,0,0,0,1.532205291338471
13,14,1.0,0,0,0,0,0,1.5321143295237816
14,13,1.0,0,0,0,0,0,1.5321143295237816
14,15,1.0,0,0,0,0,0,1.532117308196931
15,14,1.0,0,0,0,0,0,1.532117308196931
15,16,1.0,0,0,0,0,0,1.5279459500521924
16,15,1.0,0,0,0,0,0,1.5279459500521924
16,17,1.0,0,0,0,0,0,1.5097270722700664
17,16,1.0,0,0,0,0,0,1.5097270722700664
17,18,2.0,1,0,0,0,0,1.2238787840288192
18,17,2.0,1,0,0,0,0,1.2238787840288192
17,19,1.0,1,0,0,0,0,1.3588343132018403
19,17,1.0,1,0,0,0,0,1.3588343132018403
19,20,1.0,0,0,0,0,0,1.448990741388341
20,19,1.0,0,0,0,0,0,1.448990741388341
20,21,1.0,0,0,0,0,0,1.5343231271287825
21,20,1.0,0,0,0,0,0,1.5343231271287825
21,22,1.0,0,0,0,0,0,1.4342242602613327
22,21,1.0,0,0,0,0,0,1.4342242602613327
22,23,1.0,1,0,0,4,0,1.364969072777741
23,22,1.0,1,0,0,4,0,1.364969072777741
23,24,2.0,1,0,2,0,0,1.3386554614052315
24,23,2.0,1,0,2,0,0,1.3386554614052315
24,25,1.0,0,0,0,3,0,1.5016793543265625
25,24,1.0,0,0,0,3,0,1.5016793543265625
25,26,1.0,0,0,0,0,0,1.531170885982013
26,25,1.0,0,0,0,0,0,1.531170885982013
26,27,1.0,0,0,0,0,0,1.5326434880048987
27,26,1.0,0,0,0,0,0,1.5326434880048987
27,28,1.0,0,0,0,0,0,1.5313695253671946
28,27,1.0,0,0,0,0,0,1.5313695253671946
28,29,1.0,0,0,0,0,0,1.5313001892790008
29,28,1.0,0,0,0,0,0,1.5313001892790008
29,30,1.0,0,0,0,0,0,1.5318487188611545
30,29,1.0,0,0,0,0,0,1.5318487188611545
30,31,1.0,0,0,0,0,0,1.5317287665085475
31,30,1.0,0,0,0,0,0,1.5317287665085475
31,32,1.0,0,0,0,0,0,1.5311904028991532
32,31,1.0,0,0,0,0,0,1.5311904028991532
32,33,1.0,0,0,0,0,0,1.532767458842605
33,32,1.0,0,0,0,0,0,1.532767458842605
33,34,1.0,0,0,0,0,0,1.5313665898486257
34,33,1.0,0,0,0,0,0,1.5313665898486257
34,35,1.0,0,0,0,0,0,1.5318612881968412
35,34,1.0,0,0,0,0,0,1.5318612881968412
35,36,1.0,0,0,0,0,0,1.532314491905153
36,35,1.0,0,0,0,0,0,1.532314491905153
36,37,1.0,0,0,0,0,0,1.5317842361185634
37,36,1.0,0,0,0,0,0,1.5317842361185634
37,38,1.0,0,0,0,0,0,1.5307868692232978
38,37,1.0,0,0,0,0,0,1.5307868692232978
38,39,1.0,0,0,0,0,0,1.5296397405271693
39,38,1.0,0,0,0,0,0,1.5296397405271693
39,40,1.0,0,0,0,0,0,1.5202913616197475
40,39,1.0,0,0,0,0,0,1.5202913616197475
20,41,1.0,0,0,0,0,0,1.531345781915256
41,20,1.0,0,0,0,0,0,1.531345781915256
41,42,1.0,0,0,0,0,0,1.4201571438380902
42,41,1.0,0,0,0,0,0,1.4201571438380902
42,43,1.0,0,0,0,0,0,1.619358349403741
43,42,1.0,0,0,0,0,0,1.619358349403741
43,44,2.0,0,0,0,0,0,1.50181420271585
44,43,2.0,0,0,0,0,0,1.50181420271585
43,45,1.0,0,0,0,0,0,1.504751614503488
45,43,1.0,0,0,0,0,0,1.504751614503488
43,46,1.0,0,0,0,0,0,1.624405512043651
46,43,1.0,0,0,0,0,0,1.624405512043651
46,47,1.0,0,0,0,0,0,1.412662404112764
47,46,1.0,0,0,0,0,0,1.412662404112764
47,48,1.0,0,0,0,0,0,1.5320698012232135
48,47,1.0,0,0,0,0,0,1.5320698012232135
48,49,1.0,0,0,0,0,0,1.5538490915803533
49,48,1.0,0,0,0,0,0,1.5538490915803533
49,50,1.0,0,0,0,0,0,1.5223712559444669
50,49,1.0,0,0,0,0,0,1.5223712559444669
49,51,1.0,0,0,0,0,0,1.5210757425933954
51,49,1.0,0,0,0,0,0,1.5210757425933954
49,52,1.0,0,0,0,0,0,1.5233867002909014
52,49,1.0,0,0,0,0,0,1.5233867002909014
