source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5216379361880294
1,0,1.0,0,0,0,0,0,1.5216379361880294
1,2,1.0,0,0,0,0,0,1.5311535189842747
2,1,1.0,0,0,0,0,0,1.5311535189842747
2,3,1.0,0,0,0,0,0,1.5342170127351795
3,2,1.0,0,0,0,0,0,1.5342170127351795
3,4,1.0,0,0,0,0,0,1.530225422666134
4,3,1.0,0,0,0,0,0,1.530225422666134
4,5,1.0,0,0,0,4,0,1.5027038746072738
5,4,1.0,0,0,0,4,0,1.5027038746072738
5,6,2.0,0,0,2,0,0,1.343863506852574
6,5,2.0,0,0,2,0,0,1.343863506852574
6,7,1.0,0,0,0,3,0,1.502497925803232
7,6,1.0,0,0,0,3,0,1.502497925803232
7,8,1.0,0,0,0,4,0,1.5015418692409586
8,7,1.0,0,0,0,4,0,1.5015418692409586
8,9,2.0,0,0,2,0,0,1.3446726113195884
9,8,2.0,0,0,2,0,0,1.3446726113195884
9,10,1.0,0,0,0,3,0,1.5004987389005695
10,9,1.0,0,0,0,3,0,1.5004987389005695
10,11,1.0,0,0,0,4,0,1.5014286814570346
11,10,1.0,0,0,0,4,0,1.5014286814570346
11,12,2.0,0,0,2,0,0,1.3435274823564063
12,11,2.0,0,0,2,0,0,1.3435274823564063
12,13,1.0,0,0,0,3,0,1.5024108093116242
13,12,1.0,0,0,0,3,0,1.5024108093116242
13,14,1.0,0,0,0,4,0,1.501294577917309
14,13,1.0,0,0,0,4,0,1.501294577917309
14,15,2.0,0,0,2,0,0,1.3434934741213813
15,14,2.0,0,0,2,0,0,1.3434934741213813
15,16,1.0,0,0,0,3,0,1.5015875572684703
16,15,1.0,0,0,0,3,0,1.5015875572684703
16,17,1.0,0,0,0,0,0,1.5273639805588102
17,16,1.0,0,0,0,0,0,1.5273639805588102
17,18,1.0,0,0,0,0,0,1.5286327927663628
18,17,1.0,0,0,0,0,0,1.5286327927663628
18,19,1.0,0,0,0,0,0,1.5121994628842883
19,18,1.0,0,0,0,0,0,1.5121994628842883
19,20,2.0,1,0,0,0,0,1.2261328161425553
20,19,2.0,1,0,0,0,0,1.2261328161425553
19,21,1.0,1,0,0,0,0,1.35691244006164
21,19,1.0,1,0,0,0,0,1.35691244006164
21,22,1.0,0,0,0,0,0,1.4319756494826117
22,21,1.0,0,0,0,0,0,1.4319756494826117
22,23,1.0,0,0,0,0,0,1.541644053799451
23,22,1.0,0,0,0,0,0,1.541644053799451
23,24,1.0,0,0,0,0,0,1.5320727392271625
24,23,1.0,0,0,0,0,0,1.5320727392271625
24,25,1.0,0,0,0,0,0,1.4141376133482861
25,24,1.0,0,0,0,0,0,1.4141376133482861
25,26,1.0,0,0,0,0,0,1.6123249114236828
26,25,1.0,0,0,0,0,0,1.6123249114236828
26,27,2.0,0,0,0,0,0,1.506126113333539
27,26,2.0,0,0,0,0,0,1.506126113333539
26,28,1.0,0,0,0,0,0,1.5060448842958931
28,26,1.0,0,0,0,0,0,1.5060448842958931
26,29,1.0,0,0,0,0,0,1.6233084655137762
29,26,1.0,0,0,0,0,0,1.6233084655137762
29,30,1.0,0,0,0,0,0,1.418610058848291
30,29,1.0,0,0,0,0,0,1.418610058848291
30,31,1.0,0,0,0,0,0,1.538638050276137
31,30,1.0,0,0,0,0,0,1.538638050276137
31,32,1.0,0,0,0,0,0,1.5544773031689727
32,31,1.0,0,0,0,0,0,1.5544773031689727
32,33,1.0,0,0,0,0,0,1.5204642307564096
33,32,1.0,0,0,0,0,0,1.5204642307564096
32,34,1.0,0,0,0,0,0,1.533661717826199
34,32,1.0,0,0,0,0,0,1.533661717826199
32,35,1.0,0,0,0,0,0,1.5087745930327472
35,32,1.0,0,0,0,0,0,1.5087745930327472
23,36,1.0,0,0,0,0,0,1.4485190830285046
36,23,1.0,0,0,0,0,0,1.4485190830285046
36,37,1.0,1,0,0,0,0,1.3584578506439546
37,36,1.0,1,0,0,0,0,1.3584578506439546
