atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,3,0,0,0,0,0,12.011,0.30283975089317194
1,6,0,2,4,0,0,0,0,2,12.011,0.045334712506943396
2,6,0,2,4,0,0,0,0,2,12.011,-0.042494283844929176
3,6,0,2,4,0,0,0,0,2,12.011,-0.04926718554445325
4,6,0,2,4,0,0,0,0,2,12.011,-0.03505805204522695
5,6,0,2,3,0,0,0,0,1,12.011,-0.08853905677891807
6,6,0,2,3,0,0,0,0,1,12.011,-0.08853909248763596
7,6,0,2,4,0,0,0,0,2,12.011,-0.03506250967635531
8,6,0,2,4,0,0,0,0,2,12.011,-0.04953015008681722
9,6,0,2,4,0,0,0,0,2,12.011,-0.04953015008682775
10,6,0,2,4,0,0,0,0,2,12.011,-0.035062509682197485
11,6,0,2,3,0,0,0,0,1,12.011,-0.08853909408779885
12,6,0,2,3,0,0,0,0,1,12.011,-0.08853928208886305
13,6,0,2,4,0,0,0,0,2,12.011,-0.03507363986733482
14,6,0,2,4,0,0,0,0,2,12.011,-0.04983507642451911
15,6,0,2,4,0,0,0,0,2,12.011,-0.053273730445580876
16,6,0,2,4,0,0,0,0,2,12.011,-0.056160718143793045
17,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831715049
18,8,0,1,3,0,0,0,0,0,15.999,-0.2524858674829331
19,8,0,1,3,0,0,0,0,1,15.999,-0.4812303887129719
