source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5205441785354996
1,0,1.0,0,0,0,0,0,1.5205441785354996
1,2,1.0,0,0,0,0,0,1.5294757962028644
2,1,1.0,0,0,0,0,0,1.5294757962028644
2,3,1.0,0,0,0,0,0,1.5319995037613527
3,2,1.0,0,0,0,0,0,1.5319995037613527
3,4,1.0,0,0,0,0,0,1.5321027137826702
4,3,1.0,0,0,0,0,0,1.5321027137826702
4,5,1.0,0,0,0,4,0,1.5027647546827485
5,4,1.0,0,0,0,4,0,1.5027647546827485
5,6,2.0,0,0,2,0,0,1.3434524626779965
6,5,2.0,0,0,2,0,0,1.3434524626779965
6,7,1.0,0,0,0,3,0,1.502207617655343
7,6,1.0,0,0,0,3,0,1.502207617655343
7,8,1.0,0,0,0,4,0,1.5025660952578188
8,7,1.0,0,0,0,4,0,1.5025660952578188
8,9,2.0,0,0,2,0,0,1.3445316623669161
9,8,2.0,0,0,2,0,0,1.3445316623669161
9,10,1.0,0,0,0,3,0,1.502993739049289
10,9,1.0,0,0,0,3,0,1.502993739049289
10,11,1.0,0,0,0,4,0,1.502824008299544
11,10,1.0,0,0,0,4,0,1.502824008299544
11,12,2.0,0,0,2,0,0,1.3441612722587346
12,11,2.0,0,0,2,0,0,1.3441612722587346
12,13,1.0,0,0,0,3,0,1.5024815768518858
13,12,1.0,0,0,0,3,0,1.5024815768518858
13,14,1.0,0,0,0,0,0,1.5322567462626357
14,13,1.0,0,0,0,0,0,1.5322567462626357
14,15,1.0,0,0,0,0,0,1.532971920567602
15,14,1.0,0,0,0,0,0,1.532971920567602
15,16,1.0,0,0,0,0,0,1.5276807031179227
16,15,1.0,0,0,0,0,0,1.5276807031179227
16,17,1.0,0,0,0,0,0,1.5109680616120817
17,16,1.0,0,0,0,0,0,1.5109680616120817
17,18,2.0,1,0,0,0,0,1.2234425680365795
18,17,2.0,1,0,0,0,0,1.2234425680365795
17,19,1.0,1,0,0,0,0,1.3607798684435266
19,17,1.0,1,0,0,0,0,1.3607798684435266
19,20,1.0,0,0,0,0,0,1.4403934471255107
20,19,1.0,0,0,0,0,0,1.4403934471255107
20,21,1.0,0,0,0,0,0,1.5356709834850697
21,20,1.0,0,0,0,0,0,1.5356709834850697
21,22,1.0,0,0,0,0,0,1.5318351587121226
22,21,1.0,0,0,0,0,0,1.5318351587121226
22,23,1.0,0,0,0,0,0,1.4183224265682777
23,22,1.0,0,0,0,0,0,1.4183224265682777
23,24,1.0,0,0,0,0,0,1.6174527222360644
24,23,1.0,0,0,0,0,0,1.6174527222360644
24,25,2.0,0,0,0,0,0,1.5037130678747084
25,24,2.0,0,0,0,0,0,1.5037130678747084
24,26,1.0,0,0,0,0,0,1.5044139450368774
26,24,1.0,0,0,0,0,0,1.5044139450368774
24,27,1.0,0,0,0,0,0,1.6238810891252224
27,24,1.0,0,0,0,0,0,1.6238810891252224
27,28,1.0,0,0,0,0,0,1.4146624386451596
28,27,1.0,0,0,0,0,0,1.4146624386451596
28,29,1.0,0,0,0,0,0,1.5334384636696634
29,28,1.0,0,0,0,0,0,1.5334384636696634
29,30,1.0,0,0,0,0,0,1.553298534569312
30,29,1.0,0,0,0,0,0,1.553298534569312
30,31,1.0,0,0,0,0,0,1.5237767739795338
31,30,1.0,0,0,0,0,0,1.5237767739795338
30,32,1.0,0,0,0,0,0,1.5253600539841299
32,30,1.0,0,0,0,0,0,1.5253600539841299
30,33,1.0,0,0,0,0,0,1.5182457892788084
33,30,1.0,0,0,0,0,0,1.5182457892788084
21,34,1.0,0,0,0,0,0,1.4494653930428243
34,21,1.0,0,0,0,0,0,1.4494653930428243
34,35,1.0,1,0,0,0,0,1.3582994372997566
35,34,1.0,1,0,0,0,0,1.3582994372997566
35,36,2.0,1,0,0,0,0,1.2228714041810715
36,35,2.0,1,0,0,0,0,1.2228714041810715
35,37,1.0,0,0,0,0,0,1.5095899487668807
37,35,1.0,0,0,0,0,0,1.5095899487668807
37,38,1.0,0,0,0,0,0,1.5266999304060178
38,37,1.0,0,0,0,0,0,1.5266999304060178
38,39,1.0,0,0,0,0,0,1.5317360140918166
39,38,1.0,0,0,0,0,0,1.5317360140918166
39,40,1.0,0,0,0,0,0,1.530711889125838
40,39,1.0,0,0,0,0,0,1.530711889125838
40,41,1.0,0,0,0,0,0,1.5318173248119946
41,40,1.0,0,0,0,0,0,1.5318173248119946
41,42,1.0,0,0,0,0,0,1.5311693672598155
42,41,1.0,0,0,0,0,0,1.5311693672598155
42,43,1.0,0,0,0,0,0,1.5311533077117425
43,42,1.0,0,0,0,0,0,1.5311533077117425
43,44,1.0,0,0,0,0,0,1.5315996007422108
44,43,1.0,0,0,0,0,0,1.5315996007422108
44,45,1.0,0,0,0,0,0,1.5313018536665362
45,44,1.0,0,0,0,0,0,1.5313018536665362
45,46,1.0,0,0,0,0,0,1.531290022750783
46,45,1.0,0,0,0,0,0,1.531290022750783
46,47,1.0,0,0,0,0,0,1.5303463471949865
47,46,1.0,0,0,0,0,0,1.5303463471949865
47,48,1.0,0,0,0,0,0,1.529878491750907
48,47,1.0,0,0,0,0,0,1.529878491750907
48,49,1.0,0,0,0,0,0,1.5305968569561952
49,48,1.0,0,0,0,0,0,1.5305968569561952
49,50,1.0,0,0,0,0,0,1.5315674680646707
50,49,1.0,0,0,0,0,0,1.5315674680646707
50,51,1.0,0,0,0,0,0,1.5304059024331726
51,50,1.0,0,0,0,0,0,1.5304059024331726
51,52,1.0,0,0,0,0,0,1.5316524072622726
52,51,1.0,0,0,0,0,0,1.5316524072622726
52,53,1.0,0,0,0,0,0,1.5308592902330571
53,52,1.0,0,0,0,0,0,1.5308592902330571
53,54,1.0,0,0,0,0,0,1.530307412286447
54,53,1.0,0,0,0,0,0,1.530307412286447
54,55,1.0,0,0,0,0,0,1.5204718024185757
55,54,1.0,0,0,0,0,0,1.5204718024185757
