source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207314302068284
1,0,1.0,0,0,0,0,0,1.5207314302068284
1,2,1.0,0,0,0,0,0,1.5303413266051349
2,1,1.0,0,0,0,0,0,1.5303413266051349
2,3,1.0,0,0,0,0,0,1.532225223396688
3,2,1.0,0,0,0,0,0,1.532225223396688
3,4,1.0,0,0,0,0,0,1.5319186509826084
4,3,1.0,0,0,0,0,0,1.5319186509826084
4,5,1.0,0,0,0,0,0,1.531868234132289
5,4,1.0,0,0,0,0,0,1.531868234132289
5,6,1.0,0,0,0,0,0,1.5323105478218393
6,5,1.0,0,0,0,0,0,1.5323105478218393
6,7,1.0,0,0,0,0,0,1.5317144421070938
7,6,1.0,0,0,0,0,0,1.5317144421070938
7,8,1.0,0,0,0,0,0,1.5316926263185915
8,7,1.0,0,0,0,0,0,1.5316926263185915
8,9,1.0,0,0,0,0,0,1.5325338140242306
9,8,1.0,0,0,0,0,0,1.5325338140242306
9,10,1.0,0,0,0,0,0,1.531521361747469
10,9,1.0,0,0,0,0,0,1.531521361747469
10,11,1.0,0,0,0,4,0,1.5029662328399578
11,10,1.0,0,0,0,4,0,1.5029662328399578
11,12,2.0,0,0,2,0,0,1.342947465712701
12,11,2.0,0,0,2,0,0,1.342947465712701
12,13,1.0,0,0,0,3,0,1.502293453823341
13,12,1.0,0,0,0,3,0,1.502293453823341
13,14,1.0,0,0,0,0,0,1.5310940916697924
14,13,1.0,0,0,0,0,0,1.5310940916697924
14,15,1.0,0,0,0,0,0,1.5334529202390046
15,14,1.0,0,0,0,0,0,1.5334529202390046
15,16,1.0,0,0,0,0,0,1.5278002231883967
16,15,1.0,0,0,0,0,0,1.5278002231883967
16,17,1.0,0,0,0,0,0,1.5096430090858477
17,16,1.0,0,0,0,0,0,1.5096430090858477
17,18,2.0,1,0,0,0,0,1.223434712355939
18,17,2.0,1,0,0,0,0,1.223434712355939
17,19,1.0,1,0,0,0,0,1.3613391158226467
19,17,1.0,1,0,0,0,0,1.3613391158226467
19,20,1.0,0,0,0,0,0,1.4370344839711962
20,19,1.0,0,0,0,0,0,1.4370344839711962
20,21,1.0,0,0,0,0,0,1.5345657190043893
21,20,1.0,0,0,0,0,0,1.5345657190043893
21,22,1.0,0,0,0,0,0,1.5349722067301874
22,21,1.0,0,0,0,0,0,1.5349722067301874
22,23,1.0,0,0,0,0,0,1.4210454895043005
23,22,1.0,0,0,0,0,0,1.4210454895043005
23,24,1.0,0,0,0,0,0,1.6035767585932859
24,23,1.0,0,0,0,0,0,1.6035767585932859
24,25,2.0,0,0,0,0,0,1.492270685351434
25,24,2.0,0,0,0,0,0,1.492270685351434
24,26,1.0,0,0,0,0,0,1.6017395835555743
26,24,1.0,0,0,0,0,0,1.6017395835555743
24,27,1.0,0,0,0,0,0,1.6030674316281162
27,24,1.0,0,0,0,0,0,1.6030674316281162
27,28,1.0,0,0,0,0,0,1.420414451393471
28,27,1.0,0,0,0,0,0,1.420414451393471
28,29,1.0,0,0,0,0,0,1.5294874354643693
29,28,1.0,0,0,0,0,0,1.5294874354643693
29,30,1.0,0,0,0,0,0,1.4635586782763264
30,29,1.0,0,0,0,0,0,1.4635586782763264
21,31,1.0,0,0,0,0,0,1.446886910453451
31,21,1.0,0,0,0,0,0,1.446886910453451
31,32,1.0,1,0,0,0,0,1.3609213910307283
32,31,1.0,1,0,0,0,0,1.3609213910307283
32,33,2.0,1,0,0,0,0,1.223470153660319
33,32,2.0,1,0,0,0,0,1.223470153660319
32,34,1.0,0,0,0,0,0,1.5081798942800697
34,32,1.0,0,0,0,0,0,1.5081798942800697
34,35,1.0,0,0,0,0,0,1.5261362992643552
35,34,1.0,0,0,0,0,0,1.5261362992643552
35,36,1.0,0,0,0,0,0,1.5334764587974263
36,35,1.0,0,0,0,0,0,1.5334764587974263
36,37,1.0,0,0,0,0,0,1.532535721234883
37,36,1.0,0,0,0,0,0,1.532535721234883
37,38,1.0,0,0,0,4,0,1.502207812801294
38,37,1.0,0,0,0,4,0,1.502207812801294
38,39,2.0,0,0,2,0,0,1.3430086810356645
39,38,2.0,0,0,2,0,0,1.3430086810356645
39,40,1.0,0,0,0,3,0,1.5024382865411892
40,39,1.0,0,0,0,3,0,1.5024382865411892
40,41,1.0,0,0,0,0,0,1.5336329503192287
41,40,1.0,0,0,0,0,0,1.5336329503192287
41,42,1.0,0,0,0,0,0,1.5337437335603001
42,41,1.0,0,0,0,0,0,1.5337437335603001
42,43,1.0,0,0,0,0,0,1.5321135817584457
43,42,1.0,0,0,0,0,0,1.5321135817584457
43,44,1.0,0,0,0,0,0,1.5323347284489055
44,43,1.0,0,0,0,0,0,1.5323347284489055
44,45,1.0,0,0,0,0,0,1.5315669065648672
45,44,1.0,0,0,0,0,0,1.5315669065648672
45,46,1.0,0,0,0,0,0,1.5308107113690683
46,45,1.0,0,0,0,0,0,1.5308107113690683
46,47,1.0,0,0,0,0,0,1.5318908912290776
47,46,1.0,0,0,0,0,0,1.5318908912290776
47,48,1.0,0,0,0,0,0,1.5317911527959411
48,47,1.0,0,0,0,0,0,1.5317911527959411
48,49,1.0,0,0,0,0,0,1.5304198392382395
49,48,1.0,0,0,0,0,0,1.5304198392382395
49,50,1.0,0,0,0,0,0,1.5210862393251567
50,49,1.0,0,0,0,0,0,1.5210862393251567
