source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.6025227574282805
1,0,1.0,0,0,0,0,0,1.6025227574282805
1,2,1.0,0,0,0,0,0,1.418937114905125
2,1,1.0,0,0,0,0,0,1.418937114905125
2,3,1.0,0,0,0,0,0,1.5347302794913757
3,2,1.0,0,0,0,0,0,1.5347302794913757
3,4,1.0,0,0,0,0,0,1.4482899503849738
4,3,1.0,0,0,0,0,0,1.4482899503849738
4,5,1.0,1,0,0,0,0,1.3605143091589742
5,4,1.0,1,0,0,0,0,1.3605143091589742
5,6,1.0,0,0,0,0,0,1.5088979606742605
6,5,1.0,0,0,0,0,0,1.5088979606742605
6,7,1.0,0,0,0,0,0,1.5273293713195852
7,6,1.0,0,0,0,0,0,1.5273293713195852
7,8,1.0,0,0,0,0,0,1.5308441166787934
8,7,1.0,0,0,0,0,0,1.5308441166787934
8,9,1.0,0,0,0,0,0,1.5310654313435406
9,8,1.0,0,0,0,0,0,1.5310654313435406
9,10,1.0,0,0,0,0,0,1.5309236353096771
10,9,1.0,0,0,0,0,0,1.5309236353096771
10,11,1.0,0,0,0,0,0,1.5317072444116493
11,10,1.0,0,0,0,0,0,1.5317072444116493
11,12,1.0,0,0,0,0,0,1.532421997695438
12,11,1.0,0,0,0,0,0,1.532421997695438
12,13,1.0,0,0,0,0,0,1.5314138170825136
13,12,1.0,0,0,0,0,0,1.5314138170825136
13,14,1.0,0,0,0,0,0,1.532004577898031
14,13,1.0,0,0,0,0,0,1.532004577898031
14,15,1.0,0,0,0,0,0,1.5317010937941713
15,14,1.0,0,0,0,0,0,1.5317010937941713
15,16,1.0,0,0,0,0,0,1.5320711100178248
16,15,1.0,0,0,0,0,0,1.5320711100178248
16,17,1.0,0,0,0,0,0,1.5311662037499951
17,16,1.0,0,0,0,0,0,1.5311662037499951
17,18,1.0,0,0,0,0,0,1.5311341475179794
18,17,1.0,0,0,0,0,0,1.5311341475179794
18,19,1.0,0,0,0,0,0,1.529417504176044
19,18,1.0,0,0,0,0,0,1.529417504176044
19,20,1.0,0,0,0,0,0,1.5207343763873848
20,19,1.0,0,0,0,0,0,1.5207343763873848
5,21,2.0,1,0,0,0,0,1.2231811040320495
21,5,2.0,1,0,0,0,0,1.2231811040320495
3,22,1.0,0,0,0,0,0,1.5345953846304645
22,3,1.0,0,0,0,0,0,1.5345953846304645
22,23,1.0,0,0,0,0,0,1.436536489699881
23,22,1.0,0,0,0,0,0,1.436536489699881
23,24,1.0,1,0,0,0,0,1.3595399780379511
24,23,1.0,1,0,0,0,0,1.3595399780379511
24,25,1.0,0,0,0,0,0,1.509628250499888
25,24,1.0,0,0,0,0,0,1.509628250499888
25,26,1.0,0,0,0,0,0,1.5273670406930353
26,25,1.0,0,0,0,0,0,1.5273670406930353
26,27,1.0,0,0,0,0,0,1.5310075354499906
27,26,1.0,0,0,0,0,0,1.5310075354499906
27,28,1.0,0,0,0,0,0,1.5321786328727538
28,27,1.0,0,0,0,0,0,1.5321786328727538
28,29,1.0,0,0,0,0,0,1.5322041830927664
29,28,1.0,0,0,0,0,0,1.5322041830927664
29,30,1.0,0,0,0,0,0,1.5308382673082088
30,29,1.0,0,0,0,0,0,1.5308382673082088
30,31,1.0,0,0,0,0,0,1.531847165100826
31,30,1.0,0,0,0,0,0,1.531847165100826
31,32,1.0,0,0,0,0,0,1.5307231204375267
32,31,1.0,0,0,0,0,0,1.5307231204375267
32,33,1.0,0,0,0,0,0,1.5310574027083244
33,32,1.0,0,0,0,0,0,1.5310574027083244
33,34,1.0,0,0,0,0,0,1.5314132924893642
34,33,1.0,0,0,0,0,0,1.5314132924893642
34,35,1.0,0,0,0,0,0,1.5321659561223036
35,34,1.0,0,0,0,0,0,1.5321659561223036
35,36,1.0,0,0,0,0,0,1.5313358225678855
36,35,1.0,0,0,0,0,0,1.5313358225678855
36,37,1.0,0,0,0,0,0,1.53068097129809
37,36,1.0,0,0,0,0,0,1.53068097129809
37,38,1.0,0,0,0,0,0,1.530635178610529
38,37,1.0,0,0,0,0,0,1.530635178610529
38,39,1.0,0,0,0,0,0,1.5312661241210073
39,38,1.0,0,0,0,0,0,1.5312661241210073
39,40,1.0,0,0,0,0,0,1.52895348908185
40,39,1.0,0,0,0,0,0,1.52895348908185
40,41,1.0,0,0,0,0,0,1.5206336430724035
41,40,1.0,0,0,0,0,0,1.5206336430724035
24,42,2.0,1,0,0,0,0,1.22360107772287
42,24,2.0,1,0,0,0,0,1.22360107772287
0,43,1.0,0,0,0,0,0,1.601749486971487
43,0,1.0,0,0,0,0,0,1.601749486971487
0,44,1.0,0,0,0,0,0,1.603250927095085
