source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.52082627992741
1,0,1.0,0,0,0,0,0,1.52082627992741
1,2,1.0,0,0,0,0,0,1.5297454441662097
2,1,1.0,0,0,0,0,0,1.5297454441662097
2,3,1.0,0,0,0,0,0,1.5320145190483685
3,2,1.0,0,0,0,0,0,1.5320145190483685
3,4,1.0,0,0,0,0,0,1.530352793054581
4,3,1.0,0,0,0,0,0,1.530352793054581
4,5,1.0,0,0,0,4,0,1.5029047246480922
5,4,1.0,0,0,0,4,0,1.5029047246480922
5,6,2.0,0,0,2,0,0,1.3436146161758404
6,5,2.0,0,0,2,0,0,1.3436146161758404
6,7,1.0,0,0,0,3,0,1.501990598738801
7,6,1.0,0,0,0,3,0,1.501990598738801
7,8,1.0,0,0,0,4,0,1.5023175982162829
8,7,1.0,0,0,0,4,0,1.5023175982162829
8,9,2.0,0,0,2,0,0,1.3443669285471807
9,8,2.0,0,0,2,0,0,1.3443669285471807
9,10,1.0,0,0,0,3,0,1.502535322576032
10,9,1.0,0,0,0,3,0,1.502535322576032
10,11,1.0,0,0,0,4,0,1.5026920071363825
11,10,1.0,0,0,0,4,0,1.5026920071363825
11,12,2.0,0,0,2,0,0,1.3436252567331965
12,11,2.0,0,0,2,0,0,1.3436252567331965
12,13,1.0,0,0,0,3,0,1.5028533786010296
13,12,1.0,0,0,0,3,0,1.5028533786010296
13,14,1.0,0,0,0,0,0,1.5314736637852364
14,13,1.0,0,0,0,0,0,1.5314736637852364
14,15,1.0,0,0,0,0,0,1.5325377209408537
15,14,1.0,0,0,0,0,0,1.5325377209408537
15,16,1.0,0,0,0,0,0,1.5314795055014845
16,15,1.0,0,0,0,0,0,1.5314795055014845
16,17,1.0,0,0,0,0,0,1.5323346950220782
17,16,1.0,0,0,0,0,0,1.5323346950220782
17,18,1.0,0,0,0,0,0,1.5279626163168376
18,17,1.0,0,0,0,0,0,1.5279626163168376
18,19,1.0,0,0,0,0,0,1.5094261417838981
19,18,1.0,0,0,0,0,0,1.5094261417838981
19,20,2.0,1,0,0,0,0,1.2238952366035498
20,19,2.0,1,0,0,0,0,1.2238952366035498
19,21,1.0,1,0,0,0,0,1.358174893447618
21,19,1.0,1,0,0,0,0,1.358174893447618
21,22,1.0,0,0,0,0,0,1.436891204504676
22,21,1.0,0,0,0,0,0,1.436891204504676
22,23,1.0,0,0,0,0,0,1.5363042044913624
23,22,1.0,0,0,0,0,0,1.5363042044913624
23,24,1.0,0,0,0,0,0,1.5328142942364766
24,23,1.0,0,0,0,0,0,1.5328142942364766
24,25,1.0,0,0,0,0,0,1.4174507008501274
25,24,1.0,0,0,0,0,0,1.4174507008501274
25,26,1.0,0,0,0,0,0,1.6147038427747138
26,25,1.0,0,0,0,0,0,1.6147038427747138
26,27,2.0,0,0,0,0,0,1.5052237876817651
27,26,2.0,0,0,0,0,0,1.5052237876817651
26,28,1.0,0,0,0,0,0,1.5047102227268252
28,26,1.0,0,0,0,0,0,1.5047102227268252
26,29,1.0,0,0,0,0,0,1.6241228070307407
29,26,1.0,0,0,0,0,0,1.6241228070307407
29,30,1.0,0,0,0,0,0,1.4133910165103865
30,29,1.0,0,0,0,0,0,1.4133910165103865
30,31,1.0,0,0,0,0,0,1.534521296689307
31,30,1.0,0,0,0,0,0,1.534521296689307
31,32,1.0,0,0,0,0,0,1.5509648281061987
32,31,1.0,0,0,0,0,0,1.5509648281061987
32,33,1.0,0,0,0,0,0,1.5225186797511059
33,32,1.0,0,0,0,0,0,1.5225186797511059
32,34,1.0,0,0,0,0,0,1.5269993547307457
34,32,1.0,0,0,0,0,0,1.5269993547307457
32,35,1.0,0,0,0,0,0,1.5198881428488265
35,32,1.0,0,0,0,0,0,1.5198881428488265
23,36,1.0,0,0,0,0,0,1.4480069742941397
36,23,1.0,0,0,0,0,0,1.4480069742941397
36,37,1.0,1,0,0,0,0,1.3586194652497616
37,36,1.0,1,0,0,0,0,1.3586194652497616
37,38,2.0,1,0,0,0,0,1.223336393147483
38,37,2.0,1,0,0,0,0,1.223336393147483
37,39,1.0,0,0,0,0,0,1.5093355516489493
39,37,1.0,0,0,0,0,0,1.5093355516489493
39,40,1.0,0,0,0,0,0,1.5275543718301745
40,39,1.0,0,0,0,0,0,1.5275543718301745
