source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520525530758929
1,0,1.0,0,0,0,0,0,1.520525530758929
1,2,1.0,0,0,0,0,0,1.5300047302046917
2,1,1.0,0,0,0,0,0,1.5300047302046917
2,3,1.0,0,0,0,0,0,1.5318592302280862
3,2,1.0,0,0,0,0,0,1.5318592302280862
3,4,1.0,0,0,0,0,0,1.5330861274060446
4,3,1.0,0,0,0,0,0,1.5330861274060446
4,5,1.0,0,0,0,0,0,1.5315889131710811
5,4,1.0,0,0,0,0,0,1.5315889131710811
5,6,1.0,0,0,0,4,0,1.5035193905043003
6,5,1.0,0,0,0,4,0,1.5035193905043003
6,7,2.0,0,0,2,0,0,1.343143167630493
7,6,2.0,0,0,2,0,0,1.343143167630493
7,8,1.0,0,0,0,3,0,1.501973699866082
8,7,1.0,0,0,0,3,0,1.501973699866082
8,9,1.0,0,0,0,0,0,1.5322820781838928
9,8,1.0,0,0,0,0,0,1.5322820781838928
9,10,1.0,0,0,0,0,0,1.5330385344218955
10,9,1.0,0,0,0,0,0,1.5330385344218955
10,11,1.0,0,0,0,0,0,1.5313715906927097
11,10,1.0,0,0,0,0,0,1.5313715906927097
11,12,1.0,0,0,0,0,0,1.5321220164939633
12,11,1.0,0,0,0,0,0,1.5321220164939633
12,13,1.0,0,0,0,0,0,1.532006530606389
13,12,1.0,0,0,0,0,0,1.532006530606389
13,14,1.0,0,0,0,0,0,1.527203135805453
14,13,1.0,0,0,0,0,0,1.527203135805453
14,15,1.0,0,0,0,0,0,1.5092998208856794
15,14,1.0,0,0,0,0,0,1.5092998208856794
15,16,2.0,1,0,0,0,0,1.2228493862451337
16,15,2.0,1,0,0,0,0,1.2228493862451337
15,17,1.0,1,0,0,0,0,1.3615639855547432
17,15,1.0,1,0,0,0,0,1.3615639855547432
17,18,1.0,0,0,0,0,0,1.4399011722186454
18,17,1.0,0,0,0,0,0,1.4399011722186454
18,19,1.0,0,0,0,0,0,1.5327711236994528
19,18,1.0,0,0,0,0,0,1.5327711236994528
19,20,1.0,0,0,0,0,0,1.4355846126677068
20,19,1.0,0,0,0,0,0,1.4355846126677068
19,21,1.0,0,0,0,0,0,1.5319684915378127
21,19,1.0,0,0,0,0,0,1.5319684915378127
21,22,1.0,0,0,0,0,0,1.4219616785363287
22,21,1.0,0,0,0,0,0,1.4219616785363287
22,23,1.0,0,0,0,0,0,1.6034578833481574
23,22,1.0,0,0,0,0,0,1.6034578833481574
23,24,2.0,0,0,0,0,0,1.491902759361923
24,23,2.0,0,0,0,0,0,1.491902759361923
23,25,1.0,0,0,0,0,0,1.6009056728884201
25,23,1.0,0,0,0,0,0,1.6009056728884201
23,26,1.0,0,0,0,0,0,1.6038383278858614
26,23,1.0,0,0,0,0,0,1.6038383278858614
26,27,1.0,0,0,0,0,0,1.4220937914347718
27,26,1.0,0,0,0,0,0,1.4220937914347718
27,28,1.0,0,0,0,0,0,1.5303772472251727
28,27,1.0,0,0,0,0,0,1.5303772472251727
28,29,1.0,0,0,0,0,0,1.4345592351226475
29,28,1.0,0,0,0,0,0,1.4345592351226475
28,30,1.0,0,0,0,0,0,1.5312773981634886
30,28,1.0,0,0,0,0,0,1.5312773981634886
30,31,1.0,0,0,0,0,0,1.4272835551172798
31,30,1.0,0,0,0,0,0,1.4272835551172798
