source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520235409503362
1,0,1.0,0,0,0,0,0,1.520235409503362
1,2,1.0,0,0,0,0,0,1.5290282515748586
2,1,1.0,0,0,0,0,0,1.5290282515748586
2,3,1.0,0,0,0,0,0,1.5317789778156898
3,2,1.0,0,0,0,0,0,1.5317789778156898
3,4,1.0,0,0,0,0,0,1.5324281483239044
4,3,1.0,0,0,0,0,0,1.5324281483239044
4,5,1.0,0,0,0,0,0,1.532711492110559
5,4,1.0,0,0,0,0,0,1.532711492110559
5,6,1.0,0,0,0,0,0,1.532135399692185
6,5,1.0,0,0,0,0,0,1.532135399692185
6,7,1.0,0,0,0,0,0,1.5319689901116524
7,6,1.0,0,0,0,0,0,1.5319689901116524
7,8,1.0,0,0,0,0,0,1.5314551776037573
8,7,1.0,0,0,0,0,0,1.5314551776037573
8,9,1.0,0,0,0,0,0,1.531270824144533
9,8,1.0,0,0,0,0,0,1.531270824144533
9,10,1.0,0,0,0,0,0,1.5330405708279264
10,9,1.0,0,0,0,0,0,1.5330405708279264
10,11,1.0,0,0,0,0,0,1.5341409094539982
11,10,1.0,0,0,0,0,0,1.5341409094539982
11,12,1.0,0,0,0,0,0,1.5325986792648454
12,11,1.0,0,0,0,0,0,1.5325986792648454
12,13,1.0,0,0,0,4,0,1.5043644650607866
13,12,1.0,0,0,0,4,0,1.5043644650607866
13,14,2.0,0,0,3,0,0,1.3443513643360077
14,13,2.0,0,0,3,0,0,1.3443513643360077
14,15,1.0,0,0,0,4,0,1.5141075581535233
15,14,1.0,0,0,0,4,0,1.5141075581535233
15,16,1.0,0,0,0,0,0,1.428526389368455
16,15,1.0,0,0,0,0,0,1.428526389368455
15,17,1.0,0,0,0,0,0,1.560028280279047
17,15,1.0,0,0,0,0,0,1.560028280279047
17,18,1.0,0,0,0,0,0,1.547735716191084
18,17,1.0,0,0,0,0,0,1.547735716191084
18,19,1.0,0,0,0,0,0,1.433040869678826
19,18,1.0,0,0,0,0,0,1.433040869678826
19,20,1.0,0,0,0,0,0,1.4307499249989257
20,19,1.0,0,0,0,0,0,1.4307499249989257
20,21,1.0,0,1,0,0,0,1.4263970350936257
21,20,1.0,0,1,0,0,0,1.4263970350936257
21,22,1.0,0,1,0,0,0,1.4344573176876705
22,21,1.0,0,1,0,0,0,1.4344573176876705
22,23,1.0,0,0,0,0,0,1.5337403610850844
23,22,1.0,0,0,0,0,0,1.5337403610850844
23,24,1.0,0,0,0,0,0,1.4260282433395468
24,23,1.0,0,0,0,0,0,1.4260282433395468
22,25,1.0,0,1,0,0,0,1.539468998247534
25,22,1.0,0,1,0,0,0,1.539468998247534
25,26,1.0,0,0,0,0,0,1.436875423187158
26,25,1.0,0,0,0,0,0,1.436875423187158
25,27,1.0,0,1,0,0,0,1.5372605117811746
27,25,1.0,0,1,0,0,0,1.5372605117811746
27,28,1.0,0,0,0,0,0,1.4400408024383866
28,27,1.0,0,0,0,0,0,1.4400408024383866
27,29,1.0,0,1,0,0,0,1.5332095636713412
29,27,1.0,0,1,0,0,0,1.5332095636713412
29,30,1.0,0,0,0,0,0,1.4385392019077643
30,29,1.0,0,0,0,0,0,1.4385392019077643
17,31,1.0,0,0,0,0,0,1.4749440676694092
31,17,1.0,0,0,0,0,0,1.4749440676694092
31,32,1.0,1,0,0,0,0,1.3788953016326915
32,31,1.0,1,0,0,0,0,1.3788953016326915
32,33,2.0,1,0,0,0,0,1.2253809315568962
33,32,2.0,1,0,0,0,0,1.2253809315568962
32,34,1.0,0,0,0,0,0,1.516678046312902
34,32,1.0,0,0,0,0,0,1.516678046312902
34,35,1.0,0,0,0,0,0,1.5275938639866706
35,34,1.0,0,0,0,0,0,1.5275938639866706
35,36,1.0,0,0,0,0,0,1.5323425843940166
36,35,1.0,0,0,0,0,0,1.5323425843940166
36,37,1.0,0,0,0,0,0,1.5322070620691308
37,36,1.0,0,0,0,0,0,1.5322070620691308
37,38,1.0,0,0,0,0,0,1.5317099904977176
38,37,1.0,0,0,0,0,0,1.5317099904977176
38,39,1.0,0,0,0,0,0,1.5324119717671592
39,38,1.0,0,0,0,0,0,1.5324119717671592
39,40,1.0,0,0,0,0,0,1.532145244990387
40,39,1.0,0,0,0,0,0,1.532145244990387
40,41,1.0,0,0,0,0,0,1.5319589420883022
41,40,1.0,0,0,0,0,0,1.5319589420883022
41,42,1.0,0,0,0,0,0,1.531396089355409
42,41,1.0,0,0,0,0,0,1.531396089355409
42,43,1.0,0,0,0,0,0,1.5316506106512342
43,42,1.0,0,0,0,0,0,1.5316506106512342
43,44,1.0,0,0,0,0,0,1.5313972094429595
44,43,1.0,0,0,0,0,0,1.5313972094429595
44,45,1.0,0,0,0,0,0,1.5320679423245966
45,44,1.0,0,0,0,0,0,1.5320679423245966
45,46,1.0,0,0,0,0,0,1.5315174587058713
46,45,1.0,0,0,0,0,0,1.5315174587058713
46,47,1.0,0,0,0,0,0,1.531662837977761
47,46,1.0,0,0,0,0,0,1.531662837977761
47,48,1.0,0,0,0,0,0,1.5306682331618804
48,47,1.0,0,0,0,0,0,1.5306682331618804
48,49,1.0,0,0,0,0,0,1.529764424267376
49,48,1.0,0,0,0,0,0,1.529764424267376
49,50,1.0,0,0,0,0,0,1.5208744373331238
50,49,1.0,0,0,0,0,0,1.5208744373331238
29,20,1.0,0,1,0,0,0,1.5465794522752088
20,29,1.0,0,1,0,0,0,1.5465794522752088
