source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5300302646536235
1,0,1.0,0,0,0,0,0,1.5300302646536235
1,2,1.0,0,0,0,0,0,1.4180626383927524
2,1,1.0,0,0,0,0,0,1.4180626383927524
2,3,1.0,0,0,0,0,0,1.613297020533967
3,2,1.0,0,0,0,0,0,1.613297020533967
3,4,2.0,0,0,0,0,0,1.5057178175743635
4,3,2.0,0,0,0,0,0,1.5057178175743635
3,5,1.0,0,0,0,0,0,1.504088048239388
5,3,1.0,0,0,0,0,0,1.504088048239388
3,6,1.0,0,0,0,0,0,1.6230612168312164
6,3,1.0,0,0,0,0,0,1.6230612168312164
6,7,1.0,0,0,0,0,0,1.4183185645082734
7,6,1.0,0,0,0,0,0,1.4183185645082734
7,8,1.0,0,0,0,0,0,1.5382467626599579
8,7,1.0,0,0,0,0,0,1.5382467626599579
8,9,1.0,0,0,0,0,0,1.5550910570863894
9,8,1.0,0,0,0,0,0,1.5550910570863894
9,10,1.0,0,0,0,0,0,1.5093425991179843
10,9,1.0,0,0,0,0,0,1.5093425991179843
9,11,1.0,0,0,0,0,0,1.533567067336474
11,9,1.0,0,0,0,0,0,1.533567067336474
9,12,1.0,0,0,0,0,0,1.5216046932520457
12,9,1.0,0,0,0,0,0,1.5216046932520457
0,13,1.0,0,0,0,0,0,1.448264958563971
13,0,1.0,0,0,0,0,0,1.448264958563971
13,14,1.0,1,0,0,0,0,1.3568125497218448
14,13,1.0,1,0,0,0,0,1.3568125497218448
14,15,1.0,0,0,0,0,0,1.5102422587965416
15,14,1.0,0,0,0,0,0,1.5102422587965416
15,16,1.0,0,0,0,0,0,1.5275580452930793
16,15,1.0,0,0,0,0,0,1.5275580452930793
16,17,1.0,0,0,0,0,0,1.532490225319284
17,16,1.0,0,0,0,0,0,1.532490225319284
17,18,1.0,0,0,0,0,0,1.5319708715996714
18,17,1.0,0,0,0,0,0,1.5319708715996714
18,19,1.0,0,0,0,0,0,1.5324022300029962
19,18,1.0,0,0,0,0,0,1.5324022300029962
19,20,1.0,0,0,0,0,0,1.5316004024852983
20,19,1.0,0,0,0,0,0,1.5316004024852983
20,21,1.0,0,0,0,0,0,1.5303055177304223
21,20,1.0,0,0,0,0,0,1.5303055177304223
21,22,1.0,0,0,0,4,0,1.5030752191634829
22,21,1.0,0,0,0,4,0,1.5030752191634829
22,23,2.0,0,0,2,0,0,1.3434079881430243
23,22,2.0,0,0,2,0,0,1.3434079881430243
23,24,1.0,0,0,0,3,0,1.5014284502843918
