source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.533958011850885
1,0,1.0,0,0,0,0,0,1.533958011850885
1,2,1.0,0,0,0,0,0,1.4195153297914858
2,1,1.0,0,0,0,0,0,1.4195153297914858
2,3,1.0,0,0,0,0,0,1.6124048981721244
3,2,1.0,0,0,0,0,0,1.6124048981721244
3,4,2.0,0,0,0,0,0,1.506014723590734
4,3,2.0,0,0,0,0,0,1.506014723590734
3,5,1.0,0,0,0,0,0,1.5050977728429997
5,3,1.0,0,0,0,0,0,1.5050977728429997
3,6,1.0,0,0,0,0,0,1.6240114345835404
6,3,1.0,0,0,0,0,0,1.6240114345835404
6,7,1.0,0,0,0,0,0,1.418096061006891
7,6,1.0,0,0,0,0,0,1.418096061006891
7,8,1.0,0,0,0,0,0,1.537220874251026
8,7,1.0,0,0,0,0,0,1.537220874251026
8,9,1.0,0,0,0,0,0,1.554118768528446
9,8,1.0,0,0,0,0,0,1.554118768528446
9,10,1.0,0,0,0,0,0,1.5214837519015094
10,9,1.0,0,0,0,0,0,1.5214837519015094
9,11,1.0,0,0,0,0,0,1.5332019029989976
11,9,1.0,0,0,0,0,0,1.5332019029989976
9,12,1.0,0,0,0,0,0,1.5095908544736687
12,9,1.0,0,0,0,0,0,1.5095908544736687
0,13,1.0,0,0,0,0,0,1.4475882102390778
13,0,1.0,0,0,0,0,0,1.4475882102390778
13,14,1.0,1,0,0,0,0,1.3588611650770794
14,13,1.0,1,0,0,0,0,1.3588611650770794
14,15,1.0,0,0,0,0,0,1.5099702893677065
15,14,1.0,0,0,0,0,0,1.5099702893677065
15,16,1.0,0,0,0,0,0,1.5251520759009618
16,15,1.0,0,0,0,0,0,1.5251520759009618
16,17,1.0,0,0,0,0,0,1.5324332783198658
17,16,1.0,0,0,0,0,0,1.5324332783198658
17,18,1.0,0,0,0,0,0,1.533261975364949
18,17,1.0,0,0,0,0,0,1.533261975364949
18,19,1.0,0,0,0,0,0,1.5327241840333534
19,18,1.0,0,0,0,0,0,1.5327241840333534
19,20,1.0,0,0,0,0,0,1.534073608079337
20,19,1.0,0,0,0,0,0,1.534073608079337
20,21,1.0,0,0,0,0,0,1.5333477211957824
21,20,1.0,0,0,0,0,0,1.5333477211957824
21,22,1.0,0,0,0,0,0,1.530246167021901
22,21,1.0,0,0,0,0,0,1.530246167021901
22,23,1.0,0,0,0,0,0,1.5326160598747312
23,22,1.0,0,0,0,0,0,1.5326160598747312
23,24,1.0,0,0,0,0,0,1.5326329174631192
24,23,1.0,0,0,0,0,0,1.5326329174631192
24,25,1.0,0,0,0,0,0,1.5319817194983145
25,24,1.0,0,0,0,0,0,1.5319817194983145
25,26,1.0,0,0,0,4,0,1.502891066033319
26,25,1.0,0,0,0,4,0,1.502891066033319
26,27,2.0,0,0,2,0,0,1.342827387936516
27,26,2.0,0,0,2,0,0,1.342827387936516
27,28,1.0,0,0,0,3,0,1.5032733669696303
28,27,1.0,0,0,0,3,0,1.5032733669696303
28,29,1.0,0,0,0,0,0,1.5304061462190646
29,28,1.0,0,0,0,0,0,1.5304061462190646
29,30,1.0,0,0,0,0,0,1.532741936885213
30,29,1.0,0,0,0,0,0,1.532741936885213
30,31,1.0,0,0,0,0,0,1.5315777436039604
31,30,1.0,0,0,0,0,0,1.5315777436039604
31,32,1.0,0,0,0,0,0,1.5324139146786548
32,31,1.0,0,0,0,0,0,1.5324139146786548
32,33,1.0,0,0,0,0,0,1.5302739414199482
33,32,1.0,0,0,0,0,0,1.5302739414199482
33,34,1.0,0,0,0,0,0,1.529510062949666
34,33,1.0,0,0,0,0,0,1.529510062949666
34,35,1.0,0,0,0,0,0,1.5204302740406632
35,34,1.0,0,0,0,0,0,1.5204302740406632
14,36,2.0,1,0,0,0,0,1.2231517957771827
36,14,2.0,1,0,0,0,0,1.2231517957771827
0,37,1.0,0,0,0,0,0,1.5347677617554891
37,0,1.0,0,0,0,0,0,1.5347677617554891
37,38,1.0,0,0,0,0,0,1.436993432034889
38,37,1.0,0,0,0,0,0,1.436993432034889
38,39,1.0,1,0,0,0,0,1.3574601013969132
39,38,1.0,1,0,0,0,0,1.3574601013969132
39,40,1.0,0,0,0,0,0,1.5087708182405821
40,39,1.0,0,0,0,0,0,1.5087708182405821
40,41,1.0,0,0,0,0,0,1.526095862776434
41,40,1.0,0,0,0,0,0,1.526095862776434
41,42,1.0,0,0,0,0,0,1.5339038530472984
42,41,1.0,0,0,0,0,0,1.5339038530472984
42,43,1.0,0,0,0,0,0,1.5313844612164977
43,42,1.0,0,0,0,0,0,1.5313844612164977
43,44,1.0,0,0,0,0,0,1.5288879750293394
44,43,1.0,0,0,0,0,0,1.5288879750293394
44,45,1.0,0,0,0,0,0,1.5330403841690514
45,44,1.0,0,0,0,0,0,1.5330403841690514
45,46,1.0,0,0,0,0,0,1.534060859764003
46,45,1.0,0,0,0,0,0,1.534060859764003
46,47,1.0,0,0,0,4,0,1.5058933247257216
47,46,1.0,0,0,0,4,0,1.5058933247257216
47,48,2.0,0,0,2,0,0,1.3439906265563526
48,47,2.0,0,0,2,0,0,1.3439906265563526
48,49,1.0,0,0,0,3,0,1.5027883225943948
49,48,1.0,0,0,0,3,0,1.5027883225943948
49,50,1.0,0,0,0,4,0,1.5038062409963524
50,49,1.0,0,0,0,4,0,1.5038062409963524
50,51,2.0,0,0,2,0,0,1.344898149622757
51,50,2.0,0,0,2,0,0,1.344898149622757
51,52,1.0,0,0,0,3,0,1.5028972126980675
52,51,1.0,0,0,0,3,0,1.5028972126980675
52,53,1.0,0,0,0,4,0,1.500425697257922
53,52,1.0,0,0,0,4,0,1.500425697257922
53,54,2.0,0,0,2,0,0,1.344036358986445
54,53,2.0,0,0,2,0,0,1.344036358986445
54,55,1.0,0,0,0,3,0,1.5011864399111214
55,54,1.0,0,0,0,3,0,1.5011864399111214
55,56,1.0,0,0,0,0,0,1.5219492088373694
56,55,1.0,0,0,0,0,0,1.5219492088373694
39,57,2.0,1,0,0,0,0,1.2240263549641042
57,39,2.0,1,0,0,0,0,1.2240263549641042
