source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5205005841312913
1,0,1.0,0,0,0,0,0,1.5205005841312913
1,2,1.0,0,0,0,4,0,1.5011167917481274
2,1,1.0,0,0,0,4,0,1.5011167917481274
2,3,2.0,0,0,2,0,0,1.343741727652993
3,2,2.0,0,0,2,0,0,1.343741727652993
3,4,1.0,0,0,0,3,0,1.5028544949631701
4,3,1.0,0,0,0,3,0,1.5028544949631701
4,5,1.0,0,0,0,4,0,1.5017254050853148
5,4,1.0,0,0,0,4,0,1.5017254050853148
5,6,2.0,0,0,2,0,0,1.3444184512608257
6,5,2.0,0,0,2,0,0,1.3444184512608257
6,7,1.0,0,0,0,3,0,1.5016553111721052
7,6,1.0,0,0,0,3,0,1.5016553111721052
7,8,1.0,0,0,0,4,0,1.5017644151369995
8,7,1.0,0,0,0,4,0,1.5017644151369995
8,9,2.0,0,0,2,0,0,1.3438164009170852
9,8,2.0,0,0,2,0,0,1.3438164009170852
9,10,1.0,0,0,0,3,0,1.5028470902156885
10,9,1.0,0,0,0,3,0,1.5028470902156885
10,11,1.0,0,0,0,0,0,1.5314864618285497
11,10,1.0,0,0,0,0,0,1.5314864618285497
11,12,1.0,0,0,0,0,0,1.5315667084220914
12,11,1.0,0,0,0,0,0,1.5315667084220914
12,13,1.0,0,0,0,0,0,1.5316541076985373
13,12,1.0,0,0,0,0,0,1.5316541076985373
13,14,1.0,0,0,0,0,0,1.5314872338995795
14,13,1.0,0,0,0,0,0,1.5314872338995795
14,15,1.0,0,0,0,0,0,1.5313660789866845
15,14,1.0,0,0,0,0,0,1.5313660789866845
15,16,1.0,0,0,0,0,0,1.5270452822243215
16,15,1.0,0,0,0,0,0,1.5270452822243215
16,17,1.0,0,0,0,0,0,1.5107280143140402
17,16,1.0,0,0,0,0,0,1.5107280143140402
17,18,2.0,1,0,0,0,0,1.2235206816154274
18,17,2.0,1,0,0,0,0,1.2235206816154274
17,19,1.0,1,0,0,0,0,1.3586719573143793
19,17,1.0,1,0,0,0,0,1.3586719573143793
19,20,1.0,0,0,0,0,0,1.4505350243371713
20,19,1.0,0,0,0,0,0,1.4505350243371713
20,21,1.0,0,0,0,0,0,1.5329083434052408
21,20,1.0,0,0,0,0,0,1.5329083434052408
21,22,1.0,0,0,0,0,0,1.438720724275088
22,21,1.0,0,0,0,0,0,1.438720724275088
22,23,1.0,1,0,0,0,0,1.3582173071569301
23,22,1.0,1,0,0,0,0,1.3582173071569301
23,24,2.0,1,0,0,0,0,1.2238965294362067
24,23,2.0,1,0,0,0,0,1.2238965294362067
23,25,1.0,0,0,0,0,0,1.5091806735710782
25,23,1.0,0,0,0,0,0,1.5091806735710782
25,26,1.0,0,0,0,0,0,1.5263409510034838
26,25,1.0,0,0,0,0,0,1.5263409510034838
26,27,1.0,0,0,0,0,0,1.5325398609850114
27,26,1.0,0,0,0,0,0,1.5325398609850114
27,28,1.0,0,0,0,0,0,1.5310710419244338
28,27,1.0,0,0,0,0,0,1.5310710419244338
28,29,1.0,0,0,0,0,0,1.5314005403470894
29,28,1.0,0,0,0,0,0,1.5314005403470894
29,30,1.0,0,0,0,0,0,1.531641011996092
30,29,1.0,0,0,0,0,0,1.531641011996092
30,31,1.0,0,0,0,0,0,1.5313852841891369
31,30,1.0,0,0,0,0,0,1.5313852841891369
31,32,1.0,0,0,0,0,0,1.5318253573782346
32,31,1.0,0,0,0,0,0,1.5318253573782346
32,33,1.0,0,0,0,0,0,1.5314615707701205
33,32,1.0,0,0,0,0,0,1.5314615707701205
33,34,1.0,0,0,0,0,0,1.5308976262775673
34,33,1.0,0,0,0,0,0,1.5308976262775673
34,35,1.0,0,0,0,0,0,1.5305142307255148
35,34,1.0,0,0,0,0,0,1.5305142307255148
35,36,1.0,0,0,0,0,0,1.5310733941395032
36,35,1.0,0,0,0,0,0,1.5310733941395032
36,37,1.0,0,0,0,0,0,1.5317538770141603
37,36,1.0,0,0,0,0,0,1.5317538770141603
37,38,1.0,0,0,0,0,0,1.53193166944473
38,37,1.0,0,0,0,0,0,1.53193166944473
38,39,1.0,0,0,0,0,0,1.5307199681949506
39,38,1.0,0,0,0,0,0,1.5307199681949506
39,40,1.0,0,0,0,0,0,1.530055880082824
40,39,1.0,0,0,0,0,0,1.530055880082824
40,41,1.0,0,0,0,0,0,1.5202809761593965
41,40,1.0,0,0,0,0,0,1.5202809761593965
20,42,1.0,0,0,0,0,0,1.5321279774671608
42,20,1.0,0,0,0,0,0,1.5321279774671608
42,43,1.0,0,0,0,0,0,1.4198571176314747
43,42,1.0,0,0,0,0,0,1.4198571176314747
43,44,1.0,0,0,0,0,0,1.618230666109822
44,43,1.0,0,0,0,0,0,1.618230666109822
44,45,2.0,0,0,0,0,0,1.5002721506475831
45,44,2.0,0,0,0,0,0,1.5002721506475831
44,46,1.0,0,0,0,0,0,1.5071344998229608
46,44,1.0,0,0,0,0,0,1.5071344998229608
44,47,1.0,0,0,0,0,0,1.6234130747695457
47,44,1.0,0,0,0,0,0,1.6234130747695457
47,48,1.0,0,0,0,0,0,1.412454834115835
48,47,1.0,0,0,0,0,0,1.412454834115835
48,49,1.0,0,0,0,0,0,1.5297860006403887
49,48,1.0,0,0,0,0,0,1.5297860006403887
49,50,1.0,0,0,0,0,0,1.5507968397251048
50,49,1.0,0,0,0,0,0,1.5507968397251048
50,51,1.0,0,0,0,0,0,1.5195150543479758
51,50,1.0,0,0,0,0,0,1.5195150543479758
50,52,1.0,0,0,0,0,0,1.5247128506767171
52,50,1.0,0,0,0,0,0,1.5247128506767171
50,53,1.0,0,0,0,0,0,1.522492893076806
53,50,1.0,0,0,0,0,0,1.522492893076806
