atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.10110668298438945
1,6,0,2,4,0,0,0,0,2,12.011,0.08344366981240091
2,8,0,2,4,0,0,0,0,0,15.999,-0.3156087972315758
3,15,0,4,4,0,0,0,1,0,30.974,0.26767158219462295
4,8,0,1,3,0,0,0,0,0,15.999,-0.276327983879957
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561177995013586
6,8,0,2,4,0,0,0,0,0,15.999,-0.31248110904678345
7,6,0,2,4,0,0,0,0,2,12.011,0.1042843292452144
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210368816839
9,7,1,4,4,0,0,0,0,0,14.007,-0.328992743482659
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717801
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717801
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717801
13,8,0,1,4,0,0,0,0,1,15.999,-0.3882926114717218
14,6,0,2,4,0,0,0,0,2,12.011,0.07484948697626333
15,8,0,2,4,0,0,0,0,0,15.999,-0.3786730618639155
16,6,0,2,4,0,0,0,0,2,12.011,0.046689083785483566
17,6,0,2,4,0,0,0,0,2,12.011,-0.02960121222804836
18,6,0,2,4,0,0,0,0,2,12.011,-0.051113996780340495
19,6,0,2,4,0,0,0,0,2,12.011,-0.05321080318051676
20,6,0,2,4,0,0,0,0,2,12.011,-0.05300961747950645
21,6,0,2,4,0,0,0,0,2,12.011,-0.04982481685361274
22,6,0,2,4,0,0,0,0,2,12.011,-0.03506221349777504
23,6,0,2,3,0,0,0,0,1,12.011,-0.08822748139665917
24,6,0,2,3,0,0,0,0,1,12.011,-0.0847524597873578
25,6,0,2,4,0,0,0,0,2,12.011,-0.01690732873147728
26,6,0,2,3,0,0,0,0,1,12.011,-0.08444087689554174
27,6,0,2,3,0,0,0,0,1,12.011,-0.08444087689554175
28,6,0,2,4,0,0,0,0,2,12.011,-0.016907328731486915
29,6,0,2,3,0,0,0,0,1,12.011,-0.08475245979256339
30,6,0,2,3,0,0,0,0,1,12.011,-0.08822748279093617
31,6,0,2,4,0,0,0,0,2,12.011,-0.03506238602438802
32,6,0,2,4,0,0,0,0,2,12.011,-0.049834887801403216
33,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608925
34,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945
35,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015
