source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5217901077067681
1,0,1.0,0,0,0,0,0,1.5217901077067681
1,2,1.0,0,0,0,0,0,1.5295780749569292
2,1,1.0,0,0,0,0,0,1.5295780749569292
2,3,1.0,0,0,0,0,0,1.5320345551390542
3,2,1.0,0,0,0,0,0,1.5320345551390542
3,4,1.0,0,0,0,0,0,1.531937075025139
4,3,1.0,0,0,0,0,0,1.531937075025139
4,5,1.0,0,0,0,0,0,1.5300315378232259
5,4,1.0,0,0,0,0,0,1.5300315378232259
5,6,1.0,0,0,0,0,0,1.532079628176041
6,5,1.0,0,0,0,0,0,1.532079628176041
6,7,1.0,0,0,0,0,0,1.5327219011053579
7,6,1.0,0,0,0,0,0,1.5327219011053579
7,8,1.0,0,0,0,4,0,1.503184373584656
8,7,1.0,0,0,0,4,0,1.503184373584656
8,9,2.0,0,0,2,0,0,1.3430983431069885
9,8,2.0,0,0,2,0,0,1.3430983431069885
9,10,1.0,0,0,0,3,0,1.5031403664968612
10,9,1.0,0,0,0,3,0,1.5031403664968612
10,11,1.0,0,0,0,0,0,1.5313616570357746
11,10,1.0,0,0,0,0,0,1.5313616570357746
11,12,1.0,0,0,0,0,0,1.53374670244443
12,11,1.0,0,0,0,0,0,1.53374670244443
12,13,1.0,0,0,0,0,0,1.532902846659625
13,12,1.0,0,0,0,0,0,1.532902846659625
13,14,1.0,0,0,0,0,0,1.5318065911754757
14,13,1.0,0,0,0,0,0,1.5318065911754757
14,15,1.0,0,0,0,0,0,1.5332060049241734
15,14,1.0,0,0,0,0,0,1.5332060049241734
15,16,1.0,0,0,0,0,0,1.5280410637184054
16,15,1.0,0,0,0,0,0,1.5280410637184054
16,17,1.0,0,0,0,0,0,1.5166336204459232
17,16,1.0,0,0,0,0,0,1.5166336204459232
17,18,2.0,1,0,0,0,0,1.226335113435942
18,17,2.0,1,0,0,0,0,1.226335113435942
17,19,1.0,1,0,0,0,0,1.3749458230654863
19,17,1.0,1,0,0,0,0,1.3749458230654863
19,20,1.0,0,0,0,0,0,1.4687919263707179
20,19,1.0,0,0,0,0,0,1.4687919263707179
20,21,1.0,0,0,0,0,0,1.5437580876478976
21,20,1.0,0,0,0,0,0,1.5437580876478976
21,22,1.0,0,0,0,0,0,1.4310818127874274
22,21,1.0,0,0,0,0,0,1.4310818127874274
22,23,1.0,0,0,0,0,0,1.4319475589276491
23,22,1.0,0,0,0,0,0,1.4319475589276491
23,24,1.0,0,1,0,0,0,1.425856072383119
24,23,1.0,0,1,0,0,0,1.425856072383119
24,25,1.0,0,1,0,0,0,1.4323353778060897
25,24,1.0,0,1,0,0,0,1.4323353778060897
25,26,1.0,0,0,0,0,0,1.5376109891575536
26,25,1.0,0,0,0,0,0,1.5376109891575536
26,27,1.0,0,0,0,0,0,1.4282976126104203
27,26,1.0,0,0,0,0,0,1.4282976126104203
25,28,1.0,0,1,0,0,0,1.535432923185391
28,25,1.0,0,1,0,0,0,1.535432923185391
28,29,1.0,0,0,0,0,0,1.4319593780399922
29,28,1.0,0,0,0,0,0,1.4319593780399922
28,30,1.0,0,1,0,0,0,1.5267185698031702
30,28,1.0,0,1,0,0,0,1.5267185698031702
30,31,1.0,0,0,0,0,0,1.440151138541191
31,30,1.0,0,0,0,0,0,1.440151138541191
30,32,1.0,0,1,0,0,0,1.5320432791719731
32,30,1.0,0,1,0,0,0,1.5320432791719731
32,33,1.0,0,0,0,0,0,1.437766226394889
33,32,1.0,0,0,0,0,0,1.437766226394889
20,34,1.0,0,0,0,0,0,1.556158123521974
34,20,1.0,0,0,0,0,0,1.556158123521974
34,35,1.0,0,0,0,0,0,1.4352400182148481
35,34,1.0,0,0,0,0,0,1.4352400182148481
34,36,1.0,0,0,0,0,0,1.5370870960067782
36,34,1.0,0,0,0,0,0,1.5370870960067782
36,37,1.0,0,0,0,0,0,1.5303759210900023
37,36,1.0,0,0,0,0,0,1.5303759210900023
37,38,1.0,0,0,0,0,0,1.532409590349766
38,37,1.0,0,0,0,0,0,1.532409590349766
38,39,1.0,0,0,0,0,0,1.532296832621765
39,38,1.0,0,0,0,0,0,1.532296832621765
39,40,1.0,0,0,0,0,0,1.5302410550164343
40,39,1.0,0,0,0,0,0,1.5302410550164343
40,41,1.0,0,0,0,0,0,1.5338996725679097
41,40,1.0,0,0,0,0,0,1.5338996725679097
41,42,1.0,0,0,0,0,0,1.5313469172858771
42,41,1.0,0,0,0,0,0,1.5313469172858771
42,43,1.0,0,0,0,0,0,1.531334091706381
43,42,1.0,0,0,0,0,0,1.531334091706381
43,44,1.0,0,0,0,0,0,1.5346781228591855
44,43,1.0,0,0,0,0,0,1.5346781228591855
44,45,1.0,0,0,0,0,0,1.532491393502587
45,44,1.0,0,0,0,0,0,1.532491393502587
45,46,1.0,0,0,0,0,0,1.531550977098
46,45,1.0,0,0,0,0,0,1.531550977098
46,47,1.0,0,0,0,0,0,1.5322810652819077
47,46,1.0,0,0,0,0,0,1.5322810652819077
47,48,1.0,0,0,0,0,0,1.533104535656083
48,47,1.0,0,0,0,0,0,1.533104535656083
48,49,1.0,0,0,0,0,0,1.5309131622888654
49,48,1.0,0,0,0,0,0,1.5309131622888654
49,50,1.0,0,0,0,0,0,1.5203898481926033
50,49,1.0,0,0,0,0,0,1.5203898481926033
32,23,1.0,0,1,0,0,0,1.5472108843324834
23,32,1.0,0,1,0,0,0,1.5472108843324834
