source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5216332724969832
1,0,1.0,0,0,0,0,0,1.5216332724969832
1,2,1.0,0,0,0,0,0,1.5323749054044955
2,1,1.0,0,0,0,0,0,1.5323749054044955
2,3,1.0,0,0,0,0,0,1.5336553236597794
3,2,1.0,0,0,0,0,0,1.5336553236597794
3,4,1.0,0,0,0,4,0,1.5040599521003453
4,3,1.0,0,0,0,4,0,1.5040599521003453
4,5,2.0,0,0,2,0,0,1.3432118878813815
5,4,2.0,0,0,2,0,0,1.3432118878813815
5,6,1.0,0,0,0,3,0,1.5030849371251578
6,5,1.0,0,0,0,3,0,1.5030849371251578
6,7,1.0,0,0,0,0,0,1.5328917438695522
7,6,1.0,0,0,0,0,0,1.5328917438695522
7,8,1.0,0,0,0,0,0,1.532951975454278
8,7,1.0,0,0,0,0,0,1.532951975454278
8,9,1.0,0,0,0,0,0,1.5308888833262018
9,8,1.0,0,0,0,0,0,1.5308888833262018
9,10,1.0,0,0,0,0,0,1.531724782859619
10,9,1.0,0,0,0,0,0,1.531724782859619
10,11,1.0,0,0,0,0,0,1.5332637712607353
11,10,1.0,0,0,0,0,0,1.5332637712607353
11,12,1.0,0,0,0,0,0,1.529416174294043
12,11,1.0,0,0,0,0,0,1.529416174294043
12,13,1.0,0,0,0,0,0,1.5107439716497355
13,12,1.0,0,0,0,0,0,1.5107439716497355
13,14,2.0,1,0,0,0,0,1.222374845452833
14,13,2.0,1,0,0,0,0,1.222374845452833
13,15,1.0,1,0,0,0,0,1.3605788512811894
15,13,1.0,1,0,0,0,0,1.3605788512811894
15,16,1.0,0,0,0,0,0,1.449759724076165
16,15,1.0,0,0,0,0,0,1.449759724076165
16,17,1.0,0,0,0,0,0,1.536882500608576
17,16,1.0,0,0,0,0,0,1.536882500608576
17,18,1.0,0,0,0,0,0,1.4427587042329302
18,17,1.0,0,0,0,0,0,1.4427587042329302
18,19,1.0,1,0,0,0,0,1.3596329883964569
19,18,1.0,1,0,0,0,0,1.3596329883964569
19,20,2.0,1,0,0,0,0,1.2235761921239034
20,19,2.0,1,0,0,0,0,1.2235761921239034
19,21,1.0,0,0,0,0,0,1.5060565312205652
21,19,1.0,0,0,0,0,0,1.5060565312205652
21,22,1.0,0,0,0,0,0,1.5225033903332519
22,21,1.0,0,0,0,0,0,1.5225033903332519
22,23,1.0,0,0,0,0,0,1.5317046253102355
23,22,1.0,0,0,0,0,0,1.5317046253102355
23,24,1.0,0,0,0,0,0,1.5334129723749927
24,23,1.0,0,0,0,0,0,1.5334129723749927
24,25,1.0,0,0,0,0,0,1.5314958851654756
25,24,1.0,0,0,0,0,0,1.5314958851654756
25,26,1.0,0,0,0,0,0,1.5333552012987228
26,25,1.0,0,0,0,0,0,1.5333552012987228
26,27,1.0,0,0,0,0,0,1.5331464140108433
27,26,1.0,0,0,0,0,0,1.5331464140108433
27,28,1.0,0,0,0,0,0,1.5323349753012792
28,27,1.0,0,0,0,0,0,1.5323349753012792
28,29,1.0,0,0,0,0,0,1.532182733825955
29,28,1.0,0,0,0,0,0,1.532182733825955
29,30,1.0,0,0,0,4,0,1.5033193219770598
30,29,1.0,0,0,0,4,0,1.5033193219770598
30,31,2.0,0,0,2,0,0,1.3429310209065888
31,30,2.0,0,0,2,0,0,1.3429310209065888
31,32,1.0,0,0,0,3,0,1.5026187813511307
32,31,1.0,0,0,0,3,0,1.5026187813511307
32,33,1.0,0,0,0,0,0,1.5318259046775033
33,32,1.0,0,0,0,0,0,1.5318259046775033
33,34,1.0,0,0,0,0,0,1.5332601663639025
34,33,1.0,0,0,0,0,0,1.5332601663639025
34,35,1.0,0,0,0,0,0,1.5334967267101614
35,34,1.0,0,0,0,0,0,1.5334967267101614
35,36,1.0,0,0,0,0,0,1.5316308246802877
36,35,1.0,0,0,0,0,0,1.5316308246802877
36,37,1.0,0,0,0,0,0,1.532018083290153
37,36,1.0,0,0,0,0,0,1.532018083290153
37,38,1.0,0,0,0,0,0,1.5349936328866431
38,37,1.0,0,0,0,0,0,1.5349936328866431
38,39,1.0,0,0,0,0,0,1.5310930089122614
39,38,1.0,0,0,0,0,0,1.5310930089122614
39,40,1.0,0,0,0,0,0,1.5307427499905062
40,39,1.0,0,0,0,0,0,1.5307427499905062
40,41,1.0,0,0,0,0,0,1.5212171408623332
41,40,1.0,0,0,0,0,0,1.5212171408623332
16,42,1.0,0,0,0,0,0,1.5318338082778598
42,16,1.0,0,0,0,0,0,1.5318338082778598
42,43,1.0,0,0,0,0,0,1.4263593892912003
43,42,1.0,0,0,0,0,0,1.4263593892912003
43,44,1.0,0,0,0,0,0,1.6016098684922677
44,43,1.0,0,0,0,0,0,1.6016098684922677
44,45,2.0,0,0,0,0,0,1.4887571957558299
45,44,2.0,0,0,0,0,0,1.4887571957558299
44,46,1.0,0,0,0,0,0,1.605408944041162
46,44,1.0,0,0,0,0,0,1.605408944041162
44,47,1.0,0,0,0,0,0,1.603651601159301
47,44,1.0,0,0,0,0,0,1.603651601159301
47,48,1.0,0,0,0,0,0,1.4331454273614967
48,47,1.0,0,0,0,0,0,1.4331454273614967
48,49,1.0,0,1,0,0,0,1.5455035498357226
49,48,1.0,0,1,0,0,0,1.5455035498357226
49,50,1.0,0,0,0,0,0,1.4334090003983055
50,49,1.0,0,0,0,0,0,1.4334090003983055
49,51,1.0,0,1,0,0,0,1.5367140113608495
51,49,1.0,0,1,0,0,0,1.5367140113608495
51,52,1.0,0,0,0,0,0,1.4366545117446736
52,51,1.0,0,0,0,0,0,1.4366545117446736
51,53,1.0,0,1,0,0,0,1.5415239661239073
53,51,1.0,0,1,0,0,0,1.5415239661239073
53,54,1.0,0,0,0,0,0,1.4350751910779278
54,53,1.0,0,0,0,0,0,1.4350751910779278
53,55,1.0,0,1,0,0,0,1.5368993490900837
55,53,1.0,0,1,0,0,0,1.5368993490900837
55,56,1.0,0,0,0,0,0,1.4355178002302975
56,55,1.0,0,0,0,0,0,1.4355178002302975
55,57,1.0,0,1,0,0,0,1.526067533088094
57,55,1.0,0,1,0,0,0,1.526067533088094
57,58,1.0,0,0,0,0,0,1.4371490335260333
58,57,1.0,0,0,0,0,0,1.4371490335260333
57,48,1.0,0,1,0,0,0,1.539685113527777
48,57,1.0,0,1,0,0,0,1.539685113527777
