atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.065371434292695,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.055876722330081764,0.02564102564102564
2,6,0,2,4,0,0,0,0,2,12.011,-0.05008764720437865,0.05128205128205128
3,6,0,2,4,0,0,0,0,2,12.011,-0.03508353483841016,0.07692307692307693
4,6,0,2,3,0,0,0,0,1,12.011,-0.08853945726910752,0.10256410256410256
5,6,0,2,3,0,0,0,0,1,12.011,-0.08853928352510519,0.1282051282051282
6,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738986101,0.15384615384615385
7,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542607562,0.1794871794871795
8,6,0,2,4,0,0,0,0,2,12.011,-0.05301084309647188,0.20512820512820512
9,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439,0.23076923076923078
10,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163406,0.2564102564102564
11,6,0,2,4,0,0,0,0,2,12.011,-0.042783117609207943,0.28205128205128205
12,6,0,2,4,0,0,0,0,2,12.011,0.04551623840729172,0.3076923076923077
13,6,0,3,3,0,0,0,0,0,12.011,0.3057658216009288,0.3333333333333333
14,8,0,1,3,0,0,0,0,0,15.999,-0.252284336940923,0.358974358974359
15,8,0,2,3,0,0,0,0,0,15.999,-0.4562184203556896,0.358974358974359
16,6,0,3,4,0,0,2,1,1,12.011,0.15953034239930103,0.38461538461538464
17,6,0,2,4,0,0,0,0,2,12.011,0.13055667632879375,0.41025641025641024
18,8,0,2,3,0,0,0,0,0,15.999,-0.46162817343595125,0.4358974358974359
19,6,0,3,3,0,0,0,0,0,12.011,0.3054155730404699,0.46153846153846156
20,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826,0.48717948717948717
21,6,0,2,4,0,0,0,0,2,12.011,0.045503081087166726,0.48717948717948717
22,6,0,2,4,0,0,0,0,2,12.011,-0.04278333797096036,0.5128205128205128
23,6,0,2,4,0,0,0,0,2,12.011,-0.052748008987609465,0.5384615384615384
24,6,0,2,4,0,0,0,0,2,12.011,-0.053290569491393616,0.5641025641025641
25,6,0,2,4,0,0,0,0,2,12.011,-0.05330556732838175,0.5897435897435898
26,6,0,2,4,0,0,0,0,2,12.011,-0.05329502225950564,0.6153846153846154
27,6,0,2,4,0,0,0,0,2,12.011,-0.05301106351887899,0.6410256410256411
28,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703072693,0.6666666666666666
29,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739046242,0.6923076923076923
30,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.717948717948718
31,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.7435897435897436
32,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444,0.7692307692307693
33,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703073741,0.7948717948717948
34,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352472871,0.8205128205128205
35,6,0,2,4,0,0,0,0,2,12.011,-0.05329502386927587,0.8461538461538461
36,6,0,2,4,0,0,0,0,2,12.011,-0.053305789133364485,0.8717948717948718
37,6,0,2,4,0,0,0,0,2,12.011,-0.05330614359336111,0.8974358974358975
38,6,0,2,4,0,0,0,0,2,12.011,-0.053316032264262195,0.9230769230769231
39,6,0,2,4,0,0,0,0,2,12.011,-0.05356864272463295,0.9487179487179487
40,6,0,2,4,0,0,0,0,2,12.011,-0.05617166706319294,0.9743589743589743
41,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
42,6,0,2,4,0,0,0,0,2,12.011,0.09906656747296869,0.41025641025641024
43,8,0,2,4,0,0,0,0,0,15.999,-0.2829430740535253,0.4358974358974359
44,15,0,4,4,0,0,0,1,0,30.974,0.47227596434169106,0.46153846153846156
45,8,0,1,3,0,0,0,0,0,15.999,-0.22810188935520817,0.48717948717948717
46,8,0,1,4,0,0,0,0,1,15.999,-0.30248456362421466,0.48717948717948717
47,8,0,2,4,0,0,0,0,0,15.999,-0.2779446964157726,0.48717948717948717
48,6,0,3,4,0,1,2,1,1,12.011,0.12638649725833906,0.5128205128205128
49,6,0,3,4,0,1,2,1,1,12.011,0.11191318061290899,0.5384615384615384
50,8,0,1,4,0,0,0,0,1,15.999,-0.387468135662024,0.5641025641025641
51,6,0,3,4,0,1,2,1,1,12.011,0.11101627535841153,0.5641025641025641
52,8,0,1,4,0,0,0,0,1,15.999,-0.3874974559520351,0.5897435897435898
53,6,0,3,4,0,1,1,1,1,12.011,0.11098813015307006,0.5897435897435898
54,8,0,1,4,0,0,0,0,1,15.999,-0.3874979195054683,0.6153846153846154
55,6,0,3,4,0,1,2,1,1,12.011,0.11101627535841153,0.5641025641025641
56,8,0,1,4,0,0,0,0,1,15.999,-0.3874974559520351,0.5897435897435898
57,6,0,3,4,0,1,1,1,1,12.011,0.11191318061290899,0.5384615384615384
58,8,0,1,4,0,0,0,0,1,15.999,-0.387468135662024,0.5641025641025641
