atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.02564102564102564
2,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.05128205128205128
3,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.07692307692307693
4,6,0,2,4,0,0,0,0,2,12.011,-0.05330614506314383,0.10256410256410256
5,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416582441,0.1282051282051282
6,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278877653,0.15384615384615385
7,6,0,2,4,0,0,0,0,2,12.011,-0.05330597131934254,0.1794871794871795
8,6,0,2,4,0,0,0,0,2,12.011,-0.0533057877565554,0.20512820512820512
9,6,0,2,4,0,0,0,0,2,12.011,-0.053295023814834905,0.23076923076923078
10,6,0,2,4,0,0,0,0,2,12.011,-0.0530110505771135,0.2564102564102564
11,6,0,2,4,0,0,0,0,2,12.011,-0.04982338336895281,0.28205128205128205
12,6,0,2,4,0,0,0,0,2,12.011,-0.034976761425557966,0.3076923076923077
13,6,0,2,3,0,0,0,0,1,12.011,-0.0859073781875191,0.3333333333333333
14,6,0,2,3,0,0,0,0,1,12.011,-0.05806072155065871,0.358974358974359
15,6,0,3,4,0,0,1,1,1,12.011,0.09451755621242044,0.38461538461538464
16,8,0,1,4,0,0,0,0,1,15.999,-0.38679959333426983,0.41025641025641024
17,6,0,3,4,0,0,2,1,1,12.011,0.082160216034793,0.41025641025641024
18,6,0,2,4,0,0,0,0,2,12.011,0.07830733359967906,0.4358974358974359
19,8,0,2,4,0,0,0,0,0,15.999,-0.31614745237302944,0.46153846153846156
20,15,0,4,4,0,0,0,1,0,30.974,0.267653377303556,0.48717948717948717
21,8,0,1,3,0,0,0,0,0,15.999,-0.2763283025435666,0.5128205128205128
22,8,-1,1,4,0,0,0,0,0,15.999,-0.756118003205017,0.5128205128205128
23,8,0,2,4,0,0,0,0,0,15.999,-0.31248131046161426,0.5128205128205128
24,6,0,2,4,0,0,0,0,2,12.011,0.10428432712316082,0.5384615384615384
25,6,0,2,4,0,0,0,0,2,12.011,0.10229210367960033,0.5641025641025641
26,7,1,4,4,0,0,0,0,0,14.007,-0.3289927434826724,0.5897435897435898
27,6,0,1,4,0,0,0,0,3,12.011,0.067732612207178,0.6153846153846154
28,6,0,1,4,0,0,0,0,3,12.011,0.067732612207178,0.6153846153846154
29,6,0,1,4,0,0,0,0,3,12.011,0.067732612207178,0.6153846153846154
30,7,0,2,3,0,0,0,0,1,14.007,-0.34807466812225163,0.4358974358974359
31,6,0,3,3,0,0,0,0,0,12.011,0.2198922792784322,0.46153846153846156
32,8,0,1,3,0,0,0,0,0,15.999,-0.2751320055713145,0.48717948717948717
33,6,0,2,4,0,0,0,0,2,12.011,0.02647655463109658,0.48717948717948717
34,6,0,2,4,0,0,0,0,2,12.011,-0.04449607792939767,0.5128205128205128
35,6,0,2,4,0,0,0,0,2,12.011,-0.052812493042946745,0.5384615384615384
36,6,0,2,4,0,0,0,0,2,12.011,-0.05329166571213523,0.5641025641025641
37,6,0,2,4,0,0,0,0,2,12.011,-0.05330576107435889,0.5897435897435898
38,6,0,2,4,0,0,0,0,2,12.011,-0.05330597121778762,0.6153846153846154
39,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278333657,0.6410256410256411
40,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789105295,0.6666666666666666
41,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.6923076923076923
42,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.717948717948718
43,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.7435897435897436
44,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.7692307692307693
45,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911572,0.7948717948717948
46,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536,0.8205128205128205
47,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8461538461538461
48,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8717948717948718
49,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8974358974358975
50,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9230769230769231
51,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9487179487179487
52,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9743589743589743
53,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
