source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5209793119816217
1,0,1.0,0,0,0,0,0,1.5209793119816217
1,2,1.0,0,0,0,0,0,1.5292628447202272
2,1,1.0,0,0,0,0,0,1.5292628447202272
2,3,1.0,0,0,0,0,0,1.531338899145927
3,2,1.0,0,0,0,0,0,1.531338899145927
3,4,1.0,0,0,0,0,0,1.5307199869268457
4,3,1.0,0,0,0,0,0,1.5307199869268457
4,5,1.0,0,0,0,4,0,1.5031852143773818
5,4,1.0,0,0,0,4,0,1.5031852143773818
5,6,2.0,0,0,2,0,0,1.3429233371607012
6,5,2.0,0,0,2,0,0,1.3429233371607012
6,7,1.0,0,0,0,3,0,1.5032218444382222
7,6,1.0,0,0,0,3,0,1.5032218444382222
7,8,1.0,0,0,0,0,0,1.5309059430244578
8,7,1.0,0,0,0,0,0,1.5309059430244578
8,9,1.0,0,0,0,0,0,1.5319265298222924
9,8,1.0,0,0,0,0,0,1.5319265298222924
9,10,1.0,0,0,0,0,0,1.530919418957287
10,9,1.0,0,0,0,0,0,1.530919418957287
10,11,1.0,0,0,0,0,0,1.5312127332423384
11,10,1.0,0,0,0,0,0,1.5312127332423384
11,12,1.0,0,0,0,0,0,1.5306968930135791
12,11,1.0,0,0,0,0,0,1.5306968930135791
12,13,1.0,0,0,0,0,0,1.5261158843571543
13,12,1.0,0,0,0,0,0,1.5261158843571543
13,14,1.0,0,0,0,0,0,1.507714293342155
14,13,1.0,0,0,0,0,0,1.507714293342155
14,15,2.0,1,0,0,0,0,1.2234490771935704
15,14,2.0,1,0,0,0,0,1.2234490771935704
14,16,1.0,1,0,0,0,0,1.3590029393659742
16,14,1.0,1,0,0,0,0,1.3590029393659742
16,17,1.0,0,0,0,0,0,1.4486463957714404
17,16,1.0,0,0,0,0,0,1.4486463957714404
17,18,1.0,0,0,0,0,0,1.5362873068029266
18,17,1.0,0,0,0,0,0,1.5362873068029266
18,19,1.0,0,0,0,0,0,1.4395580330616293
19,18,1.0,0,0,0,0,0,1.4395580330616293
19,20,1.0,1,0,0,0,0,1.3612790185910202
20,19,1.0,1,0,0,0,0,1.3612790185910202
20,21,2.0,1,0,0,0,0,1.2227902716894496
21,20,2.0,1,0,0,0,0,1.2227902716894496
20,22,1.0,0,0,0,0,0,1.5115976391798402
22,20,1.0,0,0,0,0,0,1.5115976391798402
22,23,1.0,0,0,0,0,0,1.5281061661432445
23,22,1.0,0,0,0,0,0,1.5281061661432445
23,24,1.0,0,0,0,0,0,1.532557314653414
24,23,1.0,0,0,0,0,0,1.532557314653414
24,25,1.0,0,0,0,0,0,1.5303255068044546
25,24,1.0,0,0,0,0,0,1.5303255068044546
25,26,1.0,0,0,0,0,0,1.5316222192924251
26,25,1.0,0,0,0,0,0,1.5316222192924251
26,27,1.0,0,0,0,0,0,1.5293890263001335
27,26,1.0,0,0,0,0,0,1.5293890263001335
27,28,1.0,0,0,0,0,0,1.5325713605957951
28,27,1.0,0,0,0,0,0,1.5325713605957951
28,29,1.0,0,0,0,0,0,1.533761121354994
29,28,1.0,0,0,0,0,0,1.533761121354994
29,30,1.0,0,0,0,0,0,1.530482992826609
30,29,1.0,0,0,0,0,0,1.530482992826609
30,31,1.0,0,0,0,0,0,1.532987410554948
31,30,1.0,0,0,0,0,0,1.532987410554948
31,32,1.0,0,0,0,0,0,1.532867114945161
32,31,1.0,0,0,0,0,0,1.532867114945161
32,33,1.0,0,0,0,0,0,1.5300586591832244
33,32,1.0,0,0,0,0,0,1.5300586591832244
33,34,1.0,0,0,0,0,0,1.5326745871168088
34,33,1.0,0,0,0,0,0,1.5326745871168088
34,35,1.0,0,0,0,0,0,1.5326854610658969
35,34,1.0,0,0,0,0,0,1.5326854610658969
35,36,1.0,0,0,0,0,0,1.5306938036133255
36,35,1.0,0,0,0,0,0,1.5306938036133255
36,37,1.0,0,0,0,0,0,1.5334641485592977
37,36,1.0,0,0,0,0,0,1.5334641485592977
37,38,1.0,0,0,0,0,0,1.5311436388565558
38,37,1.0,0,0,0,0,0,1.5311436388565558
38,39,1.0,0,0,0,0,0,1.5313471277808
39,38,1.0,0,0,0,0,0,1.5313471277808
39,40,1.0,0,0,0,0,0,1.5208796429948557
40,39,1.0,0,0,0,0,0,1.5208796429948557
17,41,1.0,0,0,0,0,0,1.5329561161442724
41,17,1.0,0,0,0,0,0,1.5329561161442724
41,42,1.0,0,0,0,0,0,1.4168837127429028
42,41,1.0,0,0,0,0,0,1.4168837127429028
42,43,1.0,0,0,0,0,0,1.6143360201344064
43,42,1.0,0,0,0,0,0,1.6143360201344064
43,44,2.0,0,0,0,0,0,1.505800297309898
44,43,2.0,0,0,0,0,0,1.505800297309898
43,45,1.0,0,0,0,0,0,1.5031424915828953
45,43,1.0,0,0,0,0,0,1.5031424915828953
43,46,1.0,0,0,0,0,0,1.6237703760053988
46,43,1.0,0,0,0,0,0,1.6237703760053988
46,47,1.0,0,0,0,0,0,1.4178384384765377
47,46,1.0,0,0,0,0,0,1.4178384384765377
47,48,1.0,0,0,0,0,0,1.5372608434420432
48,47,1.0,0,0,0,0,0,1.5372608434420432
48,49,1.0,0,0,0,0,0,1.553308287629816
49,48,1.0,0,0,0,0,0,1.553308287629816
49,50,1.0,0,0,0,0,0,1.5205761233348285
50,49,1.0,0,0,0,0,0,1.5205761233348285
49,51,1.0,0,0,0,0,0,1.53382675038966
51,49,1.0,0,0,0,0,0,1.53382675038966
49,52,1.0,0,0,0,0,0,1.5100079454602844
52,49,1.0,0,0,0,0,0,1.5100079454602844
