atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06188591273721217,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.03792128052188181,0.024390243902439025
2,6,0,2,3,0,0,0,0,1,12.011,-0.08850169801815916,0.04878048780487805
3,6,0,2,3,0,0,0,0,1,12.011,-0.08476270749376798,0.07317073170731707
4,6,0,2,4,0,0,0,0,2,12.011,-0.016907502890624156,0.0975609756097561
5,6,0,2,3,0,0,0,0,1,12.011,-0.08444087830330693,0.12195121951219512
6,6,0,2,3,0,0,0,0,1,12.011,-0.0844408769007859,0.14634146341463414
7,6,0,2,4,0,0,0,0,2,12.011,-0.01690732873148697,0.17073170731707318
8,6,0,2,3,0,0,0,0,1,12.011,-0.08475245978735788,0.1951219512195122
9,6,0,2,3,0,0,0,0,1,12.011,-0.08822748139673042,0.21951219512195122
10,6,0,2,4,0,0,0,0,2,12.011,-0.03506221353609587,0.24390243902439024
11,6,0,2,4,0,0,0,0,2,12.011,-0.049824826802954233,0.2682926829268293
12,6,0,2,4,0,0,0,0,2,12.011,-0.05301084160698903,0.2926829268292683
13,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203267902,0.3170731707317073
14,6,0,2,4,0,0,0,0,2,12.011,-0.05274782396119596,0.34146341463414637
15,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097697,0.36585365853658536
16,6,0,2,4,0,0,0,0,2,12.011,0.045503081092636906,0.3902439024390244
17,6,0,3,3,0,0,0,0,0,12.011,0.30541557297050537,0.4146341463414634
18,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404,0.43902439024390244
19,8,0,2,3,0,0,0,0,0,15.999,-0.4616281938077122,0.43902439024390244
20,6,0,2,4,0,0,0,0,2,12.011,0.1305543078860142,0.4634146341463415
21,6,0,3,4,0,0,2,1,1,12.011,0.15940082925383492,0.4878048780487805
22,6,0,2,4,0,0,0,0,2,12.011,0.09570182344906342,0.5121951219512195
23,8,0,2,4,0,0,0,0,0,15.999,-0.314376570427909,0.5365853658536586
24,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.5609756097560976
25,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.5853658536585366
26,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.5853658536585366
27,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.5853658536585366
28,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.6097560975609756
29,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.6341463414634146
30,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.6585365853658537
31,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6829268292682927
32,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6829268292682927
33,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6829268292682927
34,8,0,2,3,0,0,0,0,0,15.999,-0.4562206868764839,0.5121951219512195
35,6,0,3,3,0,0,0,0,0,12.011,0.30577736195541144,0.5365853658536586
36,8,0,1,3,0,0,0,0,0,15.999,-0.2522841182227582,0.5609756097560976
37,6,0,2,4,0,0,0,0,2,12.011,0.04581016560793743,0.5609756097560976
38,6,0,2,4,0,0,0,0,2,12.011,-0.03930422303734627,0.5853658536585366
39,6,0,2,4,0,0,0,0,2,12.011,-0.03450404456334814,0.6097560975609756
40,6,0,2,3,0,0,0,0,1,12.011,-0.08821173650594129,0.6341463414634146
41,6,0,2,3,0,0,0,0,1,12.011,-0.08475223916904281,0.6585365853658537
42,6,0,2,4,0,0,0,0,2,12.011,-0.01690732712149814,0.6829268292682927
43,6,0,2,3,0,0,0,0,1,12.011,-0.08444087688960156,0.7073170731707317
44,6,0,2,3,0,0,0,0,1,12.011,-0.08444087689553131,0.7317073170731707
45,6,0,2,4,0,0,0,0,2,12.011,-0.016907328731477274,0.7560975609756098
46,6,0,2,3,0,0,0,0,1,12.011,-0.08475245978735788,0.7804878048780488
47,6,0,2,3,0,0,0,0,1,12.011,-0.08822748139674101,0.8048780487804879
48,6,0,2,4,0,0,0,0,2,12.011,-0.03506221354195434,0.8292682926829268
49,6,0,2,4,0,0,0,0,2,12.011,-0.04982482841287996,0.8536585365853658
50,6,0,2,4,0,0,0,0,2,12.011,-0.053011063411946294,0.8780487804878049
51,6,0,2,4,0,0,0,0,2,12.011,-0.05329519613238701,0.9024390243902439
52,6,0,2,4,0,0,0,0,2,12.011,-0.05331584723736017,0.926829268292683
53,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327,0.9512195121951219
54,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655,0.975609756097561
55,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243,1.0
