source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5211421122546898
1,0,1.0,0,0,0,0,0,1.5211421122546898
1,2,1.0,0,0,0,4,0,1.501890836335
2,1,1.0,0,0,0,4,0,1.501890836335
2,3,2.0,0,0,2,0,0,1.3432766785502914
3,2,2.0,0,0,2,0,0,1.3432766785502914
3,4,1.0,0,0,0,3,0,1.501442997775561
4,3,1.0,0,0,0,3,0,1.501442997775561
4,5,1.0,0,0,0,4,0,1.50165187940049
5,4,1.0,0,0,0,4,0,1.50165187940049
5,6,2.0,0,0,2,0,0,1.3457623316639968
6,5,2.0,0,0,2,0,0,1.3457623316639968
6,7,1.0,0,0,0,3,0,1.5003558880676349
7,6,1.0,0,0,0,3,0,1.5003558880676349
7,8,1.0,0,0,0,4,0,1.505904247767365
8,7,1.0,0,0,0,4,0,1.505904247767365
8,9,2.0,0,0,2,0,0,1.3440873502849946
9,8,2.0,0,0,2,0,0,1.3440873502849946
9,10,1.0,0,0,0,3,0,1.5025025093889022
10,9,1.0,0,0,0,3,0,1.5025025093889022
10,11,1.0,0,0,0,0,0,1.5318178858991505
11,10,1.0,0,0,0,0,0,1.5318178858991505
11,12,1.0,0,0,0,0,0,1.5324836985674086
12,11,1.0,0,0,0,0,0,1.5324836985674086
12,13,1.0,0,0,0,0,0,1.5304584001987147
13,12,1.0,0,0,0,0,0,1.5304584001987147
13,14,1.0,0,0,0,0,0,1.5342996723633
14,13,1.0,0,0,0,0,0,1.5342996723633
14,15,1.0,0,0,0,0,0,1.5322820867360387
15,14,1.0,0,0,0,0,0,1.5322820867360387
15,16,1.0,0,0,0,0,0,1.5287992289153483
16,15,1.0,0,0,0,0,0,1.5287992289153483
16,17,1.0,0,0,0,0,0,1.51154240746251
17,16,1.0,0,0,0,0,0,1.51154240746251
17,18,2.0,1,0,0,0,0,1.2242051009968007
18,17,2.0,1,0,0,0,0,1.2242051009968007
17,19,1.0,1,0,0,0,0,1.3604195727890558
19,17,1.0,1,0,0,0,0,1.3604195727890558
19,20,1.0,0,0,0,0,0,1.4489204011115193
20,19,1.0,0,0,0,0,0,1.4489204011115193
20,21,1.0,0,0,0,0,0,1.5316165767145526
21,20,1.0,0,0,0,0,0,1.5316165767145526
21,22,1.0,0,0,0,0,0,1.4371125639244555
22,21,1.0,0,0,0,0,0,1.4371125639244555
22,23,1.0,1,0,0,0,0,1.3600933779391187
23,22,1.0,1,0,0,0,0,1.3600933779391187
23,24,2.0,1,0,0,0,0,1.2228633942832339
24,23,2.0,1,0,0,0,0,1.2228633942832339
23,25,1.0,0,0,0,0,0,1.5084156286135595
25,23,1.0,0,0,0,0,0,1.5084156286135595
25,26,1.0,0,0,0,0,0,1.5271277598218087
26,25,1.0,0,0,0,0,0,1.5271277598218087
26,27,1.0,0,0,0,0,0,1.5344947253411878
27,26,1.0,0,0,0,0,0,1.5344947253411878
27,28,1.0,0,0,0,4,0,1.5029026461005486
28,27,1.0,0,0,0,4,0,1.5029026461005486
28,29,2.0,0,0,2,0,0,1.34339299726848
29,28,2.0,0,0,2,0,0,1.34339299726848
29,30,1.0,0,0,0,3,0,1.5033810379097363
30,29,1.0,0,0,0,3,0,1.5033810379097363
30,31,1.0,0,0,0,4,0,1.5028604143841415
31,30,1.0,0,0,0,4,0,1.5028604143841415
31,32,2.0,0,0,2,0,0,1.3443657223948904
32,31,2.0,0,0,2,0,0,1.3443657223948904
32,33,1.0,0,0,0,3,0,1.5033663425214638
33,32,1.0,0,0,0,3,0,1.5033663425214638
33,34,1.0,0,0,0,4,0,1.5036368801845863
34,33,1.0,0,0,0,4,0,1.5036368801845863
34,35,2.0,0,0,2,0,0,1.344926031890986
35,34,2.0,0,0,2,0,0,1.344926031890986
35,36,1.0,0,0,0,3,0,1.502061194919663
36,35,1.0,0,0,0,3,0,1.502061194919663
36,37,1.0,0,0,0,4,0,1.5034724766651348
37,36,1.0,0,0,0,4,0,1.5034724766651348
37,38,2.0,0,0,2,0,0,1.344576866283576
38,37,2.0,0,0,2,0,0,1.344576866283576
38,39,1.0,0,0,0,3,0,1.502851844582012
39,38,1.0,0,0,0,3,0,1.502851844582012
39,40,1.0,0,0,0,0,0,1.5301099668222493
40,39,1.0,0,0,0,0,0,1.5301099668222493
40,41,1.0,0,0,0,0,0,1.5325678260042008
41,40,1.0,0,0,0,0,0,1.5325678260042008
41,42,1.0,0,0,0,0,0,1.5295731304264066
42,41,1.0,0,0,0,0,0,1.5295731304264066
42,43,1.0,0,0,0,0,0,1.5202385454210505
43,42,1.0,0,0,0,0,0,1.5202385454210505
20,44,1.0,0,0,0,0,0,1.5325972853025942
44,20,1.0,0,0,0,0,0,1.5325972853025942
44,45,1.0,0,0,0,0,0,1.4222848099329282
45,44,1.0,0,0,0,0,0,1.4222848099329282
45,46,1.0,0,0,0,0,0,1.6154952037476007
46,45,1.0,0,0,0,0,0,1.6154952037476007
46,47,2.0,0,0,0,0,0,1.504594022132117
47,46,2.0,0,0,0,0,0,1.504594022132117
46,48,1.0,0,0,0,0,0,1.5045304781477875
48,46,1.0,0,0,0,0,0,1.5045304781477875
46,49,1.0,0,0,0,0,0,1.628210627643611
49,46,1.0,0,0,0,0,0,1.628210627643611
49,50,1.0,0,0,0,0,0,1.4147153122997669
50,49,1.0,0,0,0,0,0,1.4147153122997669
50,51,1.0,0,0,0,0,0,1.533789130476571
51,50,1.0,0,0,0,0,0,1.533789130476571
51,52,1.0,0,0,0,0,0,1.5561783544567183
52,51,1.0,0,0,0,0,0,1.5561783544567183
52,53,1.0,0,0,0,0,0,1.5137292478540878
53,52,1.0,0,0,0,0,0,1.5137292478540878
52,54,1.0,0,0,0,0,0,1.5335310301092937
54,52,1.0,0,0,0,0,0,1.5335310301092937
52,55,1.0,0,0,0,0,0,1.5195371649075304
55,52,1.0,0,0,0,0,0,1.5195371649075304
