atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,15,0,4,4,0,0,0,1,0,30.974,0.4719078389303584,0.45098039215686275
1,8,0,2,4,0,0,0,0,0,15.999,-0.2829512293855512,0.43137254901960786
2,6,0,2,4,0,0,0,0,2,12.011,0.09906639760352008,0.4117647058823529
3,6,0,3,4,0,0,2,1,1,12.011,0.15953034102602376,0.39215686274509803
4,8,0,2,3,0,0,0,0,0,15.999,-0.4562184203612838,0.4117647058823529
5,6,0,3,3,0,0,0,0,0,12.011,0.30576582160091964,0.43137254901960786
6,6,0,2,4,0,0,0,0,2,12.011,0.045516238407291715,0.45098039215686275
7,6,0,2,4,0,0,0,0,2,12.011,-0.04278311760920794,0.47058823529411764
8,6,0,2,4,0,0,0,0,2,12.011,-0.0527478222616237,0.49019607843137253
9,6,0,2,4,0,0,0,0,2,12.011,-0.05327962202629522,0.5098039215686274
10,6,0,2,4,0,0,0,0,2,12.011,-0.05301084160697741,0.5294117647058824
11,6,0,2,4,0,0,0,0,2,12.011,-0.0498248268029646,0.5490196078431373
12,6,0,2,4,0,0,0,0,2,12.011,-0.03506221354173479,0.5686274509803921
13,6,0,2,3,0,0,0,0,1,12.011,-0.0882274828770543,0.5882352941176471
14,6,0,2,3,0,0,0,0,1,12.011,-0.08475265144869658,0.6078431372549019
15,6,0,2,4,0,0,0,0,2,12.011,-0.016918589768507436,0.6274509803921569
16,6,0,2,3,0,0,0,0,1,12.011,-0.0847526514539021,0.6470588235294118
17,6,0,2,3,0,0,0,0,1,12.011,-0.08822748427126001,0.6666666666666666
18,6,0,2,4,0,0,0,0,2,12.011,-0.035062386030026954,0.6862745098039216
19,6,0,2,4,0,0,0,0,2,12.011,-0.04983488780141361,0.7058823529411765
20,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608926,0.7254901960784313
21,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945,0.7450980392156863
22,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015,0.7647058823529411
23,8,0,1,3,0,0,0,0,0,15.999,-0.25228433694092306,0.45098039215686275
24,6,0,2,4,0,0,0,0,2,12.011,0.1305566763232179,0.37254901960784315
25,8,0,2,3,0,0,0,0,0,15.999,-0.46162817343596213,0.35294117647058826
26,6,0,3,3,0,0,0,0,0,12.011,0.30541557304048067,0.3333333333333333
27,6,0,2,4,0,0,0,0,2,12.011,0.045503081092782956,0.3137254901960784
28,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097684,0.29411764705882354
29,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063,0.27450980392156865
30,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768,0.2549019607843137
31,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096483504,0.23529411764705882
32,6,0,2,4,0,0,0,0,2,12.011,-0.049825015426065926,0.21568627450980393
33,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364,0.19607843137254902
34,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828,0.17647058823529413
35,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.1568627450980392
36,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721,0.13725490196078433
37,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674,0.11764705882352941
38,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766,0.09803921568627451
39,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676,0.0784313725490196
40,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526,0.058823529411764705
41,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327,0.0392156862745098
42,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655,0.0196078431372549
43,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243,0.0
44,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826,0.35294117647058826
45,8,0,1,4,0,0,0,0,1,15.999,-0.30249272806502303,0.47058823529411764
46,8,0,2,4,0,0,0,0,0,15.999,-0.2841826054952315,0.47058823529411764
47,6,0,2,4,0,0,0,0,2,12.011,0.08682866801360277,0.49019607843137253
48,6,0,3,4,0,0,1,1,1,12.011,0.1018770183295518,0.5098039215686274
49,8,0,1,4,0,0,0,0,1,15.999,-0.38827130328294174,0.5294117647058824
50,6,0,2,4,0,0,0,0,2,12.011,0.08682866801360277,0.5294117647058824
51,8,0,2,4,0,0,0,0,0,15.999,-0.2841826054952315,0.5490196078431373
