source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5182072988349338
1,0,1.0,0,0,0,0,0,1.5182072988349338
1,2,1.0,0,0,0,0,0,1.532349455060424
2,1,1.0,0,0,0,0,0,1.532349455060424
2,3,1.0,0,0,0,0,0,1.5360751326815463
3,2,1.0,0,0,0,0,0,1.5360751326815463
3,4,1.0,0,0,0,0,0,1.5347338451958281
4,3,1.0,0,0,0,0,0,1.5347338451958281
4,5,1.0,0,0,0,4,0,1.5046152904489294
5,4,1.0,0,0,0,4,0,1.5046152904489294
5,6,2.0,0,0,2,0,0,1.3439927009971113
6,5,2.0,0,0,2,0,0,1.3439927009971113
6,7,1.0,0,0,0,3,0,1.5008417962998535
7,6,1.0,0,0,0,3,0,1.5008417962998535
7,8,1.0,0,0,0,4,0,1.5023175365416768
8,7,1.0,0,0,0,4,0,1.5023175365416768
8,9,2.0,0,0,2,0,0,1.3446829686932478
9,8,2.0,0,0,2,0,0,1.3446829686932478
9,10,1.0,0,0,0,3,0,1.5024862867714426
10,9,1.0,0,0,0,3,0,1.5024862867714426
10,11,1.0,0,0,0,4,0,1.504600233768392
11,10,1.0,0,0,0,4,0,1.504600233768392
11,12,2.0,0,0,2,0,0,1.3436950363877957
12,11,2.0,0,0,2,0,0,1.3436950363877957
12,13,1.0,0,0,0,3,0,1.503842314744712
13,12,1.0,0,0,0,3,0,1.503842314744712
13,14,1.0,0,0,0,0,0,1.5340422593609204
14,13,1.0,0,0,0,0,0,1.5340422593609204
14,15,1.0,0,0,0,0,0,1.533147137373208
15,14,1.0,0,0,0,0,0,1.533147137373208
15,16,1.0,0,0,0,0,0,1.5295196154282829
16,15,1.0,0,0,0,0,0,1.5295196154282829
16,17,1.0,0,0,0,0,0,1.5107938679626742
17,16,1.0,0,0,0,0,0,1.5107938679626742
17,18,2.0,1,0,0,0,0,1.224196156028828
18,17,2.0,1,0,0,0,0,1.224196156028828
17,19,1.0,1,0,0,0,0,1.3610138778065113
19,17,1.0,1,0,0,0,0,1.3610138778065113
19,20,1.0,0,0,0,0,0,1.4440094711765419
20,19,1.0,0,0,0,0,0,1.4440094711765419
20,21,1.0,0,0,0,0,0,1.5431132141304096
21,20,1.0,0,0,0,0,0,1.5431132141304096
21,22,1.0,0,0,0,0,0,1.4351333425834794
22,21,1.0,0,0,0,0,0,1.4351333425834794
22,23,1.0,1,0,0,0,0,1.3590238139161894
23,22,1.0,1,0,0,0,0,1.3590238139161894
23,24,2.0,1,0,0,0,0,1.2241191009394394
24,23,2.0,1,0,0,0,0,1.2241191009394394
23,25,1.0,0,0,0,0,0,1.507893386093015
25,23,1.0,0,0,0,0,0,1.507893386093015
25,26,1.0,0,0,0,0,0,1.5270543903003582
26,25,1.0,0,0,0,0,0,1.5270543903003582
26,27,1.0,0,0,0,0,0,1.533135998333582
27,26,1.0,0,0,0,0,0,1.533135998333582
27,28,1.0,0,0,0,0,0,1.5310885282259405
28,27,1.0,0,0,0,0,0,1.5310885282259405
28,29,1.0,0,0,0,0,0,1.5275550234145048
29,28,1.0,0,0,0,0,0,1.5275550234145048
29,30,1.0,0,0,0,0,0,1.532230089324321
30,29,1.0,0,0,0,0,0,1.532230089324321
30,31,1.0,0,0,0,0,0,1.532913597802168
31,30,1.0,0,0,0,0,0,1.532913597802168
31,32,1.0,0,0,0,0,0,1.5336465475866023
32,31,1.0,0,0,0,0,0,1.5336465475866023
32,33,1.0,0,0,0,0,0,1.5319898971703265
33,32,1.0,0,0,0,0,0,1.5319898971703265
33,34,1.0,0,0,0,0,0,1.532984749915764
34,33,1.0,0,0,0,0,0,1.532984749915764
34,35,1.0,0,0,0,0,0,1.5321335376166598
35,34,1.0,0,0,0,0,0,1.5321335376166598
35,36,1.0,0,0,0,4,0,1.5030815553181742
36,35,1.0,0,0,0,4,0,1.5030815553181742
36,37,2.0,0,0,2,0,0,1.3434797681100739
37,36,2.0,0,0,2,0,0,1.3434797681100739
37,38,1.0,0,0,0,3,0,1.5031053929896179
38,37,1.0,0,0,0,3,0,1.5031053929896179
38,39,1.0,0,0,0,0,0,1.5303828425326977
39,38,1.0,0,0,0,0,0,1.5303828425326977
39,40,1.0,0,0,0,0,0,1.5328383018638998
40,39,1.0,0,0,0,0,0,1.5328383018638998
40,41,1.0,0,0,0,0,0,1.5314779772783937
41,40,1.0,0,0,0,0,0,1.5314779772783937
41,42,1.0,0,0,0,0,0,1.5321820005686606
42,41,1.0,0,0,0,0,0,1.5321820005686606
42,43,1.0,0,0,0,0,0,1.5322244291938991
43,42,1.0,0,0,0,0,0,1.5322244291938991
43,44,1.0,0,0,0,0,0,1.5284687276867892
44,43,1.0,0,0,0,0,0,1.5284687276867892
44,45,1.0,0,0,0,0,0,1.5209255810494442
45,44,1.0,0,0,0,0,0,1.5209255810494442
20,46,1.0,0,0,0,0,0,1.5342793281595042
46,20,1.0,0,0,0,0,0,1.5342793281595042
46,47,1.0,0,0,0,0,0,1.4178302518571264
47,46,1.0,0,0,0,0,0,1.4178302518571264
47,48,1.0,0,0,0,0,0,1.6090852570396625
48,47,1.0,0,0,0,0,0,1.6090852570396625
48,49,2.0,0,0,0,0,0,1.5066389931309974
49,48,2.0,0,0,0,0,0,1.5066389931309974
48,50,1.0,0,0,0,0,0,1.5044247835997102
50,48,1.0,0,0,0,0,0,1.5044247835997102
48,51,1.0,0,0,0,0,0,1.6238522123894674
51,48,1.0,0,0,0,0,0,1.6238522123894674
51,52,1.0,0,0,0,0,0,1.4184559995058148
52,51,1.0,0,0,0,0,0,1.4184559995058148
52,53,1.0,0,0,0,0,0,1.5385476570433188
53,52,1.0,0,0,0,0,0,1.5385476570433188
53,54,1.0,0,0,0,0,0,1.5534143952541808
54,53,1.0,0,0,0,0,0,1.5534143952541808
54,55,1.0,0,0,0,0,0,1.5086621975458692
55,54,1.0,0,0,0,0,0,1.5086621975458692
54,56,1.0,0,0,0,0,0,1.5328307042005496
56,54,1.0,0,0,0,0,0,1.5328307042005496
54,57,1.0,0,0,0,0,0,1.5213544139700441
57,54,1.0,0,0,0,0,0,1.5213544139700441
