source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.520479857943555
1,0,1.0,0,0,0,0,0,1.520479857943555
1,2,1.0,0,0,0,0,0,1.5298275705163045
2,1,1.0,0,0,0,0,0,1.5298275705163045
2,3,1.0,0,0,0,0,0,1.530708250373734
3,2,1.0,0,0,0,0,0,1.530708250373734
3,4,1.0,0,0,0,0,0,1.5316335645979313
4,3,1.0,0,0,0,0,0,1.5316335645979313
4,5,1.0,0,0,0,0,0,1.5318470244064961
5,4,1.0,0,0,0,0,0,1.5318470244064961
5,6,1.0,0,0,0,0,0,1.5321546663261276
6,5,1.0,0,0,0,0,0,1.5321546663261276
6,7,1.0,0,0,0,0,0,1.5291729780157728
7,6,1.0,0,0,0,0,0,1.5291729780157728
7,8,1.0,0,0,0,4,0,1.504112961291492
8,7,1.0,0,0,0,4,0,1.504112961291492
8,9,2.0,0,0,2,0,0,1.343373833137386
9,8,2.0,0,0,2,0,0,1.343373833137386
9,10,1.0,0,0,0,3,0,1.5042323797467436
10,9,1.0,0,0,0,3,0,1.5042323797467436
10,11,1.0,0,0,0,0,0,1.5299752546120462
11,10,1.0,0,0,0,0,0,1.5299752546120462
11,12,1.0,0,0,0,0,0,1.5342954072384862
12,11,1.0,0,0,0,0,0,1.5342954072384862
12,13,1.0,0,0,0,0,0,1.533325776160137
13,12,1.0,0,0,0,0,0,1.533325776160137
13,14,1.0,0,0,0,0,0,1.5296303852899278
14,13,1.0,0,0,0,0,0,1.5296303852899278
14,15,1.0,0,0,0,0,0,1.53033501720754
15,14,1.0,0,0,0,0,0,1.53033501720754
15,16,1.0,0,0,0,0,0,1.524747537494459
16,15,1.0,0,0,0,0,0,1.524747537494459
16,17,1.0,0,0,0,0,0,1.5073335224877211
17,16,1.0,0,0,0,0,0,1.5073335224877211
17,18,2.0,1,0,0,0,0,1.2246342477886434
18,17,2.0,1,0,0,0,0,1.2246342477886434
17,19,1.0,1,0,0,0,0,1.3590145611035158
19,17,1.0,1,0,0,0,0,1.3590145611035158
19,20,1.0,0,0,0,0,0,1.442163283395465
20,19,1.0,0,0,0,0,0,1.442163283395465
20,21,1.0,0,0,0,0,0,1.529644298195047
21,20,1.0,0,0,0,0,0,1.529644298195047
21,22,1.0,0,0,0,0,0,1.4337421161999357
22,21,1.0,0,0,0,0,0,1.4337421161999357
22,23,1.0,1,0,0,0,0,1.3605908223387642
23,22,1.0,1,0,0,0,0,1.3605908223387642
23,24,2.0,1,0,0,0,0,1.2233440897271592
24,23,2.0,1,0,0,0,0,1.2233440897271592
23,25,1.0,0,0,0,0,0,1.5080470883903005
25,23,1.0,0,0,0,0,0,1.5080470883903005
25,26,1.0,0,0,0,0,0,1.5265170861559756
26,25,1.0,0,0,0,0,0,1.5265170861559756
26,27,1.0,0,0,0,0,0,1.5315958850718898
27,26,1.0,0,0,0,0,0,1.5315958850718898
27,28,1.0,0,0,0,0,0,1.5312529946971094
28,27,1.0,0,0,0,0,0,1.5312529946971094
28,29,1.0,0,0,0,0,0,1.5337148074067786
29,28,1.0,0,0,0,0,0,1.5337148074067786
29,30,1.0,0,0,0,0,0,1.532785568535257
30,29,1.0,0,0,0,0,0,1.532785568535257
30,31,1.0,0,0,0,0,0,1.529104447941911
31,30,1.0,0,0,0,0,0,1.529104447941911
31,32,1.0,0,0,0,0,0,1.530349843814878
32,31,1.0,0,0,0,0,0,1.530349843814878
32,33,1.0,0,0,0,0,0,1.5318457881719398
33,32,1.0,0,0,0,0,0,1.5318457881719398
33,34,1.0,0,0,0,0,0,1.530297673796625
34,33,1.0,0,0,0,0,0,1.530297673796625
34,35,1.0,0,0,0,0,0,1.5340486405190856
35,34,1.0,0,0,0,0,0,1.5340486405190856
35,36,1.0,0,0,0,0,0,1.5314613658572125
36,35,1.0,0,0,0,0,0,1.5314613658572125
36,37,1.0,0,0,0,0,0,1.533744899572554
37,36,1.0,0,0,0,0,0,1.533744899572554
37,38,1.0,0,0,0,0,0,1.5332264696631892
38,37,1.0,0,0,0,0,0,1.5332264696631892
38,39,1.0,0,0,0,0,0,1.5317670695589234
39,38,1.0,0,0,0,0,0,1.5317670695589234
39,40,1.0,0,0,0,0,0,1.530546950977777
40,39,1.0,0,0,0,0,0,1.530546950977777
40,41,1.0,0,0,0,0,0,1.5206393731856693
41,40,1.0,0,0,0,0,0,1.5206393731856693
20,42,1.0,0,0,0,0,0,1.531650091310952
42,20,1.0,0,0,0,0,0,1.531650091310952
42,43,1.0,0,0,0,0,0,1.420715886188832
43,42,1.0,0,0,0,0,0,1.420715886188832
43,44,1.0,0,0,0,0,0,1.6115041879936738
44,43,1.0,0,0,0,0,0,1.6115041879936738
44,45,2.0,0,0,0,0,0,1.505885229907087
45,44,2.0,0,0,0,0,0,1.505885229907087
44,46,1.0,0,0,0,0,0,1.505150098853615
46,44,1.0,0,0,0,0,0,1.505150098853615
44,47,1.0,0,0,0,0,0,1.6259018917577281
47,44,1.0,0,0,0,0,0,1.6259018917577281
47,48,1.0,0,0,0,0,0,1.4117479111501
48,47,1.0,0,0,0,0,0,1.4117479111501
48,49,1.0,0,0,0,0,0,1.5392622865487942
49,48,1.0,0,0,0,0,0,1.5392622865487942
49,50,1.0,0,0,0,0,0,1.562338126203498
50,49,1.0,0,0,0,0,0,1.562338126203498
50,51,1.0,0,0,0,0,0,1.5193729634505526
51,50,1.0,0,0,0,0,0,1.5193729634505526
50,52,1.0,0,0,0,0,0,1.5340514857918914
52,50,1.0,0,0,0,0,0,1.5340514857918914
50,53,1.0,0,0,0,0,0,1.5087753325294684
53,50,1.0,0,0,0,0,0,1.5087753325294684
