atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945,0.023255813953488372
2,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608925,0.046511627906976744
3,6,0,2,4,0,0,0,0,2,12.011,-0.049834887801403216,0.06976744186046512
4,6,0,2,4,0,0,0,0,2,12.011,-0.03506238602438802,0.09302325581395349
5,6,0,2,3,0,0,0,0,1,12.011,-0.08822748279093615,0.11627906976744186
6,6,0,2,3,0,0,0,0,1,12.011,-0.0847524597925529,0.13953488372093023
7,6,0,2,4,0,0,0,0,2,12.011,-0.016907328725840734,0.16279069767441862
8,6,0,2,3,0,0,0,0,1,12.011,-0.0844408754150933,0.18604651162790697
9,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523404982,0.20930232558139536
10,6,0,2,4,0,0,0,0,2,12.011,-0.01689606769644117,0.23255813953488372
11,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523404982,0.2558139534883721
12,6,0,2,3,0,0,0,0,1,12.011,-0.08444087541509329,0.27906976744186046
13,6,0,2,4,0,0,0,0,2,12.011,-0.016907328725820642,0.3023255813953488
14,6,0,2,3,0,0,0,0,1,12.011,-0.08475245978156135,0.32558139534883723
15,6,0,2,3,0,0,0,0,1,12.011,-0.0882274797721132,0.3488372093023256
16,6,0,2,4,0,0,0,0,2,12.011,-0.03506199283972353,0.37209302325581395
17,6,0,2,4,0,0,0,0,2,12.011,-0.04980942638419389,0.3953488372093023
18,6,0,2,4,0,0,0,0,2,12.011,-0.05245310286515121,0.4186046511627907
19,6,0,2,4,0,0,0,0,2,12.011,-0.04277239044865801,0.4418604651162791
20,6,0,2,4,0,0,0,0,2,12.011,0.045503266619067076,0.46511627906976744
21,6,0,3,3,0,0,0,0,0,12.011,0.3054155745110919,0.4883720930232558
22,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155193274,0.5116279069767442
23,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380365666,0.5116279069767442
24,6,0,2,4,0,0,0,0,2,12.011,0.130554307879465,0.5348837209302325
25,6,0,3,4,0,0,2,1,1,12.011,0.1594008276640783,0.5581395348837209
26,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250244,0.5813953488372093
27,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218,0.6046511627906976
28,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.627906976744186
29,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.6511627906976745
30,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.6511627906976745
31,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.6511627906976745
32,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.6744186046511628
33,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.6976744186046512
34,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.7209302325581395
35,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7441860465116279
36,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7441860465116279
37,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7441860465116279
38,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289612587,0.5813953488372093
39,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200764,0.6046511627906976
40,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973,0.627906976744186
41,6,0,2,4,0,0,0,0,2,12.011,0.04551623833314572,0.627906976744186
42,6,0,2,4,0,0,0,0,2,12.011,-0.0427831176093492,0.6511627906976745
43,6,0,2,4,0,0,0,0,2,12.011,-0.052747822261623833,0.6744186046511628
44,6,0,2,4,0,0,0,0,2,12.011,-0.05327962202629522,0.6976744186046512
45,6,0,2,4,0,0,0,0,2,12.011,-0.05301084160697741,0.7209302325581395
46,6,0,2,4,0,0,0,0,2,12.011,-0.0498248268029646,0.7441860465116279
47,6,0,2,4,0,0,0,0,2,12.011,-0.03506221354173479,0.7674418604651163
48,6,0,2,3,0,0,0,0,1,12.011,-0.0882274828770543,0.7906976744186046
49,6,0,2,3,0,0,0,0,1,12.011,-0.08475265144869658,0.813953488372093
50,6,0,2,4,0,0,0,0,2,12.011,-0.016918589768507436,0.8372093023255814
51,6,0,2,3,0,0,0,0,1,12.011,-0.0847526514539021,0.8604651162790697
52,6,0,2,3,0,0,0,0,1,12.011,-0.08822748427126001,0.8837209302325582
53,6,0,2,4,0,0,0,0,2,12.011,-0.035062386030026954,0.9069767441860465
54,6,0,2,4,0,0,0,0,2,12.011,-0.04983488780141361,0.9302325581395349
55,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608926,0.9534883720930233
56,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945,0.9767441860465116
57,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015,1.0
