source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5207330629933036
1,0,1.0,0,0,0,0,0,1.5207330629933036
1,2,1.0,0,0,0,0,0,1.5306390480617647
2,1,1.0,0,0,0,0,0,1.5306390480617647
2,3,1.0,0,0,0,0,0,1.53158245478577
3,2,1.0,0,0,0,0,0,1.53158245478577
3,4,1.0,0,0,0,0,0,1.5324978937920617
4,3,1.0,0,0,0,0,0,1.5324978937920617
4,5,1.0,0,0,0,0,0,1.5327779353104352
5,4,1.0,0,0,0,0,0,1.5327779353104352
5,6,1.0,0,0,0,0,0,1.533446957375568
6,5,1.0,0,0,0,0,0,1.533446957375568
6,7,1.0,0,0,0,4,0,1.5053195209046173
7,6,1.0,0,0,0,4,0,1.5053195209046173
7,8,2.0,1,0,3,0,0,1.341770534045319
8,7,2.0,1,0,3,0,0,1.341770534045319
8,9,1.0,1,0,0,4,0,1.444967108935446
9,8,1.0,1,0,0,4,0,1.444967108935446
9,10,2.0,1,0,3,0,0,1.3426418177552777
10,9,2.0,1,0,3,0,0,1.3426418177552777
10,11,1.0,0,0,0,4,0,1.5063027682047598
11,10,1.0,0,0,0,4,0,1.5063027682047598
11,12,1.0,0,0,0,0,0,1.4333801718371362
12,11,1.0,0,0,0,0,0,1.4333801718371362
11,13,1.0,0,0,0,0,0,1.5558362572217794
13,11,1.0,0,0,0,0,0,1.5558362572217794
13,14,1.0,0,0,0,0,0,1.5425916151380523
14,13,1.0,0,0,0,0,0,1.5425916151380523
14,15,1.0,0,0,0,0,0,1.4310333179174681
15,14,1.0,0,0,0,0,0,1.4310333179174681
13,16,1.0,0,0,0,0,0,1.4743731323588052
16,13,1.0,0,0,0,0,0,1.4743731323588052
16,17,1.0,1,0,0,0,0,1.3767541849602187
17,16,1.0,1,0,0,0,0,1.3767541849602187
17,18,2.0,1,0,0,0,0,1.2257568446613172
18,17,2.0,1,0,0,0,0,1.2257568446613172
17,19,1.0,0,0,0,0,0,1.5168562863514112
19,17,1.0,0,0,0,0,0,1.5168562863514112
19,20,1.0,0,0,0,0,0,1.527901283894335
20,19,1.0,0,0,0,0,0,1.527901283894335
20,21,1.0,0,0,0,0,0,1.533356843034011
21,20,1.0,0,0,0,0,0,1.533356843034011
21,22,1.0,0,0,0,0,0,1.5316174721554372
22,21,1.0,0,0,0,0,0,1.5316174721554372
22,23,1.0,0,0,0,0,0,1.5321183495003212
23,22,1.0,0,0,0,0,0,1.5321183495003212
23,24,1.0,0,0,0,0,0,1.5319299291324304
24,23,1.0,0,0,0,0,0,1.5319299291324304
24,25,1.0,0,0,0,0,0,1.532521001838623
25,24,1.0,0,0,0,0,0,1.532521001838623
25,26,1.0,0,0,0,0,0,1.5322511785570279
26,25,1.0,0,0,0,0,0,1.5322511785570279
26,27,1.0,0,0,0,0,0,1.5312734661614082
27,26,1.0,0,0,0,0,0,1.5312734661614082
27,28,1.0,0,0,0,0,0,1.5328676409420308
28,27,1.0,0,0,0,0,0,1.5328676409420308
28,29,1.0,0,0,0,0,0,1.5323241809677963
29,28,1.0,0,0,0,0,0,1.5323241809677963
29,30,1.0,0,0,0,0,0,1.5312643690476653
30,29,1.0,0,0,0,0,0,1.5312643690476653
30,31,1.0,0,0,0,0,0,1.532609733365462
31,30,1.0,0,0,0,0,0,1.532609733365462
31,32,1.0,0,0,0,0,0,1.5311164368496457
32,31,1.0,0,0,0,0,0,1.5311164368496457
32,33,1.0,0,0,0,0,0,1.5321062912030525
33,32,1.0,0,0,0,0,0,1.5321062912030525
33,34,1.0,0,0,0,0,0,1.5316658962303187
34,33,1.0,0,0,0,0,0,1.5316658962303187
34,35,1.0,0,0,0,0,0,1.532234133951963
35,34,1.0,0,0,0,0,0,1.532234133951963
35,36,1.0,0,0,0,0,0,1.5303925226712358
36,35,1.0,0,0,0,0,0,1.5303925226712358
36,37,1.0,0,0,0,0,0,1.5208749726975135
37,36,1.0,0,0,0,0,0,1.5208749726975135
