source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5210524735035271
1,0,1.0,0,0,0,0,0,1.5210524735035271
1,2,1.0,0,0,0,0,0,1.531508303211172
2,1,1.0,0,0,0,0,0,1.531508303211172
2,3,1.0,0,0,0,0,0,1.533921313130673
3,2,1.0,0,0,0,0,0,1.533921313130673
3,4,1.0,0,0,0,0,0,1.530816818332051
4,3,1.0,0,0,0,0,0,1.530816818332051
4,5,1.0,0,0,0,4,0,1.5036137521212787
5,4,1.0,0,0,0,4,0,1.5036137521212787
5,6,2.0,0,0,2,0,0,1.343244827043599
6,5,2.0,0,0,2,0,0,1.343244827043599
6,7,1.0,0,0,0,3,0,1.5011714484619287
7,6,1.0,0,0,0,3,0,1.5011714484619287
7,8,1.0,0,0,0,0,0,1.5325956804358127
8,7,1.0,0,0,0,0,0,1.5325956804358127
8,9,1.0,0,0,0,0,0,1.5335807513003654
9,8,1.0,0,0,0,0,0,1.5335807513003654
9,10,1.0,0,0,0,0,0,1.5312720007093588
10,9,1.0,0,0,0,0,0,1.5312720007093588
10,11,1.0,0,0,0,0,0,1.5320334776373816
11,10,1.0,0,0,0,0,0,1.5320334776373816
11,12,1.0,0,0,0,0,0,1.5304923352688626
12,11,1.0,0,0,0,0,0,1.5304923352688626
12,13,1.0,0,0,0,0,0,1.5241319902710666
13,12,1.0,0,0,0,0,0,1.5241319902710666
13,14,1.0,0,0,0,0,0,1.5063810909270376
14,13,1.0,0,0,0,0,0,1.5063810909270376
14,15,2.0,1,0,0,0,0,1.2230316166853517
15,14,2.0,1,0,0,0,0,1.2230316166853517
14,16,1.0,1,0,0,0,0,1.359535766843903
16,14,1.0,1,0,0,0,0,1.359535766843903
16,17,1.0,0,0,0,0,0,1.445877546244746
17,16,1.0,0,0,0,0,0,1.445877546244746
17,18,1.0,0,0,0,0,0,1.535030471925277
18,17,1.0,0,0,0,0,0,1.535030471925277
18,19,1.0,0,0,0,0,0,1.4375641161849926
19,18,1.0,0,0,0,0,0,1.4375641161849926
19,20,1.0,1,0,0,0,0,1.362339727461706
20,19,1.0,1,0,0,0,0,1.362339727461706
20,21,2.0,1,0,0,0,0,1.2214427677860498
21,20,2.0,1,0,0,0,0,1.2214427677860498
20,22,1.0,0,0,0,0,0,1.510951134493417
22,20,1.0,0,0,0,0,0,1.510951134493417
22,23,1.0,0,0,0,0,0,1.527724924692983
23,22,1.0,0,0,0,0,0,1.527724924692983
23,24,1.0,0,0,0,0,0,1.531190383262958
24,23,1.0,0,0,0,0,0,1.531190383262958
24,25,1.0,0,0,0,0,0,1.5328893990057884
25,24,1.0,0,0,0,0,0,1.5328893990057884
25,26,1.0,0,0,0,0,0,1.5307594095109391
26,25,1.0,0,0,0,0,0,1.5307594095109391
26,27,1.0,0,0,0,0,0,1.534499538391727
27,26,1.0,0,0,0,0,0,1.534499538391727
27,28,1.0,0,0,0,0,0,1.5333173880623816
28,27,1.0,0,0,0,0,0,1.5333173880623816
28,29,1.0,0,0,0,4,0,1.5008145623620066
29,28,1.0,0,0,0,4,0,1.5008145623620066
29,30,2.0,0,0,2,0,0,1.3431205140053282
30,29,2.0,0,0,2,0,0,1.3431205140053282
30,31,1.0,0,0,0,3,0,1.5032689226611868
31,30,1.0,0,0,0,3,0,1.5032689226611868
31,32,1.0,0,0,0,0,0,1.5322900292358759
32,31,1.0,0,0,0,0,0,1.5322900292358759
32,33,1.0,0,0,0,0,0,1.5323946352677296
33,32,1.0,0,0,0,0,0,1.5323946352677296
33,34,1.0,0,0,0,0,0,1.5325348575469628
34,33,1.0,0,0,0,0,0,1.5325348575469628
34,35,1.0,0,0,0,0,0,1.5310695005070132
35,34,1.0,0,0,0,0,0,1.5310695005070132
35,36,1.0,0,0,0,0,0,1.5308289728675322
36,35,1.0,0,0,0,0,0,1.5308289728675322
36,37,1.0,0,0,0,0,0,1.5208544120928609
37,36,1.0,0,0,0,0,0,1.5208544120928609
17,38,1.0,0,0,0,0,0,1.5340463252703778
38,17,1.0,0,0,0,0,0,1.5340463252703778
38,39,1.0,0,0,0,0,0,1.4210627728377672
39,38,1.0,0,0,0,0,0,1.4210627728377672
39,40,1.0,0,0,0,0,0,1.6145365433873993
40,39,1.0,0,0,0,0,0,1.6145365433873993
40,41,2.0,0,0,0,0,0,1.5019121290509374
41,40,2.0,0,0,0,0,0,1.5019121290509374
40,42,1.0,0,0,0,0,0,1.5065879850035069
42,40,1.0,0,0,0,0,0,1.5065879850035069
40,43,1.0,0,0,0,0,0,1.625219919459945
43,40,1.0,0,0,0,0,0,1.625219919459945
43,44,1.0,0,0,0,0,0,1.4096504016621996
44,43,1.0,0,0,0,0,0,1.4096504016621996
44,45,1.0,0,0,0,0,0,1.531767636487835
45,44,1.0,0,0,0,0,0,1.531767636487835
45,46,1.0,0,0,0,0,0,1.5483761507040998
46,45,1.0,0,0,0,0,0,1.5483761507040998
46,47,1.0,0,0,0,0,0,1.5348081744747575
47,46,1.0,0,0,0,0,0,1.5348081744747575
46,48,1.0,0,0,0,0,0,1.5223335538690346
48,46,1.0,0,0,0,0,0,1.5223335538690346
46,49,1.0,0,0,0,0,0,1.5168490673835786
49,46,1.0,0,0,0,0,0,1.5168490673835786
