source,target,bond_type,is_conjugated,is_in_ring,stereo,bond_dir,is_aromatic,mean_bond_length
0,1,1.0,0,0,0,0,0,1.5311939220847357
1,0,1.0,0,0,0,0,0,1.5311939220847357
1,2,1.0,0,0,0,0,0,1.4154906649343124
2,1,1.0,0,0,0,0,0,1.4154906649343124
2,3,1.0,0,0,0,0,0,1.6132843377838828
3,2,1.0,0,0,0,0,0,1.6132843377838828
3,4,2.0,0,0,0,0,0,1.5029506973229205
4,3,2.0,0,0,0,0,0,1.5029506973229205
3,5,1.0,0,0,0,0,0,1.5058672035124676
5,3,1.0,0,0,0,0,0,1.5058672035124676
3,6,1.0,0,0,0,0,0,1.6240029220252683
6,3,1.0,0,0,0,0,0,1.6240029220252683
6,7,1.0,0,0,0,0,0,1.4143233212763449
7,6,1.0,0,0,0,0,0,1.4143233212763449
7,8,1.0,0,0,0,0,0,1.5355903341965578
8,7,1.0,0,0,0,0,0,1.5355903341965578
8,9,1.0,0,0,0,0,0,1.5556948956429295
9,8,1.0,0,0,0,0,0,1.5556948956429295
9,10,1.0,0,0,0,0,0,1.529858706670095
10,9,1.0,0,0,0,0,0,1.529858706670095
9,11,1.0,0,0,0,0,0,1.524567542798729
11,9,1.0,0,0,0,0,0,1.524567542798729
9,12,1.0,0,0,0,0,0,1.5117439197768263
12,9,1.0,0,0,0,0,0,1.5117439197768263
0,13,1.0,0,0,0,0,0,1.4489493749180402
13,0,1.0,0,0,0,0,0,1.4489493749180402
13,14,1.0,1,0,0,0,0,1.3590015159459539
14,13,1.0,1,0,0,0,0,1.3590015159459539
14,15,1.0,0,0,0,0,0,1.508765084481239
15,14,1.0,0,0,0,0,0,1.508765084481239
15,16,1.0,0,0,0,0,0,1.525699986894309
16,15,1.0,0,0,0,0,0,1.525699986894309
16,17,1.0,0,0,0,0,0,1.5306085920974948
17,16,1.0,0,0,0,0,0,1.5306085920974948
17,18,1.0,0,0,0,0,0,1.531419293237741
18,17,1.0,0,0,0,0,0,1.531419293237741
18,19,1.0,0,0,0,0,0,1.5319612585042772
19,18,1.0,0,0,0,0,0,1.5319612585042772
19,20,1.0,0,0,0,0,0,1.5333882526332923
20,19,1.0,0,0,0,0,0,1.5333882526332923
20,21,1.0,0,0,0,0,0,1.5327681243475675
21,20,1.0,0,0,0,0,0,1.5327681243475675
21,22,1.0,0,0,0,4,0,1.5025561963113632
22,21,1.0,0,0,0,4,0,1.5025561963113632
22,23,2.0,0,0,2,0,0,1.3431608342056134
23,22,2.0,0,0,2,0,0,1.3431608342056134
23,24,1.0,0,0,0,3,0,1.503089066843777
24,23,1.0,0,0,0,3,0,1.503089066843777
24,25,1.0,0,0,0,0,0,1.5308220817383795
25,24,1.0,0,0,0,0,0,1.5308220817383795
25,26,1.0,0,0,0,0,0,1.5305830070833826
26,25,1.0,0,0,0,0,0,1.5305830070833826
26,27,1.0,0,0,0,0,0,1.5213050666988475
27,26,1.0,0,0,0,0,0,1.5213050666988475
14,28,2.0,1,0,0,0,0,1.2236527013688685
28,14,2.0,1,0,0,0,0,1.2236527013688685
0,29,1.0,0,0,0,0,0,1.534330003981573
29,0,1.0,0,0,0,0,0,1.534330003981573
29,30,1.0,0,0,0,0,0,1.4405883085120845
30,29,1.0,0,0,0,0,0,1.4405883085120845
30,31,1.0,1,0,0,0,0,1.3602450678591953
31,30,1.0,1,0,0,0,0,1.3602450678591953
31,32,1.0,0,0,0,0,0,1.5129031762573135
32,31,1.0,0,0,0,0,0,1.5129031762573135
32,33,1.0,0,0,0,0,0,1.5295737624161534
33,32,1.0,0,0,0,0,0,1.5295737624161534
33,34,1.0,0,0,0,0,0,1.5326296644435882
34,33,1.0,0,0,0,0,0,1.5326296644435882
34,35,1.0,0,0,0,0,0,1.534049251149485
35,34,1.0,0,0,0,0,0,1.534049251149485
35,36,1.0,0,0,0,0,0,1.532203701716619
36,35,1.0,0,0,0,0,0,1.532203701716619
36,37,1.0,0,0,0,4,0,1.5025049721568513
37,36,1.0,0,0,0,4,0,1.5025049721568513
37,38,2.0,0,0,2,0,0,1.344011264758944
38,37,2.0,0,0,2,0,0,1.344011264758944
38,39,1.0,0,0,0,3,0,1.503699355747288
39,38,1.0,0,0,0,3,0,1.503699355747288
39,40,1.0,0,0,0,4,0,1.5019109026250892
40,39,1.0,0,0,0,4,0,1.5019109026250892
40,41,2.0,0,0,2,0,0,1.344847293581223
41,40,2.0,0,0,2,0,0,1.344847293581223
41,42,1.0,0,0,0,3,0,1.5027927604936855
42,41,1.0,0,0,0,3,0,1.5027927604936855
42,43,1.0,0,0,0,4,0,1.4992495341940024
43,42,1.0,0,0,0,4,0,1.4992495341940024
43,44,2.0,0,0,2,0,0,1.3443631390141952
44,43,2.0,0,0,2,0,0,1.3443631390141952
44,45,1.0,0,0,0,3,0,1.5012556910459545
45,44,1.0,0,0,0,3,0,1.5012556910459545
45,46,1.0,0,0,0,4,0,1.5018933665488046
46,45,1.0,0,0,0,4,0,1.5018933665488046
46,47,2.0,0,0,2,0,0,1.3437047940091533
47,46,2.0,0,0,2,0,0,1.3437047940091533
47,48,1.0,0,0,0,3,0,1.502509595801886
48,47,1.0,0,0,0,3,0,1.502509595801886
48,49,1.0,0,0,0,0,0,1.5327945989170715
49,48,1.0,0,0,0,0,0,1.5327945989170715
49,50,1.0,0,0,0,0,0,1.5331417086567323
50,49,1.0,0,0,0,0,0,1.5331417086567323
50,51,1.0,0,0,0,0,0,1.5301353531459505
51,50,1.0,0,0,0,0,0,1.5301353531459505
51,52,1.0,0,0,0,0,0,1.520736247443435
52,51,1.0,0,0,0,0,0,1.520736247443435
